Study	Type
Alasoo_2018	RNAseq
BLUEPRINT_PE	RNAseq
BLUEPRINT_SE	RNAseq
GENCORD	RNAseq
GEUVADIS	RNAseq
HipSci	RNAseq
Nedelec_2016	RNAseq
Quach_2016	RNAseq
Schwartzentruber_2018	RNAseq
TwinsUK	RNAseq
van_de_Bunt_2015	RNAseq
Schmiedel_2018	RNAseq
BrainSeq	RNAseq
ROSMAP	RNAseq
Lepik_2017	RNAseq
FUSION	RNAseq
GTEx	RNAseq
CAP	RNAseq
Peng_2018	RNAseq
PhLiPS	RNAseq
iPSCORE	RNAseq
CommonMind	RNAseq
Braineac2	RNAseq
Steinberg_2020	RNAseq
Young_2019	RNAseq
Bossini-Castillo_2019	RNAseq
CEDAR	microarray
Fairfax_2012	microarray
Fairfax_2014	microarray
Kasela_2017	microarray
Naranbhai_2015	microarray
Gilchrist_2021	microarray
