study	qtl_group	cell_type	condition	sample_size	tissue_ontology_id.x	tissue_ontology_term.x	tissue_ontology_id.y	tissue_ontology_term.y
Alasoo_2018	macrophage_IFNg	macrophage	IFNg	84	CL_0000235	macrophage	CL_0000235	macrophage
Alasoo_2018	macrophage_IFNg+Salmonella	macrophage	IFNg+Salmonella	84	CL_0000235	macrophage	CL_0000235	macrophage
Alasoo_2018	macrophage_naive	macrophage	naive	84	CL_0000235	macrophage	CL_0000235	macrophage
Alasoo_2018	macrophage_Salmonella	macrophage	Salmonella	84	CL_0000235	macrophage	CL_0000235	macrophage
BLUEPRINT_PE	T-cell	T-cell	naive	167	CL_0000624	CD4-positive, alpha-beta T cell	CL_0000624	CD4-positive, alpha-beta T cell
BLUEPRINT_SE	monocyte	monocyte	naive	191	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
BLUEPRINT_SE	neutrophil	neutrophil	naive	196	CL_0000775	neutrophil	CL_0000775	neutrophil
Bossini-Castillo_2019	Treg_naive	Treg	naive	119	CL_0002677	naive regulatory T cell	CL_0002677	naive regulatory T cell
Braineac2	putamen	putamen	naive	102	UBERON_0001874	putamen	UBERON_0001874	putamen
Braineac2	substantia_nigra	substantia_nigra	naive	65	UBERON_0002038	substantia nigra	UBERON_0002038	substantia nigra
BrainSeq	brain	brain	naive	479	UBERON_0009834	dorsolateral prefrontal cortex	UBERON_0009834	dorsolateral prefrontal cortex
CAP	LCL_naive	LCL	naive	148	EFO_0005292	lymphoblastoid cell line	EFO_0005292	lymphoblastoid cell line
CAP	LCL_statin	LCL	statin	148	EFO_0005292	lymphoblastoid cell line	EFO_0005292	lymphoblastoid cell line
CEDAR	B-cell_CD19	B-cell	naive	262	CL_0000236	B cell	CL_0000236	B cell
CEDAR	ileum	ileum	naive	180	UBERON_0002116	ileum	UBERON_0002116	ileum
CEDAR	monocyte_CD14	monocyte	naive	286	CL_0002057	CD14-positive, CD16-negative classical monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte
CEDAR	neutrophil_CD15	neutrophil	naive	280	CL_0000775	neutrophil	CL_0000775	neutrophil
CEDAR	platelet	platelet	naive	205	CL_0000233	platelet	CL_0000233	platelet
CEDAR	rectum	rectum	naive	271	UBERON_0001052	rectum	UBERON_0001052	rectum
CEDAR	T-cell_CD4	T-cell	naive	290	CL_0000624	CD4-positive, alpha-beta T cell	CL_0000624	CD4-positive, alpha-beta T cell
CEDAR	T-cell_CD8	T-cell	naive	277	CL_0000625	CD8-positive, alpha-beta T cell	CL_0000625	CD8-positive, alpha-beta T cell
CEDAR	transverse_colon	transverse_colon	naive	286	UBERON_0001157	transverse colon	UBERON_0001157	transverse colon
