study	qtl_group	cell_type	condition	sample_size	tissue_ontology_id	tissue_ontology_term
Bossini-Castillo_2019	Treg_naive	Treg	naive	119	CL_0002677	naive regulatory T cell
Braineac2	putamen	putamen	naive	102	UBERON_0001874	putamen
Braineac2	substantia_nigra	substantia_nigra	naive	65	UBERON_0002038	substantia nigra
CAP	LCL_naive	LCL	naive	148	EFO_0005292	lymphoblastoid cell line
CAP	LCL_statin	LCL	statin	148	EFO_0005292	lymphoblastoid cell line
CommonMind	DLPFC_naive	DLPFC	naive	586	UBERON_0009834	dorsolateral prefrontal cortex
Gilchrist_2021	NK-cell_naive	NK-cell	naive	247	CL_0000623	natural killer cell
iPSCORE	iPSC	iPSC	naive	101	EFO_0004905	induced pluripotent stem cell
Peng_2018	placenta_naive	placenta	naive	149	UBERON_0001987	placenta
PhLiPS	HLC	HLC	naive	79	CL_0000182	hepatocyte
PhLiPS	iPSC	iPSC	naive	83	EFO_0004905	induced pluripotent stem cell
Steinberg_2020	high_grade_cartilage_naive	high_grade_cartilage	naive	69	UBERON_0002418	cartilage tissue
Steinberg_2020	low_grade_cartilage_naive	low_grade_cartilage	naive	69	UBERON_0002418	cartilage tissue
Steinberg_2020	synovium_naive	synovium	naive	72	UBERON_0007616	layer of synovial tissue
Young_2019	microglia_naive	microglia	naive	104	CL_0000129	microglial cell
