study	qtl_group	cell_type	condition	sample_size	tissue_ontology_id	tissue_ontology_term
CEDAR	B-cell_CD19	B-cell	naive	262	CL_0000236	B cell
CEDAR	ileum	ileum	naive	180	UBERON_0002116	ileum
CEDAR	monocyte_CD14	monocyte	naive	286	CL_0002057	CD14-positive, CD16-negative classical monocyte
CEDAR	neutrophil_CD15	neutrophil	naive	280	CL_0000775	neutrophil
CEDAR	platelet	platelet	naive	205	CL_0000233	platelet
CEDAR	rectum	rectum	naive	271	UBERON_0001052	rectum
CEDAR	T-cell_CD4	T-cell	naive	290	CL_0000624	CD4-positive, alpha-beta T cell
CEDAR	T-cell_CD8	T-cell	naive	277	CL_0000625	CD8-positive, alpha-beta T cell
CEDAR	transverse_colon	transverse_colon	naive	286	UBERON_0001157	transverse colon
Fairfax_2012	B-cell_CD19	B-cell	naive	281	CL_0000236	B cell
Fairfax_2014	monocyte_IFN24	monocyte	IFN24	370	CL_0002057	CD14-positive, CD16-negative classical monocyte
Fairfax_2014	monocyte_LPS2	monocyte	LPS2	256	CL_0002057	CD14-positive, CD16-negative classical monocyte
Fairfax_2014	monocyte_LPS24	monocyte	LPS24	325	CL_0002057	CD14-positive, CD16-negative classical monocyte
Fairfax_2014	monocyte_naive	monocyte	naive	420	CL_0002057	CD14-positive, CD16-negative classical monocyte
Gilchrist_2021	NK-cell_naive	NK-cell	naive	247	CL_0000623	natural killer cell
Kasela_2017	T-cell_CD4	T-cell	naive	280	CL_0000624	CD4-positive, alpha-beta T cell
Kasela_2017	T-cell_CD8	T-cell	naive	269	CL_0000625	CD8-positive, alpha-beta T cell
Naranbhai_2015	neutrophil_CD16	neutrophil	naive	93	CL_0000775	neutrophil
