tissue_ontology_id	tissue_ontology_term	sample_size_by_ontology	studies
CL_0000057	fibroblast	669	GENCORD, GTEx
CL_0000084	T cell	184	GENCORD
CL_0000101	sensory neuron	98	Schwartzentruber_2018
CL_0000129	microglial cell	104	Young_2019
CL_0000182	hepatocyte	79	PhLiPS
CL_0000233	platelet	205	CEDAR
CL_0000235	macrophage	829	Alasoo_2018, Nedelec_2016
CL_0000236	B cell	634	Schmiedel_2018, CEDAR, Fairfax_2012
CL_0000545	T-helper 1 cell	82	Schmiedel_2018
CL_0000546	T-helper 2 cell	89	Schmiedel_2018
CL_0000623	natural killer cell	337	Schmiedel_2018, Gilchrist_2021
CL_0000624	CD4-positive, alpha-beta T cell	914	BLUEPRINT_PE, Schmiedel_2018, CEDAR, Kasela_2017
CL_0000625	CD8-positive, alpha-beta T cell	723	Schmiedel_2018, CEDAR, Kasela_2017
CL_0000775	neutrophil	569	BLUEPRINT_SE, CEDAR, Naranbhai_2015
CL_0000899	T-helper 17 cell	177	Schmiedel_2018
CL_0002038	T follicular helper cell	89	Schmiedel_2018
CL_0002057	CD14-positive, CD16-negative classical monocyte	2908	BLUEPRINT_SE, Quach_2016, Schmiedel_2018, CEDAR, Fairfax_2014
CL_0002396	CD14-low, CD16-positive monocyte	90	Schmiedel_2018
CL_0002677	naive regulatory T cell	208	Schmiedel_2018, Bossini-Castillo_2019
CL_0002678	memory regulatory T cell	89	Schmiedel_2018
EFO_0004905	induced pluripotent stem cell	506	HipSci, PhLiPS, iPSCORE
EFO_0005292	lymphoblastoid cell line	1496	GENCORD, GEUVADIS, TwinsUK, GTEx, CAP
UBERON_0000006	islet of Langerhans	117	van_de_Bunt_2015
UBERON_0000007	pituitary gland	237	GTEx
UBERON_0000178	blood	1336	TwinsUK, Lepik_2017, GTEx
UBERON_0000473	testis	322	GTEx
UBERON_0000945	stomach	324	GTEx
UBERON_0000992	female gonad	167	GTEx
UBERON_0000995	uterus	129	GTEx
UBERON_0000996	vagina	141	GTEx
UBERON_0001013	adipose tissue	1233	TwinsUK, FUSION, GTEx
UBERON_0001052	rectum	271	CEDAR
UBERON_0001114	right lobe of liver	208	GTEx
UBERON_0001134	skeletal muscle tissue	990	FUSION, GTEx
UBERON_0001150	body of pancreas	305	GTEx
UBERON_0001157	transverse colon	654	GTEx, CEDAR
UBERON_0001159	sigmoid colon	318	GTEx
UBERON_0001211	Peyer's patch	174	GTEx
UBERON_0001225	cortex of kidney	73	GTEx
UBERON_0001323	tibial nerve	532	GTEx
UBERON_0001496	ascending aorta	387	GTEx
UBERON_0001621	coronary artery	213	GTEx
UBERON_0001870	frontal cortex	205	GTEx
UBERON_0001873	caudate nucleus	194	GTEx
UBERON_0001874	putamen	272	GTEx, Braineac2
UBERON_0001876	amygdala	129	GTEx
UBERON_0001882	nucleus accumbens	202	GTEx
UBERON_0001898	hypothalamus	170	GTEx
UBERON_0001954	Ammon's horn	165	GTEx
UBERON_0001987	placenta	149	Peng_2018
UBERON_0002037	cerebellum	384	GTEx
UBERON_0002038	substantia nigra	179	GTEx, Braineac2
UBERON_0002046	thyroid gland	574	GTEx
UBERON_0002097	skin of body	972	TwinsUK, GTEx
UBERON_0002106	spleen	227	GTEx
UBERON_0002116	ileum	180	CEDAR
UBERON_0002367	prostate gland	218	GTEx
UBERON_0002369	adrenal gland	233	GTEx
UBERON_0002418	cartilage tissue	138	Steinberg_2020
UBERON_0004550	gastroesophageal sphincter	330	GTEx
UBERON_0004648	esophagus muscularis mucosa	461	GTEx
UBERON_0006330	anterior lingual gland	144	GTEx
UBERON_0006469	C1 segment of cervical spinal cord	126	GTEx
UBERON_0006566	left ventricle myocardium	382	GTEx
UBERON_0006631	right atrium auricular region	372	GTEx
UBERON_0006920	esophagus squamous epithelium	493	GTEx
UBERON_0007610	tibial artery	584	GTEx
UBERON_0007616	layer of synovial tissue	72	Steinberg_2020
UBERON_0008367	breast epithelium	394	GTEx
UBERON_0008952	upper lobe of left lung	510	GTEx
UBERON_0009834	dorsolateral prefrontal cortex	1800	BrainSeq, ROSMAP, GTEx, CommonMind
UBERON_0009835	anterior cingulate cortex	147	GTEx
UBERON_0010414	omental fat pad	469	GTEx
UBERON_0036149	suprapubic skin	517	GTEx
