study	condition_label	cell_type	SampleSize
Alasoo_2018	naive	macrophage (CL_0000235)	84
Alasoo_2018	IFNg_18h (EFO_0003024)	macrophage (CL_0000235)	84
Alasoo_2018	Salmonella_5h (NCBITaxon_90371)	macrophage (CL_0000235)	84
Alasoo_2018	IFNg_18h+Salmonella_5h (EFO_0003024; NCBITaxon_90371)	macrophage (CL_0000235)	84
BLUEPRINT	naive	monocyte (CL_0002057)	191
BLUEPRINT	naive	neutrophil (CL_0000775)	196
BLUEPRINT	naive	T-cell (CL_0000624)	167
BrainSeq	naive	brain (UBERON_0009834)	479
CEDAR	naive	T-cell (CL_0000625)	277
CEDAR	naive	T-cell (CL_0000624)	290
CEDAR	naive	transverse_colon (UBERON_0001157)	286
CEDAR	naive	monocyte (CL_0002057)	286
CEDAR	naive	neutrophil (CL_0000775)	280
CEDAR	naive	platelet (CL_0000233)	205
CEDAR	naive	rectum (UBERON_0001052)	271
CEDAR	naive	B-cell (CL_0000236)	262
CEDAR	naive	ileum (UBERON_0002116)	180
Fairfax_2012	naive	B-cell (CL_0000236)	281
Fairfax_2014	naive	monocyte (CL_0002057)	420
Fairfax_2014	IFNg_24h (EFO_0003024)	monocyte (CL_0002057)	370
Fairfax_2014	LPS_2h (CHEBI_16412)	monocyte (CL_0002057)	256
Fairfax_2014	LPS_24h (CHEBI_16412)	monocyte (CL_0002057)	325
GENCORD	naive	LCL (EFO_0005292)	190
GENCORD	naive	fibroblast (CL_0000057)	186
GENCORD	naive	T-cell (CL_0000084)	184
GEUVADIS	naive	LCL (EFO_0005292)	445
HipSci	naive	iPSC (EFO_0004905)	322
Kasela_2017	naive	T-cell (CL_0000624)	280
Kasela_2017	naive	T-cell (CL_0000625)	269
Lepik_2017	naive	blood (UBERON_0000178)	471
Naranbhai_2015	naive	neutrophil (CL_0000775)	93
Nedelec_2016	Listeria_5h (NCBITaxon_1639)	macrophage (CL_0000235)	163
Nedelec_2016	naive	macrophage (CL_0000235)	163
Nedelec_2016	Salmonella_5h (NCBITaxon_90371)	macrophage (CL_0000235)	167
Quach_2016	naive	monocyte (CL_0002057)	200
Quach_2016	LPS_6h (CHEBI_16412)	monocyte (CL_0002057)	184
Quach_2016	Pam3CSK4_6h (CHEBI_46895)	monocyte (CL_0002057)	196
Quach_2016	R848_6h (CHEBI_36706)	monocyte (CL_0002057)	191
Quach_2016	Influenza_6h (NCBITaxon_11320)	monocyte (CL_0002057)	198
ROSMAP	naive	brain (UBERON_0009834)	576
Schmiedel_2018	naive	Tfh (CL_0002038)	89
Schmiedel_2018	naive	Th17 (CL_0000899)	89
Schmiedel_2018	naive	Th1 (CL_0000545)	82
Schmiedel_2018	naive	Th2 (CL_0000546)	89
Schmiedel_2018	naive	Th1-17 (CL_0000899)	88
Schmiedel_2018	naive	Treg (CL_0002678)	89
Schmiedel_2018	naive	Treg (CL_0002677)	89
Schmiedel_2018	naive	B-cell (CL_0000236)	91
Schmiedel_2018	naive	CD4_T-cell (CL_0000624)	88
Schmiedel_2018	anti-CD3-CD28_4h (EFO_0003317; EFO_0003304)	CD4_T-cell (CL_0000624)	89
Schmiedel_2018	naive	CD8_T-cell (CL_0000625)	89
Schmiedel_2018	anti-CD3-CD28_4h (EFO_0003317; EFO_0003304)	CD8_T-cell (CL_0000625)	88
Schmiedel_2018	naive	monocyte_CD16 (CL_0002396)	90
Schmiedel_2018	naive	monocyte (CL_0002057)	91
Schmiedel_2018	naive	NK-cell (CL_0000623)	90
Schwartzentruber_2018	naive	sensory_neuron (CL_0000101)	98
TwinsUK	naive	fat (UBERON_0001013)	381
TwinsUK	naive	LCL (EFO_0005292)	418
TwinsUK	naive	skin (UBERON_0002097)	370
TwinsUK	naive	blood (UBERON_0000178)	195
van_de_Bunt_2015	naive	pancreatic_islet (UBERON_0000006)	117
