study_label	sample_group	quant_method	study_id	dataset_id
Alasoo_2018	macrophage_naive	ge	QTS000001	QTD000001
Alasoo_2018	macrophage_naive	exon	QTS000001	QTD000002
Alasoo_2018	macrophage_naive	tx	QTS000001	QTD000003
Alasoo_2018	macrophage_naive	txrev	QTS000001	QTD000004
Alasoo_2018	macrophage_naive	leafcutter	QTS000001	QTD000005
Alasoo_2018	macrophage_IFNg	ge	QTS000001	QTD000006
Alasoo_2018	macrophage_IFNg	exon	QTS000001	QTD000007
Alasoo_2018	macrophage_IFNg	tx	QTS000001	QTD000008
Alasoo_2018	macrophage_IFNg	txrev	QTS000001	QTD000009
Alasoo_2018	macrophage_IFNg	leafcutter	QTS000001	QTD000010
Alasoo_2018	macrophage_Salmonella	ge	QTS000001	QTD000011
Alasoo_2018	macrophage_Salmonella	exon	QTS000001	QTD000012
Alasoo_2018	macrophage_Salmonella	tx	QTS000001	QTD000013
Alasoo_2018	macrophage_Salmonella	txrev	QTS000001	QTD000014
Alasoo_2018	macrophage_Salmonella	leafcutter	QTS000001	QTD000015
Alasoo_2018	macrophage_IFNg+Salmonella	ge	QTS000001	QTD000016
Alasoo_2018	macrophage_IFNg+Salmonella	exon	QTS000001	QTD000017
Alasoo_2018	macrophage_IFNg+Salmonella	tx	QTS000001	QTD000018
Alasoo_2018	macrophage_IFNg+Salmonella	txrev	QTS000001	QTD000019
Alasoo_2018	macrophage_IFNg+Salmonella	leafcutter	QTS000001	QTD000020
BLUEPRINT	monocyte	ge	QTS000002	QTD000021
BLUEPRINT	monocyte	exon	QTS000002	QTD000022
BLUEPRINT	monocyte	tx	QTS000002	QTD000023
BLUEPRINT	monocyte	txrev	QTS000002	QTD000024
BLUEPRINT	monocyte	leafcutter	QTS000002	QTD000025
BLUEPRINT	neutrophil	ge	QTS000002	QTD000026
BLUEPRINT	neutrophil	exon	QTS000002	QTD000027
BLUEPRINT	neutrophil	tx	QTS000002	QTD000028
BLUEPRINT	neutrophil	txrev	QTS000002	QTD000029
BLUEPRINT	neutrophil	leafcutter	QTS000002	QTD000030
BLUEPRINT	T-cell	ge	QTS000002	QTD000031
BLUEPRINT	T-cell	exon	QTS000002	QTD000032
BLUEPRINT	T-cell	tx	QTS000002	QTD000033
BLUEPRINT	T-cell	txrev	QTS000002	QTD000034
BLUEPRINT	T-cell	leafcutter	QTS000002	QTD000035
