study_id	dataset_id	study_label	sample_group	tissue_id	tissue_label	condition_label	sample_size	quant_method	pmid	study_type
QTS000015	QTD000116	GTEx	adipose_subcutaneous	UBERON_0001013	adipose	naive	749	ge	32913098	bulk
QTS000015	QTD000117	GTEx	adipose_subcutaneous	UBERON_0001013	adipose	naive	749	exon	32913098	bulk
QTS000015	QTD000118	GTEx	adipose_subcutaneous	UBERON_0001013	adipose	naive	749	tx	32913098	bulk
QTS000015	QTD000119	GTEx	adipose_subcutaneous	UBERON_0001013	adipose	naive	749	txrev	32913098	bulk
QTS000015	QTD000120	GTEx	adipose_subcutaneous	UBERON_0001013	adipose	naive	749	leafcutter	32913098	bulk
QTS000015	QTD000121	GTEx	adipose_visceral	UBERON_0010414	adipose (visceral)	naive	606	ge	32913098	bulk
QTS000015	QTD000122	GTEx	adipose_visceral	UBERON_0010414	adipose (visceral)	naive	606	exon	32913098	bulk
QTS000015	QTD000123	GTEx	adipose_visceral	UBERON_0010414	adipose (visceral)	naive	606	tx	32913098	bulk
QTS000015	QTD000124	GTEx	adipose_visceral	UBERON_0010414	adipose (visceral)	naive	606	txrev	32913098	bulk
QTS000015	QTD000125	GTEx	adipose_visceral	UBERON_0010414	adipose (visceral)	naive	606	leafcutter	32913098	bulk
QTS000015	QTD000126	GTEx	adrenal_gland	UBERON_0002369	adrenal gland	naive	305	ge	32913098	bulk
QTS000015	QTD000127	GTEx	adrenal_gland	UBERON_0002369	adrenal gland	naive	305	exon	32913098	bulk
QTS000015	QTD000128	GTEx	adrenal_gland	UBERON_0002369	adrenal gland	naive	305	tx	32913098	bulk
QTS000015	QTD000129	GTEx	adrenal_gland	UBERON_0002369	adrenal gland	naive	305	txrev	32913098	bulk
QTS000015	QTD000130	GTEx	adrenal_gland	UBERON_0002369	adrenal gland	naive	305	leafcutter	32913098	bulk
QTS000015	QTD000131	GTEx	artery_aorta	UBERON_0001496	artery (aorta)	naive	492	ge	32913098	bulk
QTS000015	QTD000132	GTEx	artery_aorta	UBERON_0001496	artery (aorta)	naive	492	exon	32913098	bulk
QTS000015	QTD000133	GTEx	artery_aorta	UBERON_0001496	artery (aorta)	naive	492	tx	32913098	bulk
QTS000015	QTD000134	GTEx	artery_aorta	UBERON_0001496	artery (aorta)	naive	492	txrev	32913098	bulk
QTS000015	QTD000135	GTEx	artery_aorta	UBERON_0001496	artery (aorta)	naive	492	leafcutter	32913098	bulk
QTS000015	QTD000136	GTEx	artery_coronary	UBERON_0001621	artery (coronary)	naive	279	ge	32913098	bulk
QTS000015	QTD000137	GTEx	artery_coronary	UBERON_0001621	artery (coronary)	naive	279	exon	32913098	bulk
QTS000015	QTD000138	GTEx	artery_coronary	UBERON_0001621	artery (coronary)	naive	279	tx	32913098	bulk
QTS000015	QTD000139	GTEx	artery_coronary	UBERON_0001621	artery (coronary)	naive	279	txrev	32913098	bulk
QTS000015	QTD000140	GTEx	artery_coronary	UBERON_0001621	artery (coronary)	naive	279	leafcutter	32913098	bulk
QTS000015	QTD000141	GTEx	artery_tibial	UBERON_0007610	artery (tibial)	naive	736	ge	32913098	bulk
QTS000015	QTD000142	GTEx	artery_tibial	UBERON_0007610	artery (tibial)	naive	736	exon	32913098	bulk
QTS000015	QTD000143	GTEx	artery_tibial	UBERON_0007610	artery (tibial)	naive	736	tx	32913098	bulk
QTS000015	QTD000144	GTEx	artery_tibial	UBERON_0007610	artery (tibial)	naive	736	txrev	32913098	bulk
QTS000015	QTD000145	GTEx	artery_tibial	UBERON_0007610	artery (tibial)	naive	736	leafcutter	32913098	bulk
QTS000015	QTD000146	GTEx	brain_amygdala	UBERON_0001876	brain (amygdala)	naive	202	ge	32913098	bulk
QTS000015	QTD000147	GTEx	brain_amygdala	UBERON_0001876	brain (amygdala)	naive	202	exon	32913098	bulk
QTS000015	QTD000148	GTEx	brain_amygdala	UBERON_0001876	brain (amygdala)	naive	202	tx	32913098	bulk
QTS000015	QTD000149	GTEx	brain_amygdala	UBERON_0001876	brain (amygdala)	naive	202	txrev	32913098	bulk
QTS000015	QTD000150	GTEx	brain_amygdala	UBERON_0001876	brain (amygdala)	naive	202	leafcutter	32913098	bulk
QTS000015	QTD000151	GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	brain (anterior cingulate cortex)	naive	242	ge	32913098	bulk
QTS000015	QTD000152	GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	brain (anterior cingulate cortex)	naive	242	exon	32913098	bulk
QTS000015	QTD000153	GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	brain (anterior cingulate cortex)	naive	242	tx	32913098	bulk
QTS000015	QTD000154	GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	brain (anterior cingulate cortex)	naive	242	txrev	32913098	bulk
QTS000015	QTD000155	GTEx	brain_anterior_cingulate_cortex	UBERON_0009835	brain (anterior cingulate cortex)	naive	242	leafcutter	32913098	bulk
QTS000015	QTD000156	GTEx	brain_caudate	UBERON_0001873	brain (caudate)	naive	315	ge	32913098	bulk
QTS000015	QTD000157	GTEx	brain_caudate	UBERON_0001873	brain (caudate)	naive	315	exon	32913098	bulk
QTS000015	QTD000158	GTEx	brain_caudate	UBERON_0001873	brain (caudate)	naive	315	tx	32913098	bulk
QTS000015	QTD000159	GTEx	brain_caudate	UBERON_0001873	brain (caudate)	naive	315	txrev	32913098	bulk
QTS000015	QTD000160	GTEx	brain_caudate	UBERON_0001873	brain (caudate)	naive	315	leafcutter	32913098	bulk
QTS000015	QTD000161	GTEx	brain_cerebellar_hemisphere	UBERON_0002037	brain (cerebellum)	naive	286	ge	32913098	bulk
QTS000015	QTD000162	GTEx	brain_cerebellar_hemisphere	UBERON_0002037	brain (cerebellum)	naive	286	exon	32913098	bulk
