study_label	sample_group	quant_method	study_id	dataset_id
Aygun_2021	Progenitor	ge	QTS000032	QTD000564
Aygun_2021	Progenitor	exon	QTS000032	QTD000565
Aygun_2021	Progenitor	tx	QTS000032	QTD000566
Aygun_2021	Progenitor	txrev	QTS000032	QTD000567
Aygun_2021	Progenitor	leafcutter	QTS000032	QTD000568
Aygun_2021	Neuron	ge	QTS000032	QTD000569
Aygun_2021	Neuron	exon	QTS000032	QTD000570
Aygun_2021	Neuron	tx	QTS000032	QTD000571
Aygun_2021	Neuron	txrev	QTS000032	QTD000572
Aygun_2021	Neuron	leafcutter	QTS000032	QTD000573
PISA	pancreatic_islet	ge	QTS000033	QTD000574
PISA	pancreatic_islet	exon	QTS000033	QTD000575
PISA	pancreatic_islet	tx	QTS000033	QTD000576
PISA	pancreatic_islet	txrev	QTS000033	QTD000577
PISA	pancreatic_islet	leafcutter	QTS000033	QTD000578
Walker_2019	Neocortex	ge	QTS000034	QTD000579
Walker_2019	Neocortex	exon	QTS000034	QTD000580
Walker_2019	Neocortex	tx	QTS000034	QTD000581
Walker_2019	Neocortex	txrev	QTS000034	QTD000582
Walker_2019	Neocortex	leafcutter	QTS000034	QTD000583
Sun_2018	plasma	somalogic	QTS000035	QTD000584
