study	EUR	AFR	SAS	EAS	Unassigned	count	proportion
Alasoo_2018	84	0	0	0	0	84	0.0093
BLUEPRINT_PE	197	0	0	0	0	197	0.0219
BLUEPRINT_SE	197	0	0	0	0	197	0.0219
Bossini-Castillo_2019	119	0	0	0	0	119	0.0132
Braineac2	110	0	0	0	0	110	0.0122
BrainSeq	232	227	1	0	19	479	0.0532
CAP	100	45	0	0	3	148	0.0164
CEDAR	322	0	0	0	0	322	0.0358
CommonMind	477	80	2	2	25	586	0.0651
Fairfax_2012	422	0	0	0	2	424	0.0471
Fairfax_2014	422	0	0	0	2	424	0.0471
FUSION	297	0	0	0	0	297	0.033
GENCORD	194	0	0	0	2	196	0.0218
GEUVADIS	358	87	0	0	0	445	0.0495
Gilchrist_2021	422	0	0	0	2	424	0.0471
GTEx	712	95	3	10	18	838	0.0931
HipSci	320	0	1	0	1	322	0.0358
iPSCORE	94	0	5	1	7	107	0.0119
Kasela_2017	299	0	0	0	0	299	0.0332
Lepik_2017	479	0	0	0	0	479	0.0532
Naranbhai_2015	422	0	0	0	2	424	0.0471
Nedelec_2016	96	64	0	0	8	168	0.0187
Peng_2018	113	11	0	6	19	149	0.0166
PhLiPS	42	38	2	0	2	84	0.0093
Quach_2016	100	100	0	0	0	200	0.0222
ROSMAP	560	0	0	0	0	560	0.0622
Schmiedel_2018	53	4	3	21	10	91	0.0101
Schwartzentruber_2018	98	0	0	0	0	98	0.0109
Steinberg_2020	73	0	0	0	0	73	0.0081
TwinsUK	432	0	0	0	1	433	0.0481
van_de_Bunt_2015	117	0	0	0	0	117	0.013
Young_2019	96	3	3	0	2	104	0.0116
Total assigned population across studies	8059	754	20	40	125	8998	1
