Study	Sample Size	EUR	AFR	SAS	EAS	Unassigned	Proportion
Alasoo_2018	84	83	0	0	0	1	0.01
BLUEPRINT	197	197	0	0	0	0	0.03
BrainSeq	479	231	195	1	0	52	0.06
CEDAR	322	322	0	0	0	0	0.04
Fairfax_2014	423	421	0	0	0	2	0.06
FUSION	297	297	0	0	0	0	0.04
GENCORD	196	192	0	0	0	4	0.03
GEUVADIS	445	358	87	0	0	0	0.06
GTEx	838	705	82	3	10	38	0.11
HipSci	322	318	0	1	0	3	0.04
Kasela_2017	295	295	0	0	0	0	0.04
Lepik_2017	471	471	0	0	0	0	0.06
Nedelec_2016	168	96	52	0	0	20	0.02
Quach_2016	200	100	100	0	0	0	0.03
ROSMAP	569	569	0	0	0	0	0.08
Schmiedel_2018	91	48	3	3	20	17	0.01
Schwartzentruber_2018	98	98	0	0	0	0	0.01
TwinsUK	433	432	0	0	0	1	0.06
van_de_Bunt_2015	117	117	0	0	0	0	0.02
Braineac2	110	110	0	0	0	0	0.01
CAP	148	100	45	0	0	3	0.02
CommonMind	590	483	80	2	3	22	0.08
iPSCORE	107	95	0	5	1	6	0.01
Peng_2018	149	115	11	0	6	17	0.02
PhLiPS	87	46	38	2	0	1	0.01
Steinberg_2020	73	73	0	0	0	0	0.01
Young_2019	104	96	3	3	0	2	0.01
