dataset_id	sample_size
QTD000585	89
QTD000586	89
QTD000587	89
QTD000588	89
QTD000589	89
QTD000590	89
QTD000591	89
QTD000592	89
QTD000593	89
QTD000594	88
QTD000595	89
QTD000596	89
QTD000597	191
QTD000598	193
QTD000599	193
QTD000600	193
QTD000601	193
QTD000602	191
QTD000603	193
QTD000604	193
QTD000605	190
QTD000606	977
QTD000607	981
QTD000608	980
QTD000609	959
QTD000610	930
QTD000611	946
QTD000612	981
QTD000613	981
QTD000614	981
QTD000615	980
QTD000616	977
QTD000617	981
QTD000618	705
QTD000619	900
QTD000620	981
QTD000621	952
QTD000622	696
QTD000623	795
QTD000624	534
QTD000625	981
QTD000626	869
QTD000627	678
QTD000628	975
QTD000629	639
QTD000630	149
QTD000631	152
QTD000632	157
QTD000633	186
QTD000634	190
QTD000635	163
QTD000636	154
QTD000637	174
QTD000638	165
QTD000639	126
QTD000640	181
QTD000641	146
QTD000642	191
QTD000643	188
QTD000644	172
QTD000645	172
QTD000646	190
QTD000647	173
QTD000648	188
QTD000649	156
QTD000650	175
QTD000651	165
QTD000652	172
QTD000653	128
QTD000654	72
QTD000655	93
QTD000656	180
QTD000657	166
QTD000658	191
QTD000659	194
QTD000660	249
QTD000661	249
QTD000662	245
QTD000663	248
QTD000664	247
QTD000665	249
QTD000666	248
QTD000667	249
QTD000668	249
QTD000669	249
QTD000670	110
QTD000671	247
QTD000672	249
QTD000673	249
QTD000674	249
QTD000675	248
QTD000676	244
QTD000677	249
QTD000678	248
QTD000679	245
QTD000680	249
QTD000681	249
QTD000682	248
QTD000683	249
QTD000684	232
QTD000685	249
QTD000686	249
QTD000687	249
QTD000688	249
QTD000689	105
QTD000690	94
QTD000691	94
QTD000692	93
QTD000693	99
QTD000694	106
QTD000695	95
QTD000696	88
QTD000697	106
QTD000698	97
QTD000699	92
QTD000700	75
QTD000701	94
QTD000702	99
QTD000703	93
QTD000704	95
QTD000705	72
QTD000706	94
QTD000707	106
QTD000708	94
QTD000709	94
QTD000710	95
QTD000711	94
QTD000712	100
QTD000713	100
QTD000714	106
QTD000715	99
QTD000716	94
QTD000717	94
QTD000718	100
QTD000719	103
QTD000720	106
QTD000721	98
QTD000722	79
QTD000723	100
QTD000724	95
QTD000725	80
QTD000726	100
QTD000727	94
QTD000728	94
QTD000729	94
QTD000730	93
QTD000731	96
QTD000732	93
QTD000733	95
QTD000734	106
QTD000735	95
QTD000736	91
QTD000737	95
QTD000738	95
QTD000739	89
QTD000740	97
QTD000741	100
QTD000742	100
QTD000743	94
QTD000744	93
QTD000745	77
QTD000746	100
QTD000747	106
QTD000748	89
QTD000749	93
QTD000750	91
QTD000751	97
