Factors	count	Fraction
Universal	16902	0.2689816509381415
Lymphocyte	13043	0.20756878908923088
Monocyte & Macrophage	12979	0.20655028088546556
Mixed Tissues	12798	0.20366981237169185
Skin	11822	0.18813756226427106
Brain	11183	0.17796839441730192
LCL	10508	0.16722631570571478
Testis	9771	0.15549755717173003
Blood	7881	0.12541973677928608
Monocyte	7880	0.12540382258860225
Neutrophil	7700	0.12253926826551235
Muscle	7463	0.11876760507344399
Adipose	6668	0.10611582347979694
Brain Cerebellum	6071	0.09661505164154877
Fibroblast	5915	0.09413243789487086
iPSC	5367	0.08541146140013049
Thyroid	4880	0.07766125053710393
ROSMAP Brain	4474	0.07120008911946783
Heart	4226	0.0672533698298773
BLUEPRINT T cell	3170	0.050447984467749896
T cell (anti-CD3/CD28)	2768	0.04405047981284912
