"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16"
"Alasoo_2018.macrophage_IFNg" 5.08018482029746 0 0 0 0 0 0 0 0 0 11.3308928373498 0 0 0 0 0
"Alasoo_2018.macrophage_IFNg+Salmonella" 4.42736223065446 0 0 0 0 0 1.1896285936153 0 0 0 9.65417416791487 0 0 0 0 0
"Alasoo_2018.macrophage_naive" 4.87089352041153 0 0 0 0 0 0 0 0 0 10.5612177297314 0 0 0 0 0
"Alasoo_2018.macrophage_Salmonella" 4.93119707739496 0 0 0 0 0 0.77862906324441 0 0 0 10.6293985919721 0 0 0 0 0
"BLUEPRINT_PE.T-cell" 3.53916411102403 0 0 0 0 10.2137494326065 0 0 0 0 0 0 29.0434275792463 0 0 0
"BLUEPRINT_SE.monocyte" 5.70536079886027 0 0 0 0 0 0 0 0 0 0 39.3672569042056 0 0 0 0
"BLUEPRINT_SE.neutrophil" 3.3660664545741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47.357291101951
"BrainSeq.brain" 3.1941983935669 0 0 0 0 0 0 0 0 11.3205538245435 0.154720237373654 0 0 0 0 0
"FUSION.adipose_naive" 7.61549509265244 0 0 0 0 0 0 25.4464202955518 0 0 0 0 0 0 0 0
"FUSION.muscle_naive" 6.17923022716951 0 0 0 0 0 0 0 0 0 0 0 0 0 30.5279959667981 0
"GENCORD.fibroblast" 4.71606817001294 0 0 0 0 0 0 0 0 0 5.10409722280688 0 0 0 0 0
"GENCORD.LCL" 3.9349194971663 0 0 0 20.0970595588317 0.215651562848454 0 0 0 0 0 0 0 0 0 0
"GENCORD.T-cell" 4.5475162390879 0 0 0 3.84461287445984 5.25694076889743 0.167799638231053 0 0 0 1.33339569912545 0 0 0 0 0
"GEUVADIS.LCL" 4.07458404715112 0 0 0 23.3365497271322 0 0 0 0 0 0.758650691154832 0 0 0 0 0
"GTEx.adipose_subcutaneous" 7.17780931305944 0 0 0 0 0 0 4.79792750261661 0 0 0 0 0 0 0 0
"GTEx.adipose_visceral" 7.43693756011526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.adrenal_gland" 6.34603717506986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.artery_aorta" 7.29429503461471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.artery_coronary" 7.28329150914779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.artery_tibial" 7.02592086950541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.blood" 5.58481235773133 0 0 19.4777508003768 0 0.246700573113625 1.02106172595474 0 0 0 0 0.497054669516629 0 0 0 3.12077889280795
"GTEx.brain_amygdala" 4.71655129365474 0 0 0 0 0 0 0 0 7.05442169727995 0 0 0 0 0 0
"GTEx.brain_anterior_cingulate_cortex" 4.40366287726124 0 0 0 0 0 0 0 0 9.40086817218617 0 0 0 0 0 0
"GTEx.brain_caudate" 4.69551448871761 0 0 0 0 0 0 0 0 9.31345054295593 0 0 0 0 0 0
"GTEx.brain_cerebellar_hemisphere" 3.71879472976411 0 0 0 0 0 0 0 0 7.55410474317992 0 0 0 0 0 0
"GTEx.brain_cerebellum" 3.96638404422937 0 0 0 0 0 0 0 0 7.77496780832426 0 0 0 0 0 0
"GTEx.brain_cortex" 4.52394577966227 0 0 0 0 0 0 0 0 10.6121049112824 0 0 0 0 0 0
"GTEx.brain_frontal_cortex" 4.18791309406072 0 0 0 0 0 0 0 0 10.6556398988189 0 0 0 0 0 0
"GTEx.brain_hippocampus" 4.73258002671176 0 0 0 0 0 0 0 0 7.58337572984004 0 0 0 0 0 0
"GTEx.brain_hypothalamus" 4.90375554629732 0 0 0 0 0 0 0 0 7.28593561964142 0 0 0 0 0 0
"GTEx.brain_nucleus_accumbens" 4.46991257045212 0 0 0 0 0 0 0 0 9.18572789504791 0 0 0 0 0 0
"GTEx.brain_putamen" 4.50007191523446 0 0 0 0 0 0 0 0 8.78567572827958 0 0 0 0 0 0
"GTEx.brain_spinal_cord" 4.89816730911577 0 0 0 0 0 0 0 0 3.65584828778117 0 0 0 0 0 0
"GTEx.brain_substantia_nigra" 4.76329735052251 0 0 0 0 0 0 0 0 4.17223038945941 0 0 0 0 0 0
"GTEx.breast" 7.17588279711201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.colon_sigmoid" 6.8671188551838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.colon_transverse" 7.27498678299749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.esophagus_gej" 7.11523042569319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.esophagus_mucosa" 6.9488340496979 0 5.44102192882331 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.esophagus_muscularis" 7.17977089603458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.fibroblast" 6.09185855337673 0 0 0 0 0 0 0 0 0 3.43382007944513 0 0 0 0 0
"GTEx.heart_atrial_appendage" 6.88730424292847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.heart_left_ventricle" 6.26070988370868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.LCL" 4.75287133190141 0 0 0 15.8562512301122 0 0 0 0 0 0 0 0 0 0 0
"GTEx.liver" 5.40689682807752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GTEx.lung" 7.2995051638984 0 0 0 0 0.0725160898543065 0.370855918939295 0 0 0 0 0 0 0 0 0
