1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Alasoo_2018.macrophage_IFNg	2.98381737338239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90068873380798	0
Alasoo_2018.macrophage_IFNg+Salmonella	2.70940656772331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73288182386968	0
Alasoo_2018.macrophage_naive	2.8297136678045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85360311545385	0
Alasoo_2018.macrophage_Salmonella	2.93603263396219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6266324163266	0
BLUEPRINT_PE.T-cell	1.9053387352482	0	0	0	0	0	0	0	0	21.1152724431182	0	0	7.52032759153561	0	0	0	0	0	0	0	0
BLUEPRINT_SE.monocyte	2.7331882407211	0	0	26.567967855084	0	0	4.95283218496619	0	0	0	0	0	1.71325331211123	0	0	0	0	0	0	1.05711945793253	0
BLUEPRINT_SE.neutrophil	1.52551665620585	0	0	0	0	0	27.6883512663876	0	0	0	0	0	0.557162753037493	0	0	0	0	0	0	0	0
BrainSeq.brain	1.56046785330196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99246574632143	0	0	0	0.112603878204796	0
FUSION.adipose_naive	2.89011144178423	0	0	0	0	0	0	0	0	0	0	0	0	18.9872964511615	4.74513194211502	0	0	0	0	0	0
FUSION.muscle_naive	2.5194938039466	0	25.3590220391664	0	0	0	0	0	0	0	0	0	0	0	2.11133977560474	0	0	0	0	0	0
GENCORD.fibroblast	2.23735387051374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1302191720418	0	0	0
GENCORD.LCL	1.97542489607159	0	0	0	14.4572814540344	0	0	0	0	0	0	0	0.0984690661477655	0	0	0	0	0	0	0	0
GENCORD.T-cell	2.5248638600544	0	0	0	3.51313205976563	0	0	0	0	0	0	0	3.54212396775915	0	0	0	0	0	0	0.624529904343737	0
GEUVADIS.LCL	2.03221316056049	0	0	0	16.029884892691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTExV8.adipose_subcutaneous	2.48870076916726	0	0	0	0	0	0	0	0	0	0	0	0	6.71427564725646	6.61053371562235	0	0	0	0	0.164991404328233	0.334719167604269
GTExV8.adipose_visceral	2.83425448562453	0	0	0	0	0	0	0	0	0	0	0	0	3.8016174376251	6.02047988270745	0	0	0	0	0.103497510836324	0
GTExV8.adrenal_gland	2.71719457510748	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51433463048513	0	0	0	0	0	0
GTExV8.artery_aorta	2.50183415141303	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9871935657605	0	0	0	0	0	0
GTExV8.artery_coronary	2.68893112604606	0	0	0	0	0	0	0	0	0	0	0	0	0	7.05666804749686	0	0	0	0	0	0
GTExV8.artery_tibial	2.26943403761485	0	0	0	0	0	0	0	0	0	0	0	0	0	8.81765414296539	0	0	0	0	0	0
GTExV8.blood	2.51373169407069	0	0	0	0	0	6.92567845453454	0	15.279135882896	0	0	0	1.53978261451683	0	0	0	0	0	0	0.848802582225969	0
GTExV8.brain_amygdala	2.31803742851977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.90637523925669	0	0	0	0	0
GTExV8.brain_anterior_cingulate_cortex	2.21394714780338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.65784636975067	0	0	0	0	0
GTExV8.brain_caudate	2.25757418937713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36537808185324	0	0	0	0	0
GTExV8.brain_cerebellar_hemisphere	1.9155047520743	0	0	0	0	20.2296817248638	0	0	0	0	0	0	0	0	0	4.63158590154785	0	0	0	0	0
GTExV8.brain_cerebellum	2.04099842150158	0	0	0	0	21.5394984471524	0	0	0	0	0	0	0	0	0	4.7126615531178	0	0	0	0	0
GTExV8.brain_cortex	2.27360358502411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1151053713199	0	0	0	0	0
GTExV8.brain_frontal_cortex	2.06354675258524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52838299800989	0	0	0	0	0
GTExV8.brain_hippocampus	2.35006976449791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9203264113065	0	0	0	0	0
GTExV8.brain_hypothalamus	2.45029754998748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54142742412203	0	0	0	0	0
GTExV8.brain_nucleus_accumbens	2.18261422301728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.27733582962479	0	0	0	0	0
GTExV8.brain_putamen	2.21701975242606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2525686740426	0	0	0	0	0
GTExV8.brain_spinal_cord	2.33179650442118	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178694924116789	6.58064761637503	0	0	0	0	0
GTExV8.brain_substantia_nigra	2.32173711471149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.58621401671612	0	0	0	0	0
GTExV8.breast	2.63196842923995	0	0	0	0	0	0	0	0	0	0	0	0	2.05221165226688	5.43759705265905	0	0	0	0	0	0.726565213991914
GTExV8.colon_sigmoid	2.52751273279403	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52876492928445	0	0	0	0	0	0
GTExV8.colon_transverse	3.10494560899119	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33811674464576	0	0	0	0	0	0
GTExV8.esophagus_gej	2.52837819806129	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69204201900302	0	0	0	0	0	0
GTExV8.esophagus_mucosa	2.90310382704188	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384474612909019	0	0	0	0	0	9.24602893213424
GTExV8.esophagus_muscularis	2.50001771342672	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75821128049717	0.0633279082950058	0	0	0	0	0
GTExV8.fibroblast	1.72405410083098	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37236260039421	0	0	19.8611575826779	0	0	0
GTExV8.heart_atrial_appendage	2.65052050757785	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17159087651596	0.0320280615091279	9.86869764541491	0	0	0	0
GTExV8.heart_left_ventricle	2.48267135967984	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28429533373895	0	12.7130563350792	0	0	0	0
GTExV8.kidney_cortex	3.28909358488659	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365780405932438	0	0	0	0	0	0
GTExV8.LCL	2.32437882772344	0	0	0	12.8300215207785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTExV8.liver	2.81901626365616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTExV8.lung	2.94192880843903	0	0	0	0	0	0.220218140244152	0	0.310316136493488	0	0	0	0.244114458907836	0	4.24973896124636	0	0	0	0	0.593743758817153	0.180136760299333
GTExV8.minor_salivary_gland	2.96815244836173	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55164121059877	0	0	0	0	0	1.96384366733167
GTExV8.muscle	2.39516398360194	0	18.2994261459348	0	0	0	0	0	0	0	0	0	0	0	3.14887463076708	0	3.87142470345638	0	0	0.0388215532840948	0
GTExV8.nerve_tibial	2.50359588663564	0	0	0	0	0	0	0	0	0	0	0	0.0183459513173278	0	8.34928733456904	1.03407888979962	0	0	0	0	0.326157372173307
GTExV8.ovary	2.56908241502643	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42279642253049	0	0	0	0	0	0
GTExV8.pancreas	3.15256169922508	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07398954710728	0	0	0	0	0	0
GTExV8.pituitary	3.06472274211725	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76166656605377	3.17184957960685	0	0	0	0	0
GTExV8.prostate	3.02864128169956	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34326510893472	0	0	0	0	0	0
GTExV8.skin_not_sun_exposed	2.3446633834092	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506124654765213	0	0	0	0	0	14.3521882031223
GTExV8.skin_sun_exposed	2.25753347740375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.816506332755461	0	0	0	0	0	14.4440314650121
GTExV8.small_intestine	2.98044691710802	0	0	0	0	0	0	0	0	0	0	0	0.702954087470824	0	2.84601576427007	0	0	0	0	0	0
GTExV8.spleen	2.72179887221651	0	0	0	0.177073060628324	0	0.504157600091395	0	2.67694069171365	0	0	0	1.24321302625544	0	2.00343960293687	0	0	0	0	0.0213599392438065	0
GTExV8.stomach	2.85142778065567	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72044470137028	0	0	0	0	0	0
GTExV8.testis	2.37305907285684	0	0	0	0	0	0	40.8527975991234	0	0	0	0	0	0	0.076315061489793	0	0	0	0	0	0
GTExV8.thyroid	2.85767345974954	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40905135146807	0	0	0	22.8003390561652	0	0
GTExV8.uterus	2.62004375683432	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87790745781566	0	0	0	0	0	0
GTExV8.vagina	3.04973830319913	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8606731143779	0	0	0	0	0	1.14130439039582
HipSci.iPSC	2.45423066147637	0	0	0	0	0	0	0	0	0	28.1700776775952	0	0	0	0	0	0	0	0	0	0
Lepik_2017.blood	2.24357355127437	0	0	0	0	0	3.96659465201005	0	23.4370294133046	0	0	0	2.06016320013223	0	0	0	0	0	0	0	0
Nedelec_2016.macrophage_Listeria	2.31850642748744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59890160071709	0
