dataset	study	qtl_group	type	condition	condition_label	tissue_ontology_id	tissue_ontology_term	tissue_label	ge	exon	tx	txrev
Alasoo_2018.macrophage_IFNg	Alasoo_2018	macrophage_IFNg	RNA-seq	IFNg	IFNg_18h	CL_0000235	macrophage	macrophage	1663	1233	1164	1571
Alasoo_2018.macrophage_IFNg+Salmonella	Alasoo_2018	macrophage_IFNg+Salmonella	RNA-seq	IFNg+Salmonella	IFNg_18h+Salmonella_5h	CL_0000235	macrophage	macrophage	1131	774	726	975
Alasoo_2018.macrophage_naive	Alasoo_2018	macrophage_naive	RNA-seq	naive	naive	CL_0000235	macrophage	macrophage	1615	1160	1205	1708
Alasoo_2018.macrophage_Salmonella	Alasoo_2018	macrophage_Salmonella	RNA-seq	Salmonella	Salmonella_5h	CL_0000235	macrophage	macrophage	1174	935	915	1226
BLUEPRINT.T-cell	BLUEPRINT	T-cell	RNA-seq	naive	naive	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	6154	4570	2848	3994
BLUEPRINT.monocyte	BLUEPRINT	monocyte	RNA-seq	naive	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	6934	4738	2593	4045
BLUEPRINT.neutrophil	BLUEPRINT	neutrophil	RNA-seq	naive	naive	CL_0000775	neutrophil	neutrophil	5588	3829	1887	2905
BrainSeq.brain	BrainSeq	brain	RNA-seq	naive	naive	UBERON_0009834	dorsolateral prefrontal cortex	brain (DLPFC)	4961	6046	3858	4999
CEDAR.B-cell_CD19	CEDAR	B-cell_CD19	Microarray	naive	naive	CL_0000236	B cell	B cell	1197	NA	NA	NA
CEDAR.ileum	CEDAR	ileum	Microarray	naive	naive	UBERON_0002116	ileum	ileum	592	NA	NA	NA
CEDAR.monocyte_CD14	CEDAR	monocyte_CD14	Microarray	naive	naive	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	2264	NA	NA	NA
CEDAR.neutrophil_CD15	CEDAR	neutrophil_CD15	Microarray	naive	naive	CL_0000775	neutrophil	neutrophil	1973	NA	NA	NA
CEDAR.platelet	CEDAR	platelet	Microarray	naive	naive	CL_0000233	platelet	platelet	397	NA	NA	NA
CEDAR.rectum	CEDAR	rectum	Microarray	naive	naive	UBERON_0001052	rectum	rectum	814	NA	NA	NA
CEDAR.T-cell_CD4	CEDAR	T-cell_CD4	Microarray	naive	naive	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	2408	NA	NA	NA
