gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	cell_type_class
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg+Salmonella_exon	2	2	84	immune cell
BMI-ukb-a-248	Alasoo_2018.macrophage_Salmonella_exon	2	2	84	immune cell
BMI-ukb-a-248	BLUEPRINT_PE.T-cell_exon	4	4	167	immune cell
BMI-ukb-a-248	BLUEPRINT_SE.monocyte_exon	5	5	191	immune cell
BMI-ukb-a-248	BLUEPRINT_SE.neutrophil_exon	6	6	196	immune cell
BMI-ukb-a-248	BrainSeq.brain_exon	7	7	479	other
BMI-ukb-a-248	FUSION.adipose_naive_exon	6	6	271	other
BMI-ukb-a-248	FUSION.muscle_naive_exon	4	4	288	other
BMI-ukb-a-248	GEUVADIS.LCL_exon	5	5	445	immune cell
BMI-ukb-a-248	HipSci.iPSC_exon	8	8	322	other
BMI-ukb-a-248	Lepik_2017.blood_exon	4	4	471	immune cell
BMI-ukb-a-248	Nedelec_2016.macrophage_Listeria_exon	3	1	163	immune cell
BMI-ukb-a-248	Nedelec_2016.macrophage_naive_exon	3	1	163	immune cell
BMI-ukb-a-248	Nedelec_2016.macrophage_Salmonella_exon	1	1	167	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_IAV_exon	4	4	198	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_LPS_exon	5	5	184	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_naive_exon	3	3	200	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_Pam3CSK4_exon	7	7	196	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_R848_exon	5	5	191	immune cell
BMI-ukb-a-248	ROSMAP.brain_naive_exon	18	18	576	other
BMI-ukb-a-248	Schmiedel_2018.B-cell_naive_exon	1	1	91	immune cell
BMI-ukb-a-248	Schmiedel_2018.CD8_T-cell_naive_exon	1	1	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.Th1-17_memory_exon	1	1	88	immune cell
BMI-ukb-a-248	Schmiedel_2018.Th17_memory_exon	1	1	89	immune cell
BMI-ukb-a-248	TwinsUK.LCL_exon	4	4	418	immune cell
BMI-ukb-a-248	TwinsUK.skin_exon	2	2	370	other
CAD-ebi-a-GCST003116	BLUEPRINT_SE.monocyte_exon	1	1	191	immune cell
CAD-ebi-a-GCST003116	BLUEPRINT_SE.neutrophil_exon	3	3	196	immune cell
CAD-ebi-a-GCST003116	GENCORD.T-cell_exon	1	1	184	immune cell
CAD-ebi-a-GCST003116	GEUVADIS.LCL_exon	1	1	445	immune cell
CAD-ebi-a-GCST003116	HipSci.iPSC_exon	1	1	322	other
CAD-ebi-a-GCST003116	Lepik_2017.blood_exon	3	3	471	immune cell
CAD-ebi-a-GCST003116	Quach_2016.monocyte_LPS_exon	1	1	184	immune cell
CAD-ebi-a-GCST003116	Quach_2016.monocyte_naive_exon	2	1	200	immune cell
CAD-ebi-a-GCST003116	Quach_2016.monocyte_Pam3CSK4_exon	2	2	196	immune cell
CAD-ebi-a-GCST003116	ROSMAP.brain_naive_exon	4	4	576	other
CAD-ebi-a-GCST003116	Schmiedel_2018.CD4_T-cell_naive_exon	1	1	88	immune cell
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_IFNg_exon	1	1	84	immune cell
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_Salmonella_exon	1	1	84	immune cell
CD-ebi-a-GCST004132	BLUEPRINT_PE.T-cell_exon	4	4	167	immune cell
CD-ebi-a-GCST004132	BLUEPRINT_SE.monocyte_exon	9	9	191	immune cell
CD-ebi-a-GCST004132	BLUEPRINT_SE.neutrophil_exon	3	3	196	immune cell
CD-ebi-a-GCST004132	FUSION.muscle_naive_exon	2	2	288	other
CD-ebi-a-GCST004132	GENCORD.fibroblast_exon	2	2	186	immune cell
CD-ebi-a-GCST004132	GENCORD.LCL_exon	1	1	190	immune cell
CD-ebi-a-GCST004132	GENCORD.T-cell_exon	5	3	184	immune cell
CD-ebi-a-GCST004132	GEUVADIS.LCL_exon	8	7	445	immune cell
CD-ebi-a-GCST004132	HipSci.iPSC_exon	3	3	322	other
CD-ebi-a-GCST004132	Lepik_2017.blood_exon	5	5	471	immune cell
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_Listeria_exon	2	2	163	immune cell
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_Salmonella_exon	7	6	167	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_IAV_exon	4	4	198	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_LPS_exon	6	6	184	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_naive_exon	7	7	200	immune cell
