gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	cell_type_class
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg_ge	3	1	84	immune cell
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg+Salmonella_ge	4	2	84	immune cell
BMI-ukb-a-248	Alasoo_2018.macrophage_naive_ge	11	4	84	immune cell
BMI-ukb-a-248	Alasoo_2018.macrophage_Salmonella_ge	3	2	84	immune cell
BMI-ukb-a-248	BLUEPRINT_PE.T-cell_ge	1	1	167	immune cell
BMI-ukb-a-248	BLUEPRINT_SE.monocyte_ge	17	9	191	immune cell
BMI-ukb-a-248	BLUEPRINT_SE.neutrophil_ge	12	8	196	immune cell
BMI-ukb-a-248	BrainSeq.brain_ge	13	3	479	other
BMI-ukb-a-248	CEDAR.B-cell_CD19_microarray	1	1	262	immune cell
BMI-ukb-a-248	CEDAR.ileum_microarray	4	3	180	other
BMI-ukb-a-248	CEDAR.monocyte_CD14_microarray	7	4	286	immune cell
BMI-ukb-a-248	CEDAR.neutrophil_CD15_microarray	5	3	280	immune cell
BMI-ukb-a-248	CEDAR.platelet_microarray	2	2	205	immune cell
BMI-ukb-a-248	CEDAR.rectum_microarray	6	5	271	other
BMI-ukb-a-248	CEDAR.T-cell_CD4_microarray	3	3	290	immune cell
BMI-ukb-a-248	CEDAR.T-cell_CD8_microarray	2	2	277	immune cell
BMI-ukb-a-248	CEDAR.transverse_colon_microarray	9	5	286	other
BMI-ukb-a-248	Fairfax_2012.B-cell_CD19_microarray	6	2	281	immune cell
BMI-ukb-a-248	Fairfax_2014.monocyte_IFN24_microarray	7	4	370	immune cell
BMI-ukb-a-248	Fairfax_2014.monocyte_LPS2_microarray	6	4	256	immune cell
BMI-ukb-a-248	Fairfax_2014.monocyte_LPS24_microarray	3	3	325	immune cell
BMI-ukb-a-248	Fairfax_2014.monocyte_naive_microarray	11	7	420	immune cell
BMI-ukb-a-248	FUSION.adipose_naive_ge	38	13	271	other
BMI-ukb-a-248	FUSION.muscle_naive_ge	22	10	288	other
BMI-ukb-a-248	GENCORD.fibroblast_ge	13	4	186	immune cell
BMI-ukb-a-248	GENCORD.LCL_ge	13	3	190	immune cell
BMI-ukb-a-248	GENCORD.T-cell_ge	8	3	184	immune cell
BMI-ukb-a-248	GEUVADIS.LCL_ge	7	4	445	immune cell
BMI-ukb-a-248	HipSci.iPSC_ge	29	14	322	other
BMI-ukb-a-248	Kasela_2017.T-cell_CD4_microarray	3	2	280	immune cell
BMI-ukb-a-248	Kasela_2017.T-cell_CD8_microarray	1	1	269	immune cell
BMI-ukb-a-248	Lepik_2017.blood_ge	21	11	471	immune cell
BMI-ukb-a-248	Nedelec_2016.macrophage_Listeria_ge	2	2	163	immune cell
BMI-ukb-a-248	Nedelec_2016.macrophage_Salmonella_ge	8	5	167	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_IAV_ge	7	4	198	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_LPS_ge	16	5	184	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_naive_ge	14	6	200	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_Pam3CSK4_ge	21	6	196	immune cell
BMI-ukb-a-248	Quach_2016.monocyte_R848_ge	37	8	191	immune cell
BMI-ukb-a-248	ROSMAP.brain_naive_ge	32	17	576	other
BMI-ukb-a-248	Schmiedel_2018.B-cell_naive_ge	2	2	91	immune cell
BMI-ukb-a-248	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	1	1	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.CD4_T-cell_naive_ge	8	3	88	immune cell
BMI-ukb-a-248	Schmiedel_2018.CD8_T-cell_naive_ge	1	1	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.monocyte_CD16_naive_ge	4	2	90	immune cell
BMI-ukb-a-248	Schmiedel_2018.monocyte_naive_ge	1	1	91	immune cell
BMI-ukb-a-248	Schmiedel_2018.NK-cell_naive_ge	2	1	90	immune cell
BMI-ukb-a-248	Schmiedel_2018.Tfh_memory_ge	1	1	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.Th17_memory_ge	4	2	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.Th2_memory_ge	3	2	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.Treg_memory_ge	1	1	89	immune cell
BMI-ukb-a-248	Schmiedel_2018.Treg_naive_ge	1	1	89	immune cell
BMI-ukb-a-248	TwinsUK.fat_ge	15	5	381	other
BMI-ukb-a-248	TwinsUK.LCL_ge	5	3	418	immune cell
BMI-ukb-a-248	TwinsUK.skin_ge	12	3	370	other
CAD-ebi-a-GCST003116	Alasoo_2018.macrophage_IFNg+Salmonella_ge	4	1	84	immune cell
CAD-ebi-a-GCST003116	BLUEPRINT_PE.T-cell_ge	3	2	167	immune cell
CAD-ebi-a-GCST003116	BLUEPRINT_SE.neutrophil_ge	8	3	196	immune cell
CAD-ebi-a-GCST003116	CEDAR.B-cell_CD19_microarray	1	1	262	immune cell
CAD-ebi-a-GCST003116	CEDAR.monocyte_CD14_microarray	1	1	286	immune cell
CAD-ebi-a-GCST003116	CEDAR.neutrophil_CD15_microarray	6	2	280	immune cell
CAD-ebi-a-GCST003116	CEDAR.rectum_microarray	1	1	271	other
CAD-ebi-a-GCST003116	CEDAR.T-cell_CD4_microarray	2	1	290	immune cell
CAD-ebi-a-GCST003116	CEDAR.T-cell_CD8_microarray	1	1	277	immune cell
CAD-ebi-a-GCST003116	Fairfax_2012.B-cell_CD19_microarray	2	1	281	immune cell
CAD-ebi-a-GCST003116	Fairfax_2014.monocyte_IFN24_microarray	1	1	370	immune cell
CAD-ebi-a-GCST003116	Fairfax_2014.monocyte_LPS2_microarray	3	2	256	immune cell
CAD-ebi-a-GCST003116	Fairfax_2014.monocyte_LPS24_microarray	3	2	325	immune cell
CAD-ebi-a-GCST003116	Fairfax_2014.monocyte_naive_microarray	2	1	420	immune cell
CAD-ebi-a-GCST003116	FUSION.adipose_naive_ge	4	1	271	other
CAD-ebi-a-GCST003116	FUSION.muscle_naive_ge	7	2	288	other
CAD-ebi-a-GCST003116	GENCORD.T-cell_ge	1	1	184	immune cell
CAD-ebi-a-GCST003116	GEUVADIS.LCL_ge	2	1	445	immune cell
CAD-ebi-a-GCST003116	Kasela_2017.T-cell_CD4_microarray	3	2	280	immune cell
CAD-ebi-a-GCST003116	Kasela_2017.T-cell_CD8_microarray	2	1	269	immune cell
CAD-ebi-a-GCST003116	Lepik_2017.blood_ge	12	3	471	immune cell
CAD-ebi-a-GCST003116	Naranbhai_2015.neutrophil_CD16_microarray	1	1	93	immune cell
CAD-ebi-a-GCST003116	Nedelec_2016.macrophage_Listeria_ge	4	1	163	immune cell
CAD-ebi-a-GCST003116	Quach_2016.monocyte_LPS_ge	1	1	184	immune cell
CAD-ebi-a-GCST003116	ROSMAP.brain_naive_ge	5	3	576	other
CAD-ebi-a-GCST003116	Schmiedel_2018.CD4_T-cell_naive_ge	2	1	88	immune cell
CAD-ebi-a-GCST003116	Schmiedel_2018.CD8_T-cell_naive_ge	6	1	89	immune cell
CAD-ebi-a-GCST003116	Schmiedel_2018.Th2_memory_ge	7	2	89	immune cell
CAD-ebi-a-GCST003116	TwinsUK.fat_ge	10	4	381	other
CAD-ebi-a-GCST003116	TwinsUK.LCL_ge	1	1	418	immune cell
CAD-ebi-a-GCST003116	TwinsUK.skin_ge	6	1	370	other
CAD-ebi-a-GCST003116	van_de_Bunt_2015.pancreatic_islet_ge	1	1	117	other
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_IFNg_ge	3	1	84	immune cell
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_IFNg+Salmonella_ge	12	2	84	immune cell
CD-ebi-a-GCST004132	Alasoo_2018.macrophage_naive_ge	1	1	84	immune cell
CD-ebi-a-GCST004132	BLUEPRINT_PE.T-cell_ge	23	5	167	immune cell
CD-ebi-a-GCST004132	BLUEPRINT_SE.monocyte_ge	19	7	191	immune cell
CD-ebi-a-GCST004132	BLUEPRINT_SE.neutrophil_ge	9	4	196	immune cell
CD-ebi-a-GCST004132	CEDAR.B-cell_CD19_microarray	2	1	262	immune cell
CD-ebi-a-GCST004132	CEDAR.monocyte_CD14_microarray	5	3	286	immune cell
CD-ebi-a-GCST004132	CEDAR.rectum_microarray	4	2	271	other
CD-ebi-a-GCST004132	CEDAR.T-cell_CD4_microarray	6	3	290	immune cell
CD-ebi-a-GCST004132	CEDAR.T-cell_CD8_microarray	2	1	277	immune cell
CD-ebi-a-GCST004132	CEDAR.transverse_colon_microarray	2	1	286	other
CD-ebi-a-GCST004132	Fairfax_2012.B-cell_CD19_microarray	4	3	281	immune cell
CD-ebi-a-GCST004132	Fairfax_2014.monocyte_IFN24_microarray	6	4	370	immune cell
CD-ebi-a-GCST004132	Fairfax_2014.monocyte_LPS2_microarray	6	4	256	immune cell
CD-ebi-a-GCST004132	Fairfax_2014.monocyte_LPS24_microarray	3	2	325	immune cell
CD-ebi-a-GCST004132	Fairfax_2014.monocyte_naive_microarray	26	8	420	immune cell
CD-ebi-a-GCST004132	FUSION.adipose_naive_ge	9	2	271	other
CD-ebi-a-GCST004132	FUSION.muscle_naive_ge	19	4	288	other
CD-ebi-a-GCST004132	GENCORD.fibroblast_ge	1	1	186	immune cell
CD-ebi-a-GCST004132	GENCORD.LCL_ge	11	2	190	immune cell
CD-ebi-a-GCST004132	GENCORD.T-cell_ge	10	3	184	immune cell
CD-ebi-a-GCST004132	GEUVADIS.LCL_ge	14	4	445	immune cell
CD-ebi-a-GCST004132	HipSci.iPSC_ge	13	4	322	other
CD-ebi-a-GCST004132	Kasela_2017.T-cell_CD4_microarray	4	3	280	immune cell
CD-ebi-a-GCST004132	Kasela_2017.T-cell_CD8_microarray	1	1	269	immune cell
CD-ebi-a-GCST004132	Lepik_2017.blood_ge	16	6	471	immune cell
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_Listeria_ge	7	2	163	immune cell
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_naive_ge	11	3	163	immune cell
CD-ebi-a-GCST004132	Nedelec_2016.macrophage_Salmonella_ge	13	4	167	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_IAV_ge	7	4	198	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_LPS_ge	14	6	184	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_naive_ge	19	8	200	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_Pam3CSK4_ge	30	9	196	immune cell
CD-ebi-a-GCST004132	Quach_2016.monocyte_R848_ge	22	6	191	immune cell
CD-ebi-a-GCST004132	ROSMAP.brain_naive_ge	10	4	576	other
CD-ebi-a-GCST004132	Schmiedel_2018.B-cell_naive_ge	1	1	91	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	8	1	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.CD4_T-cell_naive_ge	8	2	88	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	2	1	88	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.CD8_T-cell_naive_ge	8	2	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.monocyte_CD16_naive_ge	10	2	90	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.monocyte_naive_ge	17	4	91	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.NK-cell_naive_ge	7	3	90	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Tfh_memory_ge	1	1	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Th1_memory_ge	1	1	82	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Th1-17_memory_ge	5	2	88	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Th17_memory_ge	1	1	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Th2_memory_ge	1	1	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Treg_memory_ge	8	4	89	immune cell
CD-ebi-a-GCST004132	Schmiedel_2018.Treg_naive_ge	4	3	89	immune cell
CD-ebi-a-GCST004132	TwinsUK.blood_ge	3	2	195	immune cell
CD-ebi-a-GCST004132	TwinsUK.fat_ge	9	4	381	other
CD-ebi-a-GCST004132	TwinsUK.LCL_ge	19	3	418	immune cell
CD-ebi-a-GCST004132	TwinsUK.skin_ge	6	3	370	other
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_IFNg_ge	10	2	84	immune cell
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_IFNg+Salmonella_ge	1	1	84	immune cell
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_naive_ge	10	2	84	immune cell
HEIGHT-ukb-a-389	Alasoo_2018.macrophage_Salmonella_ge	1	1	84	immune cell
HEIGHT-ukb-a-389	BLUEPRINT_PE.T-cell_ge	18	8	167	immune cell
HEIGHT-ukb-a-389	BLUEPRINT_SE.monocyte_ge	18	6	191	immune cell
HEIGHT-ukb-a-389	BLUEPRINT_SE.neutrophil_ge	10	3	196	immune cell
HEIGHT-ukb-a-389	BrainSeq.brain_ge	18	7	479	other
HEIGHT-ukb-a-389	CEDAR.B-cell_CD19_microarray	3	2	262	immune cell
HEIGHT-ukb-a-389	CEDAR.ileum_microarray	1	1	180	other
HEIGHT-ukb-a-389	CEDAR.monocyte_CD14_microarray	2	1	286	immune cell
HEIGHT-ukb-a-389	CEDAR.neutrophil_CD15_microarray	11	3	280	immune cell
HEIGHT-ukb-a-389	CEDAR.rectum_microarray	16	3	271	other
HEIGHT-ukb-a-389	CEDAR.T-cell_CD4_microarray	6	3	290	immune cell
HEIGHT-ukb-a-389	CEDAR.T-cell_CD8_microarray	5	2	277	immune cell
HEIGHT-ukb-a-389	CEDAR.transverse_colon_microarray	12	5	286	other
HEIGHT-ukb-a-389	Fairfax_2012.B-cell_CD19_microarray	17	8	281	immune cell
HEIGHT-ukb-a-389	Fairfax_2014.monocyte_IFN24_microarray	7	5	370	immune cell
HEIGHT-ukb-a-389	Fairfax_2014.monocyte_LPS2_microarray	5	4	256	immune cell
HEIGHT-ukb-a-389	Fairfax_2014.monocyte_LPS24_microarray	10	5	325	immune cell
HEIGHT-ukb-a-389	Fairfax_2014.monocyte_naive_microarray	3	3	420	immune cell
HEIGHT-ukb-a-389	FUSION.adipose_naive_ge	22	10	271	other
HEIGHT-ukb-a-389	FUSION.muscle_naive_ge	23	12	288	other
HEIGHT-ukb-a-389	GENCORD.fibroblast_ge	17	5	186	immune cell
HEIGHT-ukb-a-389	GENCORD.LCL_ge	31	10	190	immune cell
HEIGHT-ukb-a-389	GENCORD.T-cell_ge	8	3	184	immune cell
HEIGHT-ukb-a-389	GEUVADIS.LCL_ge	25	13	445	immune cell
HEIGHT-ukb-a-389	HipSci.iPSC_ge	14	4	322	other
HEIGHT-ukb-a-389	Kasela_2017.T-cell_CD4_microarray	9	5	280	immune cell
HEIGHT-ukb-a-389	Kasela_2017.T-cell_CD8_microarray	2	1	269	immune cell
HEIGHT-ukb-a-389	Lepik_2017.blood_ge	29	9	471	immune cell
HEIGHT-ukb-a-389	Naranbhai_2015.neutrophil_CD16_microarray	1	1	93	immune cell
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_Listeria_ge	5	2	163	immune cell
HEIGHT-ukb-a-389	Nedelec_2016.macrophage_naive_ge	2	2	163	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_IAV_ge	25	6	198	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_LPS_ge	20	7	184	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_naive_ge	22	10	200	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_Pam3CSK4_ge	16	9	196	immune cell
HEIGHT-ukb-a-389	Quach_2016.monocyte_R848_ge	17	6	191	immune cell
HEIGHT-ukb-a-389	ROSMAP.brain_naive_ge	38	17	576	other
HEIGHT-ukb-a-389	Schmiedel_2018.B-cell_naive_ge	11	4	91	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	5	2	89	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.CD4_T-cell_naive_ge	11	2	88	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	14	5	88	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.monocyte_CD16_naive_ge	4	1	90	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.monocyte_naive_ge	7	3	91	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.NK-cell_naive_ge	22	6	90	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Tfh_memory_ge	11	3	89	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Th1_memory_ge	9	3	82	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Th1-17_memory_ge	6	3	88	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Th17_memory_ge	14	4	89	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Th2_memory_ge	6	3	89	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Treg_memory_ge	6	2	89	immune cell
HEIGHT-ukb-a-389	Schmiedel_2018.Treg_naive_ge	15	5	89	immune cell
HEIGHT-ukb-a-389	Schwartzentruber_2018.sensory_neuron_ge	5	2	98	other
HEIGHT-ukb-a-389	TwinsUK.blood_ge	5	2	195	immune cell
HEIGHT-ukb-a-389	TwinsUK.fat_ge	27	9	381	other
HEIGHT-ukb-a-389	TwinsUK.LCL_ge	44	14	418	immune cell
HEIGHT-ukb-a-389	TwinsUK.skin_ge	14	5	370	other
HEIGHT-ukb-a-389	van_de_Bunt_2015.pancreatic_islet_ge	7	4	117	other
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_IFNg_ge	18	5	84	immune cell
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_IFNg+Salmonella_ge	3	1	84	immune cell
IBD-ebi-a-GCST004131	Alasoo_2018.macrophage_naive_ge	9	3	84	immune cell
IBD-ebi-a-GCST004131	BLUEPRINT_PE.T-cell_ge	8	4	167	immune cell
IBD-ebi-a-GCST004131	BLUEPRINT_SE.monocyte_ge	34	12	191	immune cell
IBD-ebi-a-GCST004131	BLUEPRINT_SE.neutrophil_ge	18	7	196	immune cell
IBD-ebi-a-GCST004131	BrainSeq.brain_ge	6	2	479	other
IBD-ebi-a-GCST004131	CEDAR.monocyte_CD14_microarray	8	5	286	immune cell
IBD-ebi-a-GCST004131	CEDAR.neutrophil_CD15_microarray	2	1	280	immune cell
IBD-ebi-a-GCST004131	CEDAR.rectum_microarray	3	2	271	other
IBD-ebi-a-GCST004131	CEDAR.T-cell_CD4_microarray	11	4	290	immune cell
IBD-ebi-a-GCST004131	CEDAR.T-cell_CD8_microarray	9	3	277	immune cell
IBD-ebi-a-GCST004131	CEDAR.transverse_colon_microarray	4	2	286	other
IBD-ebi-a-GCST004131	Fairfax_2012.B-cell_CD19_microarray	8	5	281	immune cell
IBD-ebi-a-GCST004131	Fairfax_2014.monocyte_IFN24_microarray	8	6	370	immune cell
IBD-ebi-a-GCST004131	Fairfax_2014.monocyte_LPS2_microarray	2	1	256	immune cell
IBD-ebi-a-GCST004131	Fairfax_2014.monocyte_LPS24_microarray	7	6	325	immune cell
IBD-ebi-a-GCST004131	Fairfax_2014.monocyte_naive_microarray	10	9	420	immune cell
IBD-ebi-a-GCST004131	FUSION.adipose_naive_ge	4	2	271	other
IBD-ebi-a-GCST004131	FUSION.muscle_naive_ge	30	8	288	other
IBD-ebi-a-GCST004131	GENCORD.fibroblast_ge	5	1	186	immune cell
IBD-ebi-a-GCST004131	GENCORD.LCL_ge	7	3	190	immune cell
IBD-ebi-a-GCST004131	GENCORD.T-cell_ge	5	1	184	immune cell
IBD-ebi-a-GCST004131	GEUVADIS.LCL_ge	18	5	445	immune cell
IBD-ebi-a-GCST004131	HipSci.iPSC_ge	13	3	322	other
IBD-ebi-a-GCST004131	Kasela_2017.T-cell_CD4_microarray	14	4	280	immune cell
IBD-ebi-a-GCST004131	Kasela_2017.T-cell_CD8_microarray	6	3	269	immune cell
IBD-ebi-a-GCST004131	Lepik_2017.blood_ge	31	12	471	immune cell
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_Listeria_ge	12	4	163	immune cell
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_naive_ge	15	4	163	immune cell
IBD-ebi-a-GCST004131	Nedelec_2016.macrophage_Salmonella_ge	17	6	167	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_IAV_ge	25	7	198	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_LPS_ge	33	11	184	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_naive_ge	24	9	200	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_Pam3CSK4_ge	26	8	196	immune cell
IBD-ebi-a-GCST004131	Quach_2016.monocyte_R848_ge	43	13	191	immune cell
IBD-ebi-a-GCST004131	ROSMAP.brain_naive_ge	15	4	576	other
IBD-ebi-a-GCST004131	Schmiedel_2018.B-cell_naive_ge	4	2	91	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	4	1	89	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.CD4_T-cell_naive_ge	7	3	88	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	4	1	88	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.CD8_T-cell_naive_ge	23	3	89	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.monocyte_CD16_naive_ge	11	2	90	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.monocyte_naive_ge	13	5	91	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.NK-cell_naive_ge	2	1	90	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.Tfh_memory_ge	1	1	89	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.Th1-17_memory_ge	1	1	88	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.Th17_memory_ge	6	2	89	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.Th2_memory_ge	5	1	89	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.Treg_memory_ge	7	3	89	immune cell
IBD-ebi-a-GCST004131	Schmiedel_2018.Treg_naive_ge	7	3	89	immune cell
IBD-ebi-a-GCST004131	TwinsUK.blood_ge	12	5	195	immune cell
IBD-ebi-a-GCST004131	TwinsUK.fat_ge	3	3	381	other
IBD-ebi-a-GCST004131	TwinsUK.LCL_ge	9	1	418	immune cell
IBD-ebi-a-GCST004131	TwinsUK.skin_ge	5	2	370	other
LC-ebi-a-GCST004627	Alasoo_2018.macrophage_IFNg_ge	12	4	84	immune cell
LC-ebi-a-GCST004627	Alasoo_2018.macrophage_IFNg+Salmonella_ge	1	1	84	immune cell
LC-ebi-a-GCST004627	Alasoo_2018.macrophage_naive_ge	4	2	84	immune cell
LC-ebi-a-GCST004627	BLUEPRINT_PE.T-cell_ge	71	18	167	immune cell
LC-ebi-a-GCST004627	BLUEPRINT_SE.monocyte_ge	18	6	191	immune cell
LC-ebi-a-GCST004627	BLUEPRINT_SE.neutrophil_ge	20	7	196	immune cell
