gwas_id	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	n_distinct_gtex_ld_blocks	n_union_ld_blocks	n_common_ld_blocks	novel_ld_block_perc
BMI-ukb-a-248	489	105	95	515	315	20.39%
CAD-ebi-a-GCST003116	113	25	39	135	71	18.52%
CD-ebi-a-GCST004132	483	67	27	243	149	27.57%
HEIGHT-ukb-a-389	753	110	119	774	545	14.21%
IBD-ebi-a-GCST004131	635	72	31	264	161	27.27%
LC-ebi-a-GCST004627	601	71	39	319	209	22.26%
LDLC	450	74	71	460	315	16.09%
MC-ebi-a-GCST004625	628	72	46	328	210	21.95%
MPV-ebi-a-GCST004599	375	58	36	294	200	19.73%
PLT-ebi-a-GCST004603	486	68	46	359	245	18.94%
RA-ebi-a-GCST002318	476	54	36	217	127	24.88%
SLE-ebi-a-GCST003156	422	42	26	144	76	29.17%
T2D1-ebi-a-GCST006867	460	57	40	275	178	20.73%
UC-ebi-a-GCST004133	416	50	35	201	116	24.88%
