gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	present_in_GTEx	cell_type_class	sample_size_norm_novel_LD_block_count	gwas_class	gwas_id_short
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg+Salmonella_exon	2	2	84	FALSE	immune cell	0.023809523809523808	non-immune	BMI
BMI-ukb-a-248	Alasoo_2018.macrophage_Salmonella_exon	2	2	84	FALSE	immune cell	0.023809523809523808	non-immune	BMI
BMI-ukb-a-248	BLUEPRINT_PE.T-cell_exon	4	4	167	FALSE	immune cell	0.023952095808383235	non-immune	BMI
BMI-ukb-a-248	BLUEPRINT_SE.monocyte_exon	5	5	191	FALSE	immune cell	0.02617801047120419	non-immune	BMI
BMI-ukb-a-248	BLUEPRINT_SE.neutrophil_exon	6	6	196	FALSE	immune cell	0.030612244897959183	non-immune	BMI
BMI-ukb-a-248	BrainSeq.brain_exon	7	7	479	TRUE	other	0.014613778705636743	non-immune	BMI
BMI-ukb-a-248	FUSION.adipose_naive_exon	6	6	271	TRUE	other	0.02214022140221402	non-immune	BMI
BMI-ukb-a-248	FUSION.muscle_naive_exon	4	4	288	TRUE	other	0.013888888888888888	non-immune	BMI
BMI-ukb-a-248	GEUVADIS.LCL_exon	5	5	445	TRUE	immune cell	0.011235955056179775	non-immune	BMI
BMI-ukb-a-248	HipSci.iPSC_exon	8	8	322	FALSE	other	0.024844720496894408	non-immune	BMI
BMI-ukb-a-248	Lepik_2017.blood_exon	4	4	471	TRUE	immune cell	0.008492569002123142	non-immune	BMI
BMI-ukb-a-248	Nedelec_2016.macrophage_Listeria_exon	3	1	163	FALSE	immune cell	0.006134969325153374	non-immune	BMI
BMI-ukb-a-248	Nedelec_2016.macrophage_naive_exon	3	1	163	FALSE	immune cell	0.006134969325153374	non-immune	BMI
BMI-ukb-a-248	Nedelec_2016.macrophage_Salmonella_exon	1	1	167	FALSE	immune cell	0.005988023952095809	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_IAV_exon	4	4	198	FALSE	immune cell	0.020202020202020204	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_LPS_exon	5	5	184	FALSE	immune cell	0.02717391304347826	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_naive_exon	3	3	200	FALSE	immune cell	0.015	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_Pam3CSK4_exon	7	7	196	FALSE	immune cell	0.03571428571428571	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_R848_exon	5	5	191	FALSE	immune cell	0.02617801047120419	non-immune	BMI
BMI-ukb-a-248	ROSMAP.brain_naive_exon	18	18	576	TRUE	other	0.03125	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.B-cell_naive_exon	1	1	91	FALSE	immune cell	0.01098901098901099	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.CD8_T-cell_naive_exon	1	1	89	FALSE	immune cell	0.011235955056179775	non-immune	BMI
