gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	present_in_GTEx	cell_type_class	sample_size_norm_novel_LD_block_count	gwas_class	gwas_id_short
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg_tx	1	1	84	FALSE	immune cell	0.011904761904761904	non-immune	BMI
BMI-ukb-a-248	Alasoo_2018.macrophage_naive_tx	1	1	84	FALSE	immune cell	0.011904761904761904	non-immune	BMI
BMI-ukb-a-248	Alasoo_2018.macrophage_Salmonella_tx	1	1	84	FALSE	immune cell	0.011904761904761904	non-immune	BMI
BMI-ukb-a-248	BLUEPRINT_PE.T-cell_tx	2	2	167	FALSE	immune cell	0.011976047904191617	non-immune	BMI
BMI-ukb-a-248	BLUEPRINT_SE.monocyte_tx	2	2	191	FALSE	immune cell	0.010471204188481676	non-immune	BMI
BMI-ukb-a-248	BLUEPRINT_SE.neutrophil_tx	3	3	196	FALSE	immune cell	0.015306122448979591	non-immune	BMI
BMI-ukb-a-248	BrainSeq.brain_tx	3	3	479	TRUE	other	0.006263048016701462	non-immune	BMI
BMI-ukb-a-248	FUSION.adipose_naive_tx	3	3	271	TRUE	other	0.01107011070110701	non-immune	BMI
BMI-ukb-a-248	FUSION.muscle_naive_tx	3	3	288	TRUE	other	0.010416666666666666	non-immune	BMI
BMI-ukb-a-248	GENCORD.T-cell_tx	1	1	184	FALSE	immune cell	0.005434782608695652	non-immune	BMI
BMI-ukb-a-248	GEUVADIS.LCL_tx	2	2	445	TRUE	immune cell	0.0044943820224719105	non-immune	BMI
BMI-ukb-a-248	HipSci.iPSC_tx	5	5	322	FALSE	other	0.015527950310559006	non-immune	BMI
BMI-ukb-a-248	Lepik_2017.blood_tx	6	6	471	TRUE	immune cell	0.012738853503184714	non-immune	BMI
BMI-ukb-a-248	Nedelec_2016.macrophage_Listeria_tx	1	1	163	FALSE	immune cell	0.006134969325153374	non-immune	BMI
BMI-ukb-a-248	Nedelec_2016.macrophage_Salmonella_tx	2	2	167	FALSE	immune cell	0.011976047904191617	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_IAV_tx	2	2	198	FALSE	immune cell	0.010101010101010102	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_LPS_tx	1	1	184	FALSE	immune cell	0.005434782608695652	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_R848_tx	1	1	191	FALSE	immune cell	0.005235602094240838	non-immune	BMI
BMI-ukb-a-248	ROSMAP.brain_naive_tx	9	9	576	TRUE	other	0.015625	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.monocyte_naive_tx	1	1	91	FALSE	immune cell	0.01098901098901099	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Tfh_memory_tx	1	1	89	FALSE	immune cell	0.011235955056179775	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th1-17_memory_tx	1	1	88	FALSE	immune cell	0.011363636363636364	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th17_memory_tx	2	2	89	FALSE	immune cell	0.02247191011235955	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th2_memory_tx	2	2	89	FALSE	immune cell	0.02247191011235955	non-immune	BMI
BMI-ukb-a-248	TwinsUK.fat_tx	3	3	381	TRUE	other	0.007874015748031496	non-immune	BMI
BMI-ukb-a-248	TwinsUK.LCL_tx	2	2	418	TRUE	immune cell	0.004784688995215311	non-immune	BMI
BMI-ukb-a-248	TwinsUK.skin_tx	2	2	370	TRUE	other	0.005405405405405406	non-immune	BMI
BMI-ukb-a-248	van_de_Bunt_2015.pancreatic_islet_tx	1	1	117	TRUE	other	0.008547008547008548	non-immune	BMI
BMI-ukb-a-248	Alasoo_2018.macrophage_IFNg+Salmonella_tx	0	0	84	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	GENCORD.LCL_tx	0	0	190	TRUE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	GENCORD.fibroblast_tx	0	0	186	TRUE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Nedelec_2016.macrophage_naive_tx	0	0	163	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_naive_tx	0	0	200	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Quach_2016.monocyte_Pam3CSK4_tx	0	0	196	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Th1_memory_tx	0	0	82	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Treg_memory_tx	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.Treg_naive_tx	0	0	89	FALSE	immune cell	0	non-immune	BMI
BMI-ukb-a-248	Schmiedel_2018.B-cell_naive_tx	0	0	91	FALSE	immune cell	0	non-immune	BMI
