qtl_subset	sample_size	novel_egene_count
Alasoo_2018.macrophage_naive_tx	84	0
Alasoo_2018.macrophage_IFNg_tx	84	0
Alasoo_2018.macrophage_Salmonella_tx	84	0
Alasoo_2018.macrophage_IFNg+Salmonella_tx	84	0
BLUEPRINT_SE.monocyte_tx	191	0
BLUEPRINT_SE.neutrophil_tx	196	0
BLUEPRINT_PE.T-cell_tx	167	0
BrainSeq.brain_tx	479	0
FUSION.adipose_naive_tx	271	0
FUSION.muscle_naive_tx	288	0
GENCORD.LCL_tx	190	0
GENCORD.fibroblast_tx	186	0
GENCORD.T-cell_tx	184	0
GEUVADIS.LCL_tx	445	0
HipSci.iPSC_tx	322	0
Lepik_2017.blood_tx	471	0
Nedelec_2016.macrophage_Listeria_tx	163	0
Nedelec_2016.macrophage_naive_tx	163	0
Nedelec_2016.macrophage_Salmonella_tx	167	0
Quach_2016.monocyte_naive_tx	200	0
Quach_2016.monocyte_LPS_tx	184	0
Quach_2016.monocyte_Pam3CSK4_tx	196	0
Quach_2016.monocyte_R848_tx	191	0
Quach_2016.monocyte_IAV_tx	198	0
ROSMAP.brain_naive_tx	576	0
Schmiedel_2018.Tfh_memory_tx	89	0
Schmiedel_2018.Th17_memory_tx	89	0
Schmiedel_2018.Th1_memory_tx	82	0
Schmiedel_2018.Th2_memory_tx	89	0
Schmiedel_2018.Th1-17_memory_tx	88	0
Schmiedel_2018.Treg_memory_tx	89	0
Schmiedel_2018.Treg_naive_tx	89	0
Schmiedel_2018.B-cell_naive_tx	91	0
Schmiedel_2018.CD4_T-cell_naive_tx	88	0
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_tx	89	0
Schmiedel_2018.CD8_T-cell_naive_tx	89	0
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_tx	88	0
Schmiedel_2018.monocyte_CD16_naive_tx	90	0
Schmiedel_2018.monocyte_naive_tx	91	0
Schmiedel_2018.NK-cell_naive_tx	90	0
Schwartzentruber_2018.sensory_neuron_tx	98	0
TwinsUK.fat_tx	381	0
TwinsUK.LCL_tx	418	0
TwinsUK.skin_tx	370	0
TwinsUK.blood_tx	195	0
van_de_Bunt_2015.pancreatic_islet_tx	117	0
