qtl_subset	sample_size	novel_egene_count
Alasoo_2018.macrophage_naive_txrev	84	0
Alasoo_2018.macrophage_IFNg_txrev	84	0
Alasoo_2018.macrophage_Salmonella_txrev	84	0
Alasoo_2018.macrophage_IFNg+Salmonella_txrev	84	0
BLUEPRINT_SE.monocyte_txrev	191	0
BLUEPRINT_SE.neutrophil_txrev	196	0
BLUEPRINT_PE.T-cell_txrev	167	0
BrainSeq.brain_txrev	479	0
FUSION.adipose_naive_txrev	271	0
FUSION.muscle_naive_txrev	288	0
GENCORD.LCL_txrev	190	0
GENCORD.fibroblast_txrev	186	0
GENCORD.T-cell_txrev	184	0
GEUVADIS.LCL_txrev	445	0
HipSci.iPSC_txrev	322	0
Lepik_2017.blood_txrev	471	0
Nedelec_2016.macrophage_Listeria_txrev	163	0
Nedelec_2016.macrophage_naive_txrev	163	0
Nedelec_2016.macrophage_Salmonella_txrev	167	0
Quach_2016.monocyte_naive_txrev	200	0
Quach_2016.monocyte_LPS_txrev	184	0
Quach_2016.monocyte_Pam3CSK4_txrev	196	0
Quach_2016.monocyte_R848_txrev	191	0
Quach_2016.monocyte_IAV_txrev	198	0
ROSMAP.brain_naive_txrev	576	0
Schmiedel_2018.Tfh_memory_txrev	89	0
Schmiedel_2018.Th17_memory_txrev	89	0
Schmiedel_2018.Th1_memory_txrev	82	0
Schmiedel_2018.Th2_memory_txrev	89	0
Schmiedel_2018.Th1-17_memory_txrev	88	0
Schmiedel_2018.Treg_memory_txrev	89	0
Schmiedel_2018.Treg_naive_txrev	89	0
Schmiedel_2018.B-cell_naive_txrev	91	0
Schmiedel_2018.CD4_T-cell_naive_txrev	88	0
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_txrev	89	0
Schmiedel_2018.CD8_T-cell_naive_txrev	89	0
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_txrev	88	0
Schmiedel_2018.monocyte_CD16_naive_txrev	90	0
Schmiedel_2018.monocyte_naive_txrev	91	0
Schmiedel_2018.NK-cell_naive_txrev	90	0
Schwartzentruber_2018.sensory_neuron_txrev	98	0
TwinsUK.fat_txrev	381	0
TwinsUK.LCL_txrev	418	0
TwinsUK.skin_txrev	370	0
TwinsUK.blood_txrev	195	0
van_de_Bunt_2015.pancreatic_islet_txrev	117	0
