qtl_subset	sample_size	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	present_in_GTEx	cell_type_class
Alasoo_2018.macrophage_naive_exon	84	0	0	FALSE	immune cell
Alasoo_2018.macrophage_IFNg_exon	84	0	0	FALSE	immune cell
Alasoo_2018.macrophage_Salmonella_exon	84	0	0	FALSE	immune cell
Alasoo_2018.macrophage_IFNg+Salmonella_exon	84	0	0	FALSE	immune cell
BLUEPRINT_SE.monocyte_exon	191	0	0	FALSE	immune cell
BLUEPRINT_SE.neutrophil_exon	196	0	0	FALSE	immune cell
BLUEPRINT_PE.T-cell_exon	167	0	0	FALSE	immune cell
BrainSeq.brain_exon	479	0	0	TRUE	other
FUSION.adipose_naive_exon	271	0	0	TRUE	other
FUSION.muscle_naive_exon	288	0	0	TRUE	other
GENCORD.LCL_exon	190	0	0	TRUE	immune cell
GENCORD.fibroblast_exon	186	0	0	TRUE	immune cell
GENCORD.T-cell_exon	184	0	0	FALSE	immune cell
GEUVADIS.LCL_exon	445	0	0	TRUE	immune cell
HipSci.iPSC_exon	322	0	0	FALSE	other
Lepik_2017.blood_exon	471	0	0	TRUE	immune cell
Nedelec_2016.macrophage_Listeria_exon	163	0	0	FALSE	immune cell
Nedelec_2016.macrophage_naive_exon	163	0	0	FALSE	immune cell
Nedelec_2016.macrophage_Salmonella_exon	167	0	0	FALSE	immune cell
Quach_2016.monocyte_naive_exon	200	0	0	FALSE	immune cell
Quach_2016.monocyte_LPS_exon	184	0	0	FALSE	immune cell
Quach_2016.monocyte_Pam3CSK4_exon	196	0	0	FALSE	immune cell
Quach_2016.monocyte_R848_exon	191	0	0	FALSE	immune cell
Quach_2016.monocyte_IAV_exon	198	0	0	FALSE	immune cell
ROSMAP.brain_naive_exon	576	0	0	TRUE	other
Schmiedel_2018.Tfh_memory_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.Th17_memory_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.Th1_memory_exon	82	0	0	FALSE	immune cell
Schmiedel_2018.Th2_memory_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.Th1-17_memory_exon	88	0	0	FALSE	immune cell
Schmiedel_2018.Treg_memory_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.Treg_naive_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.B-cell_naive_exon	91	0	0	FALSE	immune cell
Schmiedel_2018.CD4_T-cell_naive_exon	88	0	0	FALSE	immune cell
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.CD8_T-cell_naive_exon	89	0	0	FALSE	immune cell
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	88	0	0	FALSE	immune cell
Schmiedel_2018.monocyte_CD16_naive_exon	90	0	0	FALSE	immune cell
Schmiedel_2018.monocyte_naive_exon	91	0	0	FALSE	immune cell
Schmiedel_2018.NK-cell_naive_exon	90	0	0	FALSE	immune cell
Schwartzentruber_2018.sensory_neuron_exon	98	0	0	FALSE	other
TwinsUK.fat_exon	381	0	0	TRUE	other
TwinsUK.LCL_exon	418	0	0	TRUE	immune cell
TwinsUK.skin_exon	370	0	0	TRUE	other
TwinsUK.blood_exon	195	0	0	TRUE	immune cell
van_de_Bunt_2015.pancreatic_islet_exon	117	0	0	TRUE	other
