ID_hg38	n_unique_genes_in_ld_block
1_100360849_101575460	2
1_105545220_107867043	1
1_10583_1961168	13
1_10746927_11717784	4
1_107867043_109761309	2
1_111199115_112730684	1
1_114331223_115337972	2
1_11717784_12719464	1
1_118296444_148907004	4
1_12719464_14565015	1
1_14565015_16571235	3
1_154797927_156366342	8
1_16571235_18336405	8
1_166491280_169117086	1
1_170588635_173128768	1
1_173128768_175120632	5
1_177464245_178975174	1
1_182786221_184626379	1
1_18336405_20142656	3
1_184626379_186840891	2
1_1961168_3666172	9
1_201620847_203365606	4
1_203365606_204711940	1
1_208237019_210614406	2
1_219417229_221684889	1
1_22760390_23594100	2
1_229020501_230549509	1
1_231954506_233293538	1
1_240400791_241418920	1
1_241418920_241908300	1
1_241908300_243946197	1
1_25190354_27075376	1
1_29689034_31973084	4
1_31973084_34334157	11
1_37083582_38266175	3
1_38266175_39734895	4
1_39734895_41509656	1
1_46433829_47536904	2
1_5853833_7187275	2
1_61456693_62989418	1
1_71218722_73861224	1
1_7187275_9305140	5
1_76262450_79195513	3
1_83526065_84378812	1
1_84378812_85989068	2
1_89600744_91420760	2
1_91420760_93070902	3
1_95685337_97419693	1
1_97419693_99335048	2
10_101189482_102620653	4
10_102620653_104935290	7
10_110801735_113568673	1
10_113568673_114661647	2
10_114661647_117764423	3
10_124109830_126312529	2
10_12544798_13279600	1
10_130781981_132522825	2
10_132681169_133786540	1
10_13279600_14984069	1
10_16509768_18248338	1
10_19427949_22483354	2
10_49632869_51856869	2
10_51856869_53343812	1
10_61581937_64034354	3
10_73662792_76947056	8
10_86177820_87367307	2
10_96062600_98481545	3
10_98908643_101189482	2
11_101460390_104088908	1
11_10930480_12542682	1
11_112588765_114387006	1
11_114959946_116512631	1
11_116512631_117876395	4
11_117876395_119344766	6
11_1192365_3644251	1
11_121305234_122721202	2
11_122721202_123629409	2
11_124625632_126441425	1
11_12542682_13351577	1
11_13351577_15721006	1
11_15721006_17556855	3
11_17556855_19547988	4
11_30119810_32255355	3
11_42288453_44672249	1
11_44672249_46984586	2
11_46984586_49844498	11
11_62456299_64037097	1
11_64037097_66131160	25
11_66131160_68238358	11
11_68238358_69701362	8
11_70855_1192365	9
11_7415470_8311727	2
11_74701306_77086163	5
11_78644013_81011330	1
11_8311727_9065770	3
11_84670229_86908259	1
11_89475768_91233322	2
12_102571208_104454918	1
12_104454918_106042435	1
12_106564970_108632125	4
12_108632125_109898914	2
12_109898914_112825713	5
12_119316305_121569746	1
12_121569746_124493434	9
12_12580594_15088550	1
