ID_hg38	n_unique_genes_in_ld_block
1_107867043_109761309	5
1_109761309_111199115	1
1_151566405_153208353	5
1_153208353_154797927	5
1_154797927_156366342	1
1_158057622_159943258	1
1_201620847_203365606	2
1_21410095_22760390	1
1_222056878_224750818	5
1_25190354_27075376	1
1_37083582_38266175	4
1_41509656_43292786	5
1_53760589_55947444	2
1_55947444_56556055	1
10_101189482_102620653	3
10_102620653_104935290	3
10_29494763_30169909	1
10_30169909_31618591	1
10_73662792_76947056	1
10_79116992_80654923	4
10_87367307_89253624	2
10_89253624_90246824	1
11_100546438_101460390	1
11_109995390_111243672	2
11_64037097_66131160	4
11_9065770_10930480	1
12_109898914_112825713	1
12_119316305_121569746	1
12_121569746_124493434	1
12_52645220_54385039	1
12_55272053_57155077	4
12_76117534_78176790	1
12_85596648_89288345	1
12_89288345_91672378	2
12_94120791_95627009	1
13_110579726_111595245	2
13_31727678_33202766	2
13_40495126_42526891	1
13_48809826_51016955	2
14_22549721_24435917	1
14_72422907_75978424	5
14_98672195_101067970	1
15_66802429_68725660	1
15_76106283_78223711	1
15_78223711_80568637	1
15_87826712_89932319	2
15_89932319_91621162	3
16_14370145_16060203	1
16_55869862_57630418	1
16_71020125_72901251	1
16_82714123_83443603	2
16_84412277_85115079	1
16_88974757_90226404	1
17_16509028_18953007	4
17_2025437_3799018	1
17_29007226_31459473	1
17_41743558_43694719	7
17_44979537_47798656	3
17_47798656_49440038	5
17_4792966_5838014	1
17_63468228_65152010	1
17_66804312_69862629	1
17_74676064_76379479	9
18_34200103_36282001	1
18_59963251_61353518	1
19_15537799_16263605	2
19_16263605_18299052	3
19_40478694_41625199	4
19_43358303_44239955	1
19_45599439_46646825	4
2_143761915_145688002	1
2_146519594_149353778	2
2_158720570_160913222	1
2_201953914_204934518	3
2_20850730_23118512	1
2_214709071_216850938	2
2_224975287_227255126	1
2_23118512_24464049	1
2_43082452_44086664	2
2_8282017_10158342	1
2_84913556_87738988	6
20_17506587_18991559	1
20_34225635_36332043	3
20_40982216_41957049	2
20_44051536_46210417	3
20_48583442_50623121	1
21_27752907_29824708	2
21_33853161_35152076	1
22_23370460_24588236	2
22_24588236_26395662	1
22_29255810_31043932	2
3_123798921_125217798	1
3_137652241_140235755	2
3_153538782_154996429	3
3_171247120_172577941	1
3_49279539_51797999	5
3_51797999_54047363	2
4_10697528_12321410	1
4_135645252_137620817	1
4_145257035_147600722	1
4_154134974_156563945	2
4_55681477_58068842	1
4_80069143_81204161	3
4_93312148_95261037	1
5_107928495_109298233	1
5_123221211_124462407	1
5_3361827_4631997	1
5_50867564_52838788	1
5_52838788_54407214	1
5_5973120_7143105	1
5_8446223_9718720	1
6_11790583_13209156	1
6_132444530_133923105	4
6_133923105_135903039	1
6_148599216_149932268	1
6_24852047_25684359	1
6_30830391_31603441	3
6_35487979_37604820	1
6_37604820_39327901	2
6_93731457_96645635	1
7_106042459_108139733	1
7_11259571_12595836	1
7_129138332_130737653	1
7_139059933_140233377	1
7_150143569_151014417	1
7_20085285_22468010	1
7_99117851_100599028	1
8_19635329_20203345	1
8_21804225_23039544	2
8_98389353_100608730	1
9_110015744_112068802	1
9_112068802_112930865	2
9_119498019_122109043	1
9_132423455_134176000	4
9_18661053_20463536	2
9_20463536_22206560	2
