ID_hg38	n_unique_genes_in_ld_block
1_10583_1961168	6
1_112730684_114331223	2
1_118296444_148907004	1
1_153208353_154797927	2
1_154797927_156366342	14
1_159943258_162376931	3
1_173128768_175120632	3
1_184626379_186840891	1
1_197342384_199270756	1
1_200168521_201620847	6
1_208237019_210614406	2
1_234463688_235656136	3
1_25190354_27075376	3
1_34334157_37083582	3
1_61456693_62989418	2
1_66473721_68012212	1
1_69221933_70906787	2
1_7187275_9305140	6
1_76262450_79195513	1
1_93070902_94040635	3
10_124109830_126312529	1
10_30169909_31618591	1
10_34820427_36283580	2
10_46978910_49632869	5
10_57199768_58530227	2
10_5941799_7129522	1
10_61581937_64034354	1
10_73662792_76947056	5
10_76947056_79116992	1
10_79116992_80654923	4
10_87367307_89253624	2
10_91575290_93636611	1
10_94461486_96062600	3
10_98908643_101189482	5
11_100546438_101460390	1
11_1192365_3644251	2
11_15721006_17556855	3
11_42288453_44672249	1
11_59013076_62456299	5
11_64037097_66131160	14
11_70855_1192365	3
11_72574973_74701306	3
11_74701306_77086163	1
12_109898914_112825713	1
12_119316305_121569746	1
12_12580594_15088550	2
12_57155077_58914885	1
12_6310587_8224940	3
12_8878799_10328935	2
13_109162764_110579726	2
13_110579726_111595245	1
13_40495126_42526891	4
13_42526891_44327273	2
13_98286665_99921841	1
14_102545765_104535386	6
14_104535386_105874495	1
14_34377045_35390387	2
14_65932837_67525600	3
14_67525600_70665240	4
14_72422907_75978424	3
14_76763129_78095602	7
14_87168997_89031299	1
15_24863443_27052965	1
15_38238576_40091931	4
15_49715846_51385363	1
15_58149167_59401917	1
15_59401917_60973637	1
15_66802429_68725660	1
15_76106283_78223711	5
15_78223711_80568637	1
15_80568637_83591716	2
15_89932319_91621162	1
16_10332175_11426305	5
16_11426305_12519241	4
16_1157206_2714828	1
16_24125554_25975541	1
16_2714828_3951195	3
16_27434434_29025292	20
16_29025292_31371622	3
16_3951195_5068344	1
16_48974015_52001911	2
16_55869862_57630418	1
16_71020125_72901251	1
16_85115079_86122993	2
17_1269105_2025437	1
17_21387045_29007226	2
17_3799018_4792966	1
17_38653091_40721152	7
17_41743558_43694719	6
17_43694719_44979537	3
17_47798656_49440038	2
17_55522071_57280180	2
17_5838014_7414079	1
17_59410151_61235394	3
17_66804312_69862629	1
17_76379479_78267332	1
17_82076532_83247139	3
18_11905441_14440800	1
18_75815032_77101859	1
19_16263605_18299052	2
19_18299052_19766662	3
19_3019662_4348970	1
19_35978393_37036131	1
19_37036131_39679979	5
19_40478694_41625199	6
19_45599439_46646825	1
19_46646825_48778970	5
19_48778970_51029311	3
19_57009967_58607472	3
19_610729_2098397	2
2_101205867_102072305	1
2_102072305_102971757	6
2_109814855_113164279	3
2_113164279_116014894	2
2_126616187_127276771	2
2_127276771_128716867	1
2_141761033_143761915	1
2_172274177_174724201	1
2_180448012_181401304	1
2_181401304_183492880	1
2_184415446_189017339	1
2_197213386_198446401	1
2_201953914_204934518	3
2_205870980_207780675	2
2_217530757_219589829	1
2_228506071_230978674	7
2_23118512_24464049	1
2_232685293_234242343	2
2_239030947_240620667	1
2_240620667_241210506	1
2_241210506_242147200	10
2_24464049_26672117	4
2_26672117_28375910	5
2_28375910_28994693	2
2_43082452_44086664	2
2_47985862_49795119	1
2_60064865_62201909	4
2_62201909_64398779	1
20_13709217_15977714	1
20_2488855_3847766	1
20_25363595_33027017	1
20_40982216_41957049	1
20_44051536_46210417	8
20_48583442_50623121	3
20_55438728_57872903	1
20_57872903_59831517	3
20_63558827_64333810	7
20_79838_716956	1
21_14578661_16680846	2
21_33004691_33853161	2
21_37339402_39110976	4
21_39110976_40017600	1
21_43086158_44757190	5
22_19924835_22002927	3
22_29255810_31043932	7
22_31043932_32268999	1
22_32268999_34098925	1
22_35134992_37174229	3
22_38911889_40149793	1
22_40149793_42294812	1
3_100873373_103366116	4
3_140235755_141620255	2
3_168863172_171247120	1
3_171247120_172577941	1
3_178389377_179656798	1
3_45123661_46616010	1
3_46616010_47685722	2
3_47685722_49279539	6
3_49279539_51797999	11
3_51797999_54047363	4
3_99654918_100873373	1
4_102300199_104384137	1
4_119471529_121736832	1
4_121736832_123365326	1
4_142522112_145257035	1
4_25607700_27342100	1
4_36018814_37253425	1
4_38905401_40200989	1
4_40200989_42211041	1
4_48121583_53011266	3
4_99757203_102300199	2
5_114060588_115494673	1
5_128008912_130183332	1
5_130183332_132803957	9
5_132803957_135441711	1
5_141266403_143601683	2
5_149283061_151181737	2
5_151181737_153488214	1
5_155946495_157201689	2
5_176023592_177824506	1
5_40287627_41888608	1
5_54407214_56121522	1
5_56121522_57325275	2
5_71944629_74463501	1
5_96627815_97979897	2
5_9718720_11173159	2
6_117351809_118641952	2
6_125103237_127219316	1
6_135903039_137293081	1
6_14802693_17386174	1
6_148599216_149932268	2
6_157797687_160159465	3
6_162510171_163962489	2
6_166611245_167642155	4
6_25684359_26791023	2
6_26791023_28050041	4
6_28050041_28949831	1
6_28949831_29770194	5
6_29770194_30830391	8
6_30830391_31603441	6
6_31603441_32714887	8
6_32714887_33268720	5
6_33268720_35487979	1
6_40377376_42070983	1
6_43788432_45438826	3
6_53414304_55603472	1
6_86359782_88112422	2
6_89263333_91133478	1
7_100599028_101555972	5
7_106042459_108139733	1
7_148118226_150143569	3
7_2022763_2732593	1
7_25869935_28320690	2
7_5814895_6534226	1
7_73920272_76829247	2
7_97470258_99117851	1
7_99117851_100599028	1
8_41863936_42918680	2
8_52390370_53505484	1
8_60422_1094217	1
8_72904964_74532829	2
8_85043384_86399480	2
8_89625933_92542158	2
8_9783277_10605687	1
9_10023_1079707	4
9_104819468_106536473	1
9_114257521_115159681	2
9_115159681_118559259	1
9_132423455_134176000	1
9_136047132_136605890	6
9_4495328_4884926	2
9_4884926_6557589	1
9_91404921_93909416	2
