ID_hg38	n_unique_genes_in_ld_block
1_10583_1961168	16
1_10746927_11717784	3
1_107867043_109761309	4
1_109761309_111199115	1
1_111199115_112730684	4
1_118296444_148907004	5
1_12719464_14565015	1
1_14565015_16571235	4
1_151566405_153208353	1
1_153208353_154797927	2
1_154797927_156366342	5
1_165222465_166491280	1
1_16571235_18336405	9
1_166491280_169117086	1
1_170588635_173128768	1
1_173128768_175120632	1
1_177464245_178975174	1
1_178985335_181174985	4
1_182786221_184626379	5
1_18336405_20142656	1
1_184626379_186840891	1
1_1961168_3666172	5
1_199270756_200168521	1
1_20142656_21410095	1
1_203365606_204711940	3
1_204711940_206268085	4
1_206268085_208237019	3
1_210614406_212668988	4
1_21410095_22760390	3
1_216070292_218532171	1
1_219417229_221684889	2
1_222056878_224750818	2
1_224750818_226623159	3
1_226623159_229020501	4
1_22760390_23594100	1
1_230549509_231954506	3
1_233293538_234463688	1
1_234463688_235656136	4
1_23594100_25190354	1
1_243946197_245343444	1
1_25190354_27075376	8
1_29689034_31973084	3
1_31973084_34334157	7
1_34334157_37083582	3
1_3666172_4320751	3
1_37083582_38266175	7
1_38266175_39734895	4
1_39734895_41509656	1
1_41509656_43292786	1
1_43292786_44503511	2
1_44503511_46433829	6
1_46433829_47536904	1
1_51248054_53760589	1
1_53760589_55947444	1
1_58399727_59424737	1
1_5853833_7187275	3
1_59424737_61456693	1
1_66473721_68012212	2
1_7187275_9305140	8
1_76262450_79195513	3
1_83526065_84378812	1
1_84378812_85989068	3
1_85989068_87662948	1
1_87662948_89600744	4
1_91420760_93070902	3
1_9305140_10746927	7
1_95685337_97419693	1
1_99335048_100360849	2
10_101189482_102620653	6
10_10207433_12544798	3
10_102620653_104935290	9
10_110801735_113568673	1
10_113568673_114661647	1
10_117764423_118831841	3
10_118831841_120647811	2
10_120647811_121471951	1
10_121471951_122141030	4
10_122141030_124109830	2
10_124109830_126312529	4
10_12544798_13279600	1
10_129046020_129943063	3
10_130781981_132522825	2
10_14984069_16509768	2
10_16509768_18248338	1
10_2212306_3310507	1
10_22886203_25289667	1
10_26599755_29034307	3
10_30169909_31618591	1
10_31618591_33419040	2
10_41867628_43399323	1
10_43399323_44234627	1
10_4530082_5941799	4
10_46978910_49632869	4
10_49632869_51856869	1
10_58530227_60131651	4
10_60131651_60899921	1
10_61581937_64034354	8
10_68140391_68436234	1
10_68436234_70461094	5
10_7129522_8732702	1
10_71748755_73662792	2
10_73662792_76947056	1
10_76947056_79116992	3
10_79116992_80654923	8
10_86177820_87367307	5
10_87367307_89253624	1
10_89253624_90246824	1
10_90246824_91575290	1
10_91575290_93636611	2
10_93636611_94461486	3
10_94461486_96062600	3
10_96062600_98481545	4
10_98908643_101189482	13
11_100546438_101460390	1
11_10930480_12542682	1
11_109995390_111243672	1
11_114959946_116512631	1
11_116512631_117876395	4
11_117876395_119344766	5
11_1192365_3644251	2
11_121305234_122721202	2
11_122721202_123629409	2
11_124625632_126441425	3
11_128318642_130472680	2
11_13351577_15721006	2
11_15721006_17556855	5
11_17556855_19547988	6
11_26998914_28460046	2
11_28460046_30119810	1
11_30119810_32255355	2
11_32255355_33937192	1
11_35481057_37095265	1
11_44672249_46984586	4
11_46984586_49844498	13
11_4725479_6301639	1
11_55315181_58690022	9
11_59013076_62456299	9
11_64037097_66131160	6
11_66131160_68238358	4
11_68238358_69701362	5
11_69701362_71215246	1
11_70855_1192365	4
11_71215246_72574973	1
11_72574973_74701306	2
