ID_hg38	n_unique_genes_in_ld_block
1_10583_1961168	23
1_109761309_111199115	2
1_111199115_112730684	6
1_154797927_156366342	15
1_159943258_162376931	4
1_162376931_165222465	1
1_169117086_170588635	2
1_173128768_175120632	2
1_18336405_20142656	2
1_184626379_186840891	1
1_1961168_3666172	8
1_197342384_199270756	1
1_200168521_201620847	5
1_204711940_206268085	2
1_208237019_210614406	2
1_219417229_221684889	3
1_224750818_226623159	2
1_229020501_230549509	1
1_25190354_27075376	1
1_39734895_41509656	2
1_44503511_46433829	1
1_66473721_68012212	2
1_7187275_9305140	7
1_76262450_79195513	1
1_91420760_93070902	2
1_93070902_94040635	2
10_101189482_102620653	1
10_122141030_124109830	1
10_124109830_126312529	1
10_30169909_31618591	1
10_31618591_33419040	2
10_34820427_36283580	3
10_57199768_58530227	2
10_5941799_7129522	1
10_61581937_64034354	1
10_7129522_8732702	1
10_73662792_76947056	6
10_79116992_80654923	3
10_87367307_89253624	1
10_91575290_93636611	1
10_98908643_101189482	5
11_100546438_101460390	1
11_111243672_112588765	1
11_114387006_114959946	2
11_1192365_3644251	9
11_127446784_128318642	2
11_13351577_15721006	1
11_15721006_17556855	5
11_35481057_37095265	1
11_3644251_4725479	1
11_46984586_49844498	1
11_55315181_58690022	1
11_59013076_62456299	5
11_64037097_66131160	12
11_70855_1192365	1
11_72574973_74701306	3
11_74701306_77086163	1
11_8311727_9065770	2
12_102571208_104454918	1
12_109898914_112825713	1
12_119316305_121569746	1
12_25218149_27646840	1
12_30359473_32012658	1
12_57155077_58914885	2
12_6310587_8224940	1
12_69432762_70564207	3
12_70564207_72251295	1
12_8878799_10328935	3
13_109162764_110579726	1
13_42526891_44327273	2
13_98286665_99921841	1
14_102545765_104535386	6
14_104535386_105874495	3
14_22549721_24435917	1
14_34377045_35390387	3
14_67525600_70665240	1
14_72422907_75978424	1
14_76763129_78095602	4
14_87168997_89031299	1
15_49715846_51385363	1
15_66802429_68725660	1
15_76106283_78223711	1
15_78223711_80568637	2
15_80568637_83591716	2
15_87826712_89932319	1
15_89932319_91621162	1
16_10332175_11426305	5
16_11426305_12519241	3
16_14370145_16060203	7
16_22437583_24125554	2
16_27434434_29025292	20
16_29025292_31371622	5
16_48974015_52001911	4
16_65904663_68807460	4
16_74937605_75944056	1
16_85115079_86122993	2
16_87613743_88974757	1
17_1269105_2025437	1
17_3799018_4792966	2
17_38653091_40721152	10
17_41743558_43694719	6
17_44979537_47798656	1
17_47798656_49440038	4
17_55522071_57280180	1
17_5838014_7414079	1
17_59410151_61235394	1
17_82076532_83247139	1
18_11905441_14440800	2
18_50204214_53535815	1
19_16263605_18299052	1
19_37036131_39679979	2
19_40478694_41625199	6
19_45599439_46646825	7
19_46646825_48778970	5
19_48778970_51029311	3
19_610729_2098397	3
19_9127717_11173352	3
2_101205867_102072305	1
2_102072305_102971757	4
2_109814855_113164279	3
2_113164279_116014894	2
2_126616187_127276771	1
2_150874948_151630268	1
2_151630268_153148542	1
2_170369735_172274177	1
2_174724201_176498908	2
2_180448012_181401304	1
2_181401304_183492880	1
2_184415446_189017339	1
2_197213386_198446401	1
2_198446401_200711561	1
2_201953914_204934518	1
2_205870980_207780675	2
2_214709071_216850938	1
2_217530757_219589829	3
2_227255126_228506071	1
2_228506071_230978674	6
