ID_hg38	n_unique_genes_in_ld_block
1_100360849_101575460	1
1_109761309_111199115	2
1_111199115_112730684	1
1_112730684_114331223	1
1_118296444_148907004	1
1_153208353_154797927	6
1_158057622_159943258	1
1_159943258_162376931	5
1_166491280_169117086	1
1_181174985_182786221	1
1_197342384_199270756	1
1_200168521_201620847	4
1_20142656_21410095	2
1_203365606_204711940	2
1_206268085_208237019	3
1_210614406_212668988	4
1_212668988_214404923	1
1_224750818_226623159	2
1_22760390_23594100	3
1_230549509_231954506	1
1_235656136_237392328	1
1_23594100_25190354	6
1_247181216_248945267	1
1_25190354_27075376	4
1_27075376_29689034	3
1_39734895_41509656	2
1_44503511_46433829	2
1_64576021_66473721	4
1_66473721_68012212	3
1_7187275_9305140	3
1_76262450_79195513	1
1_84378812_85989068	1
1_9305140_10746927	2
10_113568673_114661647	1
10_118831841_120647811	1
10_124109830_126312529	2
10_22886203_25289667	3
10_25289667_26599755	1
10_29494763_30169909	1
10_30169909_31618591	1
10_46978910_49632869	1
10_5941799_7129522	2
10_61581937_64034354	3
10_68436234_70461094	4
10_70461094_71748755	1
10_71748755_73662792	1
10_93636611_94461486	3
10_94461486_96062600	2
10_96062600_98481545	6
11_100546438_101460390	1
11_117876395_119344766	5
11_121305234_122721202	1
11_122721202_123629409	1
11_124625632_126441425	1
11_127446784_128318642	1
11_17556855_19547988	3
11_3644251_4725479	5
11_44672249_46984586	2
11_46984586_49844498	14
11_59013076_62456299	2
11_64037097_66131160	3
11_66131160_68238358	1
11_70855_1192365	9
11_93542991_94509094	2
12_109898914_112825713	4
12_11601912_12580594	1
12_121569746_124493434	13
12_12580594_15088550	3
12_17934939_20711009	1
12_25218149_27646840	2
12_44631_971165	3
12_48608083_51382710	1
12_55272053_57155077	1
12_57155077_58914885	1
12_6310587_8224940	2
12_67515949_69432762	1
12_85596648_89288345	1
12_8878799_10328935	4
12_89288345_91672378	2
12_94120791_95627009	2
13_112918174_114344378	3
13_40495126_42526891	2
13_46856944_48809826	5
13_48809826_51016955	2
13_70952659_73359952	1
13_73359952_75096006	1
14_102545765_104535386	12
14_22549721_24435917	1
14_34377045_35390387	5
14_63323296_64753580	5
14_72422907_75978424	1
14_76763129_78095602	6
15_40091931_40885316	6
15_40885316_42484201	1
15_54844071_56609575	1
15_58149167_59401917	8
15_66802429_68725660	1
15_68725660_69841002	1
15_73336373_76106283	1
15_80568637_83591716	1
15_89932319_91621162	6
16_10332175_11426305	3
16_14370145_16060203	4
16_22437583_24125554	1
16_2714828_3951195	2
16_29025292_31371622	18
16_3951195_5068344	2
16_55869862_57630418	2
16_65904663_68807460	11
16_68807460_71020125	8
16_74937605_75944056	2
16_84412277_85115079	1
16_87613743_88974757	4
16_88974757_90226404	8
17_13277055_13991320	1
17_13991320_15115780	1
17_15115780_16509028	6
17_16509028_18953007	4
17_18953007_21387045	10
17_2025437_3799018	3
17_29007226_31459473	13
17_3799018_4792966	6
17_38653091_40721152	9
17_47798656_49440038	1
17_4792966_5838014	12
17_49440038_51821597	1
17_55522071_57280180	2
17_5838014_7414079	3
17_59410151_61235394	3
17_74676064_76379479	6
17_76379479_78267332	3
18_75815032_77101859	2
18_77101859_78216317	1
19_11173352_13360313	1
19_13360313_14375535	1
19_16263605_18299052	5
19_18299052_19766662	7
19_3019662_4348970	2
19_43358303_44239955	2
19_4348970_5811841	1
19_44239955_45599439	1
19_46646825_48778970	5
19_48778970_51029311	1
19_51029311_52482037	5
19_5811841_6684874	1
19_610729_2098397	3
19_6684874_8282629	2
19_9127717_11173352	8
2_102072305_102971757	5
2_109814855_113164279	3
2_113164279_116014894	3
2_141761033_143761915	2
2_151630268_153148542	2
2_158720570_160913222	1
2_180448012_181401304	1
2_181401304_183492880	1
2_184415446_189017339	3
2_198446401_200711561	2
2_200711561_201953914	3
2_223994702_224975287	1
2_224975287_227255126	1
2_228506071_230978674	2
2_230978674_232685293	1
2_232685293_234242343	1
2_24464049_26672117	1
2_26672117_28375910	3
2_40054343_43082452	1
2_43082452_44086664	1
2_53281314_54458089	4
2_54458089_55976210	1
2_60064865_62201909	5
2_94660727_98378738	1
20_24737088_25363595	2
20_25363595_33027017	7
20_34225635_36332043	1
20_36332043_38281128	4
20_3847766_5497204	1
20_44051536_46210417	2
20_48583442_50623121	1
20_55438728_57872903	2
20_57872903_59831517	3
20_60986668_62670503	3
20_716956_2488855	2
20_8136364_9750273	1
20_9750273_11268888	4
21_14578661_16680846	2
21_39110976_40017600	5
21_44757190_46072312	1
21_46072312_46699840	17
22_17813322_19924835	1
22_19924835_22002927	6
22_23370460_24588236	2
22_27438791_29255810	8
22_29255810_31043932	8
22_38911889_40149793	5
22_40149793_42294812	8
22_49430885_50804870	3
3_10977979_13029299	1
3_118811404_120804208	1
3_122255250_123798921	2
3_128476018_130525891	1
3_135738064_137652241	6
3_137652241_140235755	1
3_140235755_141620255	2
3_141620255_143445786	1
3_150534217_151630942	2
3_159760101_161806716	1
3_168863172_171247120	1
3_171247120_172577941	1
3_195065945_196244537	1
3_196244537_197349116	1
3_27799419_29100769	3
3_36445350_38314625	1
3_38314625_40179807	2
3_45123661_46616010	3
3_46616010_47685722	2
3_49279539_51797999	1
3_56399879_58171792	2
4_102300199_104384137	4
4_104384137_106580148	2
4_107894192_110335411	2
4_110335411_112948946	2
4_121736832_123365326	4
4_140163477_142522112	1
4_154134974_156563945	1
4_166931766_168755674	1
4_37253425_38905401	4
4_55681477_58068842	1
4_78172825_80069143	1
4_82451440_83878503	3
4_88316876_89310413	1
4_89310413_90639526	1
5_109298233_111485446	1
5_111485446_112645865	1
5_119273125_120333347	1
5_124462407_126449957	2
5_126449957_128008912	1
5_128008912_130183332	2
5_130183332_132803957	7
5_132803957_135441711	1
5_135441711_137040361	1
5_143601683_145563791	1
5_149283061_151181737	2
5_151181737_153488214	1
5_155946495_157201689	1
5_157201689_159398690	1
5_171647288_173251324	1
5_173251324_174215868	1
5_176023592_177824506	4
5_178986463_179974244	1
5_35048865_36433852	2
5_41888608_43983397	6
5_50867564_52838788	1
5_52838788_54407214	1
5_66615458_68555033	1
5_71944629_74463501	1
6_10540084_11790583	1
6_107129102_108143176	1
6_108143176_109983044	7
6_121584530_123535036	3
6_125103237_127219316	1
6_129539886_130614309	1
6_13209156_14802693	2
6_133923105_135903039	2
6_14802693_17386174	1
6_149932268_151591568	1
6_151591568_152773361	1
6_21683834_22748078	1
6_23936391_24852047	1
6_24852047_25684359	2
6_25684359_26791023	2
6_26791023_28050041	6
6_28050041_28949831	2
6_28949831_29770194	1
6_29770194_30830391	4
6_30830391_31603441	7
6_31603441_32714887	20
6_32714887_33268720	5
6_33268720_35487979	4
6_35487979_37604820	1
6_43788432_45438826	1
6_52345678_53414304	1
6_89263333_91133478	1
6_9019793_10540084	1
7_100599028_101555972	2
7_106042459_108139733	3
7_114072332_117140124	3
7_137191815_139059933	2
7_139059933_140233377	1
7_141526757_142959223	1
7_150143569_151014417	2
7_156272556_157841905	3
7_16161_933116	1
7_22468010_23431823	3
7_25869935_28320690	4
7_2732593_4533797	2
7_44724229_45913323	4
7_55623891_57314931	3
7_5814895_6534226	1
7_933116_1313431	1
7_99117851_100599028	6
8_10605687_11421489	2
8_127646866_129368893	1
8_139713400_141963553	3
8_21804225_23039544	3
8_24817205_25625938	1
8_37521871_39081287	1
8_40845818_41863936	1
8_58815541_61416540	1
8_72904964_74532829	4
8_78220626_81044160	4
8_98389353_100608730	1
9_119498019_122109043	7
9_132423455_134176000	1
9_136605890_138254346	10
9_20463536_22206560	2
9_34642246_36743286	6
9_78464139_79976013	1
9_87521331_89827251	1
