ID_hg38	n_unique_genes_in_ld_block
1_105545220_107867043	1
1_107867043_109761309	5
1_115337972_118296444	1
1_11717784_12719464	2
1_14565015_16571235	5
1_153208353_154797927	2
1_154797927_156366342	2
1_159943258_162376931	1
1_165222465_166491280	1
1_170588635_173128768	3
1_173128768_175120632	1
1_181174985_182786221	1
1_182786221_184626379	2
1_18336405_20142656	2
1_1961168_3666172	2
1_204711940_206268085	5
1_218532171_219417229	1
1_219417229_221684889	1
1_222056878_224750818	2
1_22760390_23594100	3
1_229020501_230549509	1
1_234463688_235656136	2
1_235656136_237392328	1
1_23594100_25190354	1
1_245343444_247181216	5
1_247181216_248945267	1
1_25190354_27075376	8
1_27075376_29689034	7
1_31973084_34334157	1
1_44503511_46433829	4
1_46433829_47536904	3
1_53760589_55947444	4
1_55947444_56556055	1
1_58399727_59424737	1
1_61456693_62989418	2
1_64576021_66473721	1
1_69221933_70906787	1
1_76262450_79195513	6
1_91420760_93070902	2
1_97419693_99335048	1
10_102620653_104935290	1
10_110801735_113568673	1
10_113568673_114661647	1
10_122141030_124109830	1
10_132681169_133786540	3
10_16509768_18248338	4
10_25289667_26599755	1
10_31618591_33419040	1
10_44234627_46978910	3
10_4530082_5941799	2
10_49632869_51856869	1
10_61581937_64034354	3
10_68436234_70461094	1
10_7129522_8732702	2
10_93636611_94461486	2
10_94461486_96062600	5
10_96062600_98481545	1
11_10930480_12542682	2
11_111243672_112588765	5
11_112588765_114387006	4
11_116512631_117876395	3
11_117876395_119344766	2
11_1192365_3644251	3
11_121305234_122721202	2
11_122721202_123629409	1
11_124625632_126441425	2
11_15721006_17556855	2
11_17556855_19547988	2
11_30119810_32255355	2
11_46984586_49844498	2
11_4725479_6301639	1
11_59013076_62456299	6
11_62456299_64037097	2
11_64037097_66131160	3
11_66131160_68238358	10
11_68238358_69701362	2
11_70855_1192365	11
11_74701306_77086163	1
11_77086163_78644013	1
12_101468912_102571208	2
12_108632125_109898914	6
12_109898914_112825713	2
12_11601912_12580594	1
12_117697570_119316305	2
12_119316305_121569746	7
12_121569746_124493434	10
12_124493434_125960959	1
12_12580594_15088550	1
12_132236187_133264925	4
12_27646840_29498322	6
12_3567871_4308513	2
12_38833367_40422383	2
12_44631_971165	2
12_48608083_51382710	11
12_51382710_52645220	3
12_52645220_54385039	6
12_55272053_57155077	1
12_57155077_58914885	2
12_6310587_8224940	1
12_67515949_69432762	3
12_8224940_8878799	1
12_85596648_89288345	1
12_8878799_10328935	7
12_89288345_91672378	2
12_95627009_96715061	1
12_98912209_101053863	1
13_101648173_103414360	3
13_107537529_108468862	4
13_112918174_114344378	10
13_29909130_31727678	3
13_31727678_33202766	3
13_40495126_42526891	1
13_42526891_44327273	1
13_48809826_51016955	2
13_51016955_52765487	1
13_70952659_73359952	3
13_75096006_76836420	1
14_101067970_102545765	1
14_102545765_104535386	11
14_18225607_21121243	1
14_22549721_24435917	5
14_24435917_25666480	1
14_38198520_39872786	1
14_50041042_51026854	1
14_67525600_70665240	2
14_70665240_72422907	1
14_72422907_75978424	5
14_90830516_92665954	1
14_93858939_95284530	1
15_43905851_46326589	2
15_47843851_49715846	2
15_58149167_59401917	3
15_60973637_62923023	3
15_62923023_64812469	6
15_66802429_68725660	2
15_73336373_76106283	11
15_76106283_78223711	3
15_80568637_83591716	1
15_83591716_86109674	1
15_87826712_89932319	1
15_89932319_91621162	4
15_97487680_98700830	2
16_10054_1157206	5
16_10332175_11426305	3
16_1157206_2714828	3
16_13060580_14370145	2
16_14370145_16060203	1
16_20139249_22437583	3
16_24125554_25975541	1
