ID_hg38	n_unique_genes_in_ld_block
1_100360849_101575460	2
1_109761309_111199115	1
1_111199115_112730684	2
1_115337972_118296444	1
1_153208353_154797927	1
1_154797927_156366342	8
1_158057622_159943258	1
1_159943258_162376931	7
1_162376931_165222465	1
1_169117086_170588635	3
1_178985335_181174985	2
1_184626379_186840891	4
1_203365606_204711940	2
1_204711940_206268085	6
1_206268085_208237019	1
1_210614406_212668988	7
1_219417229_221684889	1
1_224750818_226623159	2
1_234463688_235656136	3
1_235656136_237392328	1
1_243946197_245343444	4
1_25190354_27075376	7
1_37083582_38266175	1
1_39734895_41509656	2
1_41509656_43292786	4
1_44503511_46433829	3
1_51248054_53760589	4
1_53760589_55947444	2
1_55947444_56556055	2
1_61456693_62989418	1
1_66473721_68012212	1
1_7187275_9305140	2
1_87662948_89600744	1
1_89600744_91420760	4
1_91420760_93070902	1
1_9305140_10746927	6
10_101189482_102620653	3
10_102620653_104935290	4
10_110801735_113568673	2
10_121471951_122141030	1
10_124109830_126312529	2
10_129046020_129943063	2
10_19427949_22483354	2
10_22886203_25289667	3
10_29494763_30169909	1
10_30169909_31618591	1
10_4530082_5941799	3
10_46978910_49632869	2
10_58530227_60131651	1
10_5941799_7129522	1
10_61581937_64034354	2
10_70461094_71748755	1
10_71748755_73662792	1
10_79116992_80654923	2
10_93636611_94461486	3
10_94461486_96062600	1
10_96062600_98481545	7
10_98908643_101189482	2
11_116512631_117876395	1
11_117876395_119344766	1
11_1192365_3644251	11
11_121305234_122721202	1
11_122721202_123629409	1
11_30119810_32255355	1
11_44672249_46984586	1
11_46984586_49844498	6
11_59013076_62456299	1
11_64037097_66131160	7
11_66131160_68238358	2
11_70855_1192365	9
11_72574973_74701306	2
11_8311727_9065770	3
11_87719343_89475768	1
12_102571208_104454918	2
12_10328935_11601912	12
12_106564970_108632125	2
12_108632125_109898914	5
12_109898914_112825713	2
12_121569746_124493434	4
12_2435620_3567871	1
12_30359473_32012658	3
12_32012658_32924055	1
12_3567871_4308513	1
12_44631_971165	3
12_48608083_51382710	3
12_51382710_52645220	1
12_52645220_54385039	6
12_55272053_57155077	1
12_6310587_8224940	3
12_65165915_66787364	1
12_69432762_70564207	1
12_85596648_89288345	2
12_8878799_10328935	1
12_89288345_91672378	1
13_26710225_28683414	1
13_38304026_40495126	1
13_40495126_42526891	2
13_48809826_51016955	1
13_70952659_73359952	1
13_76836420_78234678	1
14_102545765_104535386	6
14_104535386_105874495	1
14_22549721_24435917	2
14_24435917_25666480	2
14_34377045_35390387	6
14_64753580_65932837	1
15_40885316_42484201	5
15_49715846_51385363	1
15_62923023_64812469	4
15_64812469_66802429	3
15_73336373_76106283	7
15_78223711_80568637	4
15_83591716_86109674	1
16_10332175_11426305	1
16_11426305_12519241	3
16_1157206_2714828	3
16_29025292_31371622	17
16_53348660_55869862	1
16_55869862_57630418	3
16_72901251_74937605	3
16_80263477_81738931	1
16_84412277_85115079	1
16_85115079_86122993	2
16_87613743_88974757	2
16_88974757_90226404	5
17_1269105_2025437	1
17_16509028_18953007	5
17_18953007_21387045	4
17_2025437_3799018	3
17_21387045_29007226	2
17_29007226_31459473	11
17_33211407_34585779	1
17_38653091_40721152	2
17_41743558_43694719	13
17_44979537_47798656	17
17_57280180_59410151	6
17_59410151_61235394	4
17_69862629_71391676	1
17_71391676_74676064	1
17_74676064_76379479	1
17_79302554_80863788	1
17_82076532_83247139	6
18_11905441_14440800	1
18_23069508_25416687	1
18_45342141_46719283	2
18_54027805_57546606	1
18_58862988_59963251	2
18_62610482_64153018	1
18_69508584_70953943	3
19_16263605_18299052	6
19_18299052_19766662	8
19_3019662_4348970	3
19_43358303_44239955	5
19_44239955_45599439	5
19_46646825_48778970	1
19_48778970_51029311	3
19_51029311_52482037	3
19_52482037_54099074	1
19_54099074_55216712	3
19_5811841_6684874	2
19_610729_2098397	6
19_6684874_8282629	2
19_9127717_11173352	2
2_101205867_102072305	2
2_109814855_113164279	4
2_113164279_116014894	3
2_12279024_14195184	1
2_126616187_127276771	1
2_134401007_136285224	2
2_158720570_160913222	3
2_166499460_169111726	1
2_169111726_170369735	1
2_177688455_180448012	1
2_180448012_181401304	1
2_181401304_183492880	1
2_195582732_197213386	1
2_200711561_201953914	2
2_217530757_219589829	17
2_223994702_224975287	1
2_224975287_227255126	1
2_236540389_237852338	2
2_239030947_240620667	1
2_240620667_241210506	1
2_26672117_28375910	3
2_30240845_31327584	1
2_31327584_33138710	1
2_43082452_44086664	1
2_53281314_54458089	1
2_54458089_55976210	2
2_60064865_62201909	1
2_64398779_65706310	2
2_72947719_75402960	2
2_94660727_98378738	10
2_98378738_101205867	1
20_24737088_25363595	1
20_2488855_3847766	3
20_25363595_33027017	6
20_34225635_36332043	3
20_3847766_5497204	1
20_44051536_46210417	2
20_48583442_50623121	3
20_63558827_64333810	1
20_716956_2488855	3
20_8136364_9750273	1
21_14578661_16680846	1
22_17813322_19924835	1
22_19924835_22002927	8
22_23370460_24588236	2
22_24588236_26395662	1
22_27438791_29255810	1
22_38911889_40149793	2
22_40149793_42294812	4
22_42294812_43318194	3
22_43318194_44599428	2
22_46074615_47200568	1
22_49430885_50804870	14
3_104862769_107263964	1
3_10977979_13029299	5
3_122255250_123798921	1
3_125217798_126496100	1
3_126496100_128476018	3
3_128476018_130525891	2
3_171247120_172577941	1
3_195065945_196244537	1
3_196244537_197349116	4
3_36445350_38314625	2
3_38314625_40179807	2
3_45123661_46616010	2
3_46616010_47685722	3
3_70399877_72480178	3
3_72480178_74272666	1
3_85533081_87360582	1
3_98497106_99654918	4
4_102300199_104384137	1
4_107894192_110335411	1
4_142522112_145257035	3
4_184008302_185987936	7
4_36018814_37253425	1
4_38905401_40200989	2
4_6771316_7537965	1
4_78172825_80069143	2
4_82451440_83878503	6
4_86613495_88316876	1
5_130183332_132803957	9
5_132803957_135441711	1
5_139885487_141266403	2
5_149283061_151181737	2
5_173251324_174215868	1
5_178986463_179974244	4
5_52838788_54407214	3
5_54407214_56121522	1
5_56121522_57325275	2
5_58044246_59228796	1
5_59228796_61640080	2
5_71944629_74463501	5
5_74463501_76503041	2
5_76503041_78327508	1
5_982137_2132328	1
6_10540084_11790583	2
6_112023811_113899669	3
6_121584530_123535036	3
6_129539886_130614309	1
6_130614309_132444530	1
6_133923105_135903039	4
6_135903039_137293081	3
6_141967342_144998674	2
6_14802693_17386174	1
6_149932268_151591568	2
6_170014949_170742182	3
6_2458702_3573359	2
6_24852047_25684359	1
6_25684359_26791023	2
6_26791023_28050041	5
6_28050041_28949831	2
6_28949831_29770194	1
6_29770194_30830391	7
6_30830391_31603441	8
6_31603441_32714887	20
6_32714887_33268720	5
6_33268720_35487979	3
6_35487979_37604820	2
6_40377376_42070983	4
6_43788432_45438826	3
6_53414304_55603472	1
6_5791239_6784974	1
6_6784974_7808703	1
6_9019793_10540084	1
7_100599028_101555972	1
7_137191815_139059933	3
7_142959223_145271196	2
7_16862445_19441924	1
7_2022763_2732593	2
7_25869935_28320690	2
7_2732593_4533797	2
7_28320690_31097675	1
7_44724229_45913323	1
7_49172682_51607626	2
7_5376601_5814895	1
7_5814895_6534226	1
7_64180747_66224822	1
7_6534226_7769121	3
7_91032469_92864438	1
7_99117851_100599028	10
8_10605687_11421489	10
8_11421489_13634266	8
8_115084266_118673218	1
8_129368893_130627379	1
8_20203345_21804225	1
8_21804225_23039544	4
8_23039544_24817205	4
8_40845818_41863936	1
8_55033021_56043824	2
8_58156092_58815541	2
8_58815541_61416540	2
8_72904964_74532829	4
8_7295557_9297184	8
8_78220626_81044160	1
8_81044160_81781504	1
8_9297184_9783277	1
9_104819468_106536473	1
9_110015744_112068802	1
9_126297386_127293231	1
9_127293231_129403191	9
9_132423455_134176000	3
9_1916877_3190064	1
9_20463536_22206560	1
9_87521331_89827251	2
9_89827251_91404921	1
