ID_hg38	n_unique_genes_in_ld_block
1_107867043_109761309	5
1_109761309_111199115	1
1_111199115_112730684	5
1_115337972_118296444	1
1_11717784_12719464	3
1_153208353_154797927	9
1_154797927_156366342	2
1_156366342_158057622	8
1_159943258_162376931	7
1_170588635_173128768	3
1_178985335_181174985	1
1_18336405_20142656	3
1_184626379_186840891	1
1_1961168_3666172	2
1_20142656_21410095	1
1_201620847_203365606	1
1_203365606_204711940	3
1_204711940_206268085	7
1_210614406_212668988	1
1_212668988_214404923	2
1_224750818_226623159	1
1_229020501_230549509	1
1_235656136_237392328	2
1_23594100_25190354	3
1_25190354_27075376	11
1_27075376_29689034	8
1_31973084_34334157	3
1_39734895_41509656	3
1_44503511_46433829	6
1_61456693_62989418	1
1_64576021_66473721	1
1_7187275_9305140	6
1_76262450_79195513	5
1_91420760_93070902	2
1_9305140_10746927	4
1_94040635_95685337	1
10_101189482_102620653	4
10_10207433_12544798	2
10_102620653_104935290	3
10_108557947_110801735	1
10_118831841_120647811	1
10_13279600_14984069	1
10_22886203_25289667	3
10_29494763_30169909	1
10_30169909_31618591	1
10_46978910_49632869	1
10_49632869_51856869	1
10_61581937_64034354	3
10_73662792_76947056	2
10_91575290_93636611	1
11_107973474_108566310	3
11_116512631_117876395	4
11_117876395_119344766	4
11_119344766_120896097	3
11_124625632_126441425	3
11_32255355_33937192	1
11_46984586_49844498	11
11_4725479_6301639	1
11_55315181_58690022	4
11_59013076_62456299	6
11_62456299_64037097	2
11_64037097_66131160	20
11_70855_1192365	5
11_71215246_72574973	6
11_74701306_77086163	2
11_8311727_9065770	2
11_94509094_95992877	2
12_108632125_109898914	8
12_109898914_112825713	4
12_119316305_121569746	3
12_121569746_124493434	9
12_20711009_23667700	3
12_27646840_29498322	4
12_44631_971165	2
12_45630446_47321010	1
12_47321010_48608083	9
12_48608083_51382710	14
12_51382710_52645220	1
12_5212306_6310587	2
12_52645220_54385039	1
12_55272053_57155077	3
12_57155077_58914885	2
12_60729948_63638681	2
12_6310587_8224940	1
12_8878799_10328935	4
12_91672378_94120791	2
12_94120791_95627009	3
13_112918174_114344378	4
13_23957798_25210224	1
13_31727678_33202766	4
13_75096006_76836420	2
13_96866956_98286665	2
14_101067970_102545765	2
14_102545765_104535386	4
14_104535386_105874495	3
14_50041042_51026854	4
14_53007665_53531113	2
14_54766963_55750162	2
14_63323296_64753580	2
14_64753580_65932837	6
14_67525600_70665240	2
14_72422907_75978424	13
14_81113370_82671753	1
14_90830516_92665954	1
14_92665954_93858939	3
14_93858939_95284530	1
14_98672195_101067970	2
15_40885316_42484201	1
15_42484201_43905851	1
15_43905851_46326589	1
