ID_hg38	n_unique_genes_in_ld_block
1_10583_1961168	3
1_111199115_112730684	1
1_112730684_114331223	1
1_156366342_158057622	1
1_158057622_159943258	1
1_159943258_162376931	3
1_201620847_203365606	1
1_234463688_235656136	2
1_23594100_25190354	1
1_37083582_38266175	5
1_66473721_68012212	1
1_7187275_9305140	1
1_91420760_93070902	2
10_33419040_34820427	1
10_44234627_46978910	4
10_46978910_49632869	2
10_58530227_60131651	2
10_61581937_64034354	3
10_68436234_70461094	1
10_73662792_76947056	2
10_98908643_101189482	1
11_101460390_104088908	2
11_10930480_12542682	1
11_109995390_111243672	1
11_128318642_130472680	1
11_33937192_35481057	3
11_62456299_64037097	1
11_68238358_69701362	1
11_70855_1192365	13
11_71215246_72574973	4
11_84670229_86908259	1
12_108632125_109898914	2
12_109898914_112825713	1
12_121569746_124493434	1
12_127390553_128752752	1
12_128752752_129893376	3
12_3567871_4308513	2
12_6310587_8224940	2
12_69432762_70564207	1
12_971165_2435620	1
13_23957798_25210224	1
13_48809826_51016955	2
13_98286665_99921841	1
14_102545765_104535386	1
14_105874495_106881264	9
14_22549721_24435917	2
14_24435917_25666480	1
14_58981618_61213706	1
15_24863443_27052965	2
15_42484201_43905851	3
15_73336373_76106283	5
16_10332175_11426305	2
16_29025292_31371622	3
16_3951195_5068344	1
16_57630418_59011501	3
16_79100918_80263477	1
16_81738931_82714123	1
17_38653091_40721152	1
17_44979537_47798656	2
17_47798656_49440038	3
17_4792966_5838014	1
17_5838014_7414079	2
17_74676064_76379479	5
18_11905441_14440800	1
18_69508584_70953943	3
19_16263605_18299052	1
19_20722951_22550094	1
19_2098397_3019662	1
19_33772047_35978393	1
19_37036131_39679979	1
19_40478694_41625199	2
19_46646825_48778970	3
19_48778970_51029311	5
19_52482037_54099074	1
19_55216712_57009967	3
19_610729_2098397	2
19_9127717_11173352	5
2_109814855_113164279	2
2_113164279_116014894	1
2_132285211_134401007	1
2_136285224_137940547	1
2_16148467_18466157	1
2_189017339_191108631	3
2_64398779_65706310	1
2_94660727_98378738	1
20_34225635_36332043	1
21_33853161_35152076	2
22_19924835_22002927	3
22_42294812_43318194	1
3_100873373_103366116	1
3_120804208_122255250	3
3_159760101_161806716	2
3_168863172_171247120	4
3_46616010_47685722	1
3_58171792_60287177	4
3_99654918_100873373	2
4_184008302_185987936	1
4_42211041_43963028	1
4_5500661_6771316	1
4_63475283_65734774	1
4_6771316_7537965	1
4_80069143_81204161	1
4_88316876_89310413	1
4_98502916_99757203	2
4_99757203_102300199	1
5_119273125_120333347	1
5_132803957_135441711	1
5_149283061_151181737	2
5_151181737_153488214	1
5_159398690_160546937	2
5_36433852_38802308	1
5_54407214_56121522	1
5_56121522_57325275	2
5_61640080_62377168	1
6_105608858_107129102	1
6_133923105_135903039	1
6_149932268_151591568	1
6_152773361_154652986	1
6_24852047_25684359	1
6_25684359_26791023	2
6_26791023_28050041	7
6_28050041_28949831	3
6_28949831_29770194	1
6_29770194_30830391	4
6_30830391_31603441	9
6_31603441_32714887	21
6_32714887_33268720	5
6_33268720_35487979	7
6_35487979_37604820	1
6_89263333_91133478	1
7_20085285_22468010	2
7_25869935_28320690	7
7_41962213_43119475	1
8_10605687_11421489	11
8_11421489_13634266	12
8_1213245_2095102	1
8_19635329_20203345	1
8_2715741_3535404	1
8_55033021_56043824	1
8_56043824_58156092	2
8_7295557_9297184	7
8_9297184_9783277	1
8_9783277_10605687	3
9_132423455_134176000	1
9_4495328_4884926	1
9_4884926_6557589	1
