ID_hg38	n_unique_genes_in_ld_block
1_109761309_111199115	2
1_111199115_112730684	1
1_112730684_114331223	2
1_115337972_118296444	4
1_118296444_148907004	3
1_14565015_16571235	3
1_153208353_154797927	1
1_170588635_173128768	2
1_201620847_203365606	3
1_204711940_206268085	1
1_206268085_208237019	2
1_208237019_210614406	1
1_212668988_214404923	2
1_219417229_221684889	1
1_229020501_230549509	1
1_235656136_237392328	1
1_25190354_27075376	6
1_27075376_29689034	2
1_38266175_39734895	6
1_39734895_41509656	1
1_5853833_7187275	1
1_64576021_66473721	2
1_71218722_73861224	1
1_83526065_84378812	2
1_9305140_10746927	1
10_10207433_12544798	5
10_110801735_113568673	2
10_122141030_124109830	3
10_43399323_44234627	1
10_68436234_70461094	2
10_70461094_71748755	1
10_73662792_76947056	7
10_79116992_80654923	2
10_86177820_87367307	1
10_91575290_93636611	3
10_96062600_98481545	5
10_98908643_101189482	5
11_10930480_12542682	1
11_15721006_17556855	4
11_30119810_32255355	1
11_42288453_44672249	3
11_46984586_49844498	6
11_55315181_58690022	1
11_64037097_66131160	9
11_68238358_69701362	2
11_72574973_74701306	3
11_74701306_77086163	2
11_92343978_93542991	1
12_119316305_121569746	6
12_121569746_124493434	10
12_132236187_133264925	5
12_2435620_3567871	2
12_25218149_27646840	2
12_27646840_29498322	3
12_32012658_32924055	1
12_4308513_5212306	2
12_44631_971165	3
12_47321010_48608083	1
12_48608083_51382710	2
12_52645220_54385039	1
12_6310587_8224940	4
12_65165915_66787364	1
12_70564207_72251295	1
12_91672378_94120791	1
13_26710225_28683414	2
13_31727678_33202766	2
13_33202766_34452327	1
13_45921079_46856944	1
13_51016955_52765487	1
13_56980083_57836492	1
13_78234678_80011541	2
14_101067970_102545765	1
14_102545765_104535386	7
14_35390387_38198520	1
14_67525600_70665240	1
14_75978424_76763129	2
14_76763129_78095602	3
14_90830516_92665954	1
14_98672195_101067970	3
15_38238576_40091931	4
15_40091931_40885316	2
15_40885316_42484201	8
15_47843851_49715846	1
15_49715846_51385363	3
15_51385363_52776899	1
15_52776899_54216331	1
15_60973637_62923023	4
15_62923023_64812469	3
15_71630310_73336373	1
15_73336373_76106283	1
15_76106283_78223711	4
15_78223711_80568637	2
15_87826712_89932319	2
15_89932319_91621162	9
16_10054_1157206	6
16_14370145_16060203	4
16_29025292_31371622	12
16_31371622_34586599	2
16_53348660_55869862	3
16_68807460_71020125	4
16_80263477_81738931	1
16_85115079_86122993	1
16_88974757_90226404	1
17_16509028_18953007	4
17_29007226_31459473	3
17_3799018_4792966	2
17_38653091_40721152	4
17_41743558_43694719	7
17_47798656_49440038	10
17_57280180_59410151	4
17_63468228_65152010	8
17_66804312_69862629	11
17_78267332_79302554	1
17_80863788_82076532	5
17_8403107_10062604	1
18_10644_912485	2
18_23069508_25416687	4
18_57546606_58862988	1
18_5834181_7090486	1
18_58862988_59963251	1
18_59963251_61353518	1
18_7090486_8498933	1
18_75815032_77101859	3
19_11173352_13360313	1
19_18299052_19766662	2
19_29300040_30237047	1
19_32255614_33772047	2
19_35978393_37036131	3
19_44239955_45599439	3
19_45599439_46646825	3
19_46646825_48778970	1
2_10158342_12279024	1
2_104508576_105593601	2
2_109814855_113164279	3
2_117609890_120546207	3
2_120546207_122545330	1
2_134401007_136285224	1
2_151630268_153148542	1
2_158720570_160913222	4
2_164322330_166303760	3
2_166499460_169111726	1
2_170369735_172274177	3
2_180448012_181401304	1
2_224975287_227255126	1
2_232685293_234242343	1
2_26672117_28375910	4
2_43082452_44086664	1
2_64398779_65706310	5
20_18991559_20979069	3
20_33027017_34225635	3
20_34225635_36332043	1
20_42986820_44051536	3
20_46210417_48583442	1
20_48583442_50623121	3
20_50623121_53856010	1
20_63558827_64333810	2
21_44757190_46072312	5
22_17813322_19924835	1
22_29255810_31043932	3
22_40149793_42294812	3
22_42294812_43318194	1
22_43318194_44599428	1
22_46074615_47200568	3
3_10977979_13029299	2
3_123798921_125217798	1
3_130525891_132117672	1
3_135738064_137652241	4
3_137652241_140235755	3
3_140235755_141620255	1
3_14775393_16240935	2
3_156290911_157594239	1
3_184051895_185350467	3
3_185350467_187172556	3
3_192626025_194338942	1
3_195065945_196244537	1
3_196244537_197349116	1
3_22162752_23763374	1
3_42498510_45123661	2
3_45123661_46616010	4
3_46616010_47685722	5
3_49279539_51797999	4
3_51797999_54047363	9
3_56399879_58171792	1
3_63683610_65287863	5
3_66220021_68237764	1
3_88249223_94536472	2
4_102300199_104384137	3
4_1476986_2841252	1
4_151861032_153556489	2
4_156563945_157822566	1
4_17381699_18840251	1
4_184008302_185987936	1
4_2841252_3844313	4
4_48121583_53011266	2
4_5500661_6771316	1
4_67193779_67989047	3
4_73726673_76209554	3
4_76209554_78172825	1
4_82451440_83878503	3
4_88316876_89310413	1
4_98502916_99757203	3
5_11940_982137	4
5_126449957_128008912	1
5_128008912_130183332	2
5_141266403_143601683	1
5_145563791_147802435	2
5_14757695_16963504	1
5_155946495_157201689	1
5_41888608_43983397	2
5_43983397_50867564	2
5_50867564_52838788	2
5_52838788_54407214	2
5_66615458_68555033	3
5_74463501_76503041	2
5_76503041_78327508	2
5_78327508_80097321	3
5_88094174_89595713	2
6_105608858_107129102	1
6_109983044_112023811	1
6_117351809_118641952	1
6_125103237_127219316	1
6_130614309_132444530	3
6_152773361_154652986	1
6_160159465_161748532	1
6_30830391_31603441	22
6_31603441_32714887	23
6_32714887_33268720	4
6_33268720_35487979	3
6_42070983_43788432	6
6_43788432_45438826	2
6_6784974_7808703	1
6_74752287_76705164	2
7_100599028_101555972	2
7_101555972_103557063	15
7_129138332_130737653	1
7_130737653_133121089	1
7_150143569_151014417	1
7_15104032_16862445	1
7_156272556_157841905	1
7_2022763_2732593	2
7_25869935_28320690	1
7_2732593_4533797	1
7_28320690_31097675	2
7_33516156_36173929	1
7_43119475_44724229	1
7_72409900_73920272	3
7_76829247_78464542	3
7_99117851_100599028	2
8_103976524_106398526	1
8_10605687_11421489	9
8_11421489_13634266	13
8_115084266_118673218	1
8_143155464_145078481	10
8_29470379_31276213	2
8_35459714_37521871	2
8_40845818_41863936	3
8_7295557_9297184	8
8_9297184_9783277	1
8_93993299_95522578	5
8_95522578_98389353	1
8_9783277_10605687	3
8_98389353_100608730	1
9_10023_1079707	2
9_103205694_104819468	1
9_112930865_114257521	1
9_122109043_124209608	2
9_131252501_132423455	1
9_136047132_136605890	4
9_18661053_20463536	2
9_32019370_33578336	2
9_33578336_34642246	4
9_79976013_81596318	1
9_81596318_82825886	1
9_91404921_93909416	1
9_93909416_96159758	3
