gwas_id	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	n_distinct_gtex_ld_blocks	n_union_ld_blocks	n_common_ld_blocks	novel_ld_block_perc
BMI-ukb-a-248	105	36	374	507	97	7.1%
CAD-ebi-a-GCST003116	10	9	107	134	18	6.72%
CD-ebi-a-GCST004132	91	21	168	233	44	9.01%
HEIGHT-ukb-a-389	225	39	545	765	181	5.1%
IBD-ebi-a-GCST004131	93	31	172	260	57	11.92%
LC-ebi-a-GCST004627	135	29	204	306	73	9.48%
LDLC	299	52	276	464	136	11.21%
MC-ebi-a-GCST004625	229	27	224	316	65	8.54%
MPV-ebi-a-GCST004599	88	22	207	289	60	7.61%
PLT-ebi-a-GCST004603	48	22	249	351	80	6.27%
RA-ebi-a-GCST002318	153	28	132	210	50	13.33%
SLE-ebi-a-GCST003156	116	18	90	128	20	14.06%
T2D1-ebi-a-GCST006867	95	19	214	277	44	6.86%
UC-ebi-a-GCST004133	60	20	126	189	43	10.58%
