Var1	Var2	sharing
Alasoo_2018.macrophage_IFNg	Alasoo_2018.macrophage_IFNg	1
Alasoo_2018.macrophage_IFNg+Salmonella	Alasoo_2018.macrophage_IFNg	0.7778080326752893
Alasoo_2018.macrophage_naive	Alasoo_2018.macrophage_IFNg	0.9241847756696714
Alasoo_2018.macrophage_Salmonella	Alasoo_2018.macrophage_IFNg	0.8415957678883071
BLUEPRINT_PE.T-cell	Alasoo_2018.macrophage_IFNg	0.31091491171026964
BLUEPRINT_SE.monocyte	Alasoo_2018.macrophage_IFNg	0.41178005689083746
BLUEPRINT_SE.neutrophil	Alasoo_2018.macrophage_IFNg	0.24737771315816803
BrainSeq.brain	Alasoo_2018.macrophage_IFNg	0.27323139748021996
FUSION.adipose_naive	Alasoo_2018.macrophage_IFNg	0.3460571281191566
FUSION.muscle_naive	Alasoo_2018.macrophage_IFNg	0.3069300545978247
GENCORD.fibroblast	Alasoo_2018.macrophage_IFNg	0.41242638787798586
GENCORD.LCL	Alasoo_2018.macrophage_IFNg	0.42906728814399764
GENCORD.T-cell	Alasoo_2018.macrophage_IFNg	0.41644316574828105
GEUVADIS.LCL	Alasoo_2018.macrophage_IFNg	0.3811295648316988
GTExV8.adipose_subcutaneous	Alasoo_2018.macrophage_IFNg	0.3328685041943567
GTExV8.adipose_visceral	Alasoo_2018.macrophage_IFNg	0.346398397352147
GTExV8.adrenal_gland	Alasoo_2018.macrophage_IFNg	0.33403764472521075
GTExV8.artery_aorta	Alasoo_2018.macrophage_IFNg	0.3227479921858042
GTExV8.artery_coronary	Alasoo_2018.macrophage_IFNg	0.3281107392759355
GTExV8.artery_tibial	Alasoo_2018.macrophage_IFNg	0.3137340081235474
GTExV8.blood	Alasoo_2018.macrophage_IFNg	0.35483234227343385
GTExV8.brain_amygdala	Alasoo_2018.macrophage_IFNg	0.3148304216112794
GTExV8.brain_anterior_cingulate_cortex	Alasoo_2018.macrophage_IFNg	0.3023761560296676
GTExV8.brain_caudate	Alasoo_2018.macrophage_IFNg	0.31073369256303573
GTExV8.brain_cerebellar_hemisphere	Alasoo_2018.macrophage_IFNg	0.2833344681237375
GTExV8.brain_cerebellum	Alasoo_2018.macrophage_IFNg	0.28831192328568844
GTExV8.brain_cortex	Alasoo_2018.macrophage_IFNg	0.30090094210189333
GTExV8.brain_frontal_cortex	Alasoo_2018.macrophage_IFNg	0.29693781443109507
GTExV8.brain_hippocampus	Alasoo_2018.macrophage_IFNg	0.3200979614050205
GTExV8.brain_hypothalamus	Alasoo_2018.macrophage_IFNg	0.3209678512527393
GTExV8.brain_nucleus_accumbens	Alasoo_2018.macrophage_IFNg	0.30630548600045526
