Var1	Var2	sharing
Alasoo_2018.macrophage_IFNg	Alasoo_2018.macrophage_IFNg	1
Alasoo_2018.macrophage_IFNg+Salmonella	Alasoo_2018.macrophage_IFNg	0.7808271212193153
Alasoo_2018.macrophage_naive	Alasoo_2018.macrophage_IFNg	0.9232131786378531
Alasoo_2018.macrophage_Salmonella	Alasoo_2018.macrophage_IFNg	0.8324121735417606
BLUEPRINT_PE.T-cell	Alasoo_2018.macrophage_IFNg	0.29582369098341155
BLUEPRINT_SE.monocyte	Alasoo_2018.macrophage_IFNg	0.3994980555304332
BLUEPRINT_SE.neutrophil	Alasoo_2018.macrophage_IFNg	0.2408663706642025
BrainSeq.brain	Alasoo_2018.macrophage_IFNg	0.27353470694138826
FUSION.adipose_naive	Alasoo_2018.macrophage_IFNg	0.340916307129116
FUSION.muscle_naive	Alasoo_2018.macrophage_IFNg	0.3048946105333656
GENCORD.fibroblast	Alasoo_2018.macrophage_IFNg	0.41285829400253254
GENCORD.LCL	Alasoo_2018.macrophage_IFNg	0.42228517060935
GENCORD.T-cell	Alasoo_2018.macrophage_IFNg	0.41677233916645534
GEUVADIS.LCL	Alasoo_2018.macrophage_IFNg	0.37387397118230326
GTExV8.adipose_subcutaneous	Alasoo_2018.macrophage_IFNg	0.3404557326166774
GTExV8.adipose_visceral	Alasoo_2018.macrophage_IFNg	0.3521761353955663
GTExV8.adrenal_gland	Alasoo_2018.macrophage_IFNg	0.3380669061517737
GTExV8.artery_aorta	Alasoo_2018.macrophage_IFNg	0.3275360676788277
GTExV8.artery_coronary	Alasoo_2018.macrophage_IFNg	0.33253959254639603
GTExV8.artery_tibial	Alasoo_2018.macrophage_IFNg	0.3184842184842185
GTExV8.blood	Alasoo_2018.macrophage_IFNg	0.3543335997062698
GTExV8.brain_amygdala	Alasoo_2018.macrophage_IFNg	0.3078408575876406
GTExV8.brain_anterior_cingulate_cortex	Alasoo_2018.macrophage_IFNg	0.2949403700622053
GTExV8.brain_caudate	Alasoo_2018.macrophage_IFNg	0.3046858087497294
GTExV8.brain_cerebellar_hemisphere	Alasoo_2018.macrophage_IFNg	0.2826338611258265
GTExV8.brain_cerebellum	Alasoo_2018.macrophage_IFNg	0.28772025893258757
GTExV8.brain_cortex	Alasoo_2018.macrophage_IFNg	0.2948324658103588
GTExV8.brain_frontal_cortex	Alasoo_2018.macrophage_IFNg	0.2915275790812272
GTExV8.brain_hippocampus	Alasoo_2018.macrophage_IFNg	0.31416172485567295
