Var1	Var2	sharing
Alasoo_2018.macrophage_IFNg	Alasoo_2018.macrophage_IFNg	1
Alasoo_2018.macrophage_IFNg+Salmonella	Alasoo_2018.macrophage_IFNg	0.849537377001028
Alasoo_2018.macrophage_naive	Alasoo_2018.macrophage_IFNg	0.9080683538827601
Alasoo_2018.macrophage_Salmonella	Alasoo_2018.macrophage_IFNg	0.8950210845601835
BLUEPRINT_PE.T-cell	Alasoo_2018.macrophage_IFNg	0.27971180821219077
BLUEPRINT_SE.monocyte	Alasoo_2018.macrophage_IFNg	0.3388937078801628
BLUEPRINT_SE.neutrophil	Alasoo_2018.macrophage_IFNg	0.261725265194476
BrainSeq.brain	Alasoo_2018.macrophage_IFNg	0.244969876094123
FUSION.adipose_naive	Alasoo_2018.macrophage_IFNg	0.31149370317232583
FUSION.muscle_naive	Alasoo_2018.macrophage_IFNg	0.2984032991434916
GENCORD.fibroblast	Alasoo_2018.macrophage_IFNg	0.41616550396920854
GENCORD.LCL	Alasoo_2018.macrophage_IFNg	0.3798060622499491
GENCORD.T-cell	Alasoo_2018.macrophage_IFNg	0.3846633805453298
GEUVADIS.LCL	Alasoo_2018.macrophage_IFNg	0.36825854261012764
GTExV8.adipose_subcutaneous	Alasoo_2018.macrophage_IFNg	0.29961173425366694
GTExV8.adipose_visceral	Alasoo_2018.macrophage_IFNg	0.30925775978407555
GTExV8.adrenal_gland	Alasoo_2018.macrophage_IFNg	0.2992462179115492
GTExV8.artery_aorta	Alasoo_2018.macrophage_IFNg	0.29033475284351246
GTExV8.artery_coronary	Alasoo_2018.macrophage_IFNg	0.2906688241639698
GTExV8.artery_tibial	Alasoo_2018.macrophage_IFNg	0.28306464657356983
GTExV8.blood	Alasoo_2018.macrophage_IFNg	0.3717924936622766
GTExV8.brain_amygdala	Alasoo_2018.macrophage_IFNg	0.2627917414721723
GTExV8.brain_anterior_cingulate_cortex	Alasoo_2018.macrophage_IFNg	0.25669504425776624
GTExV8.brain_caudate	Alasoo_2018.macrophage_IFNg	0.2593172040006705
GTExV8.brain_cerebellar_hemisphere	Alasoo_2018.macrophage_IFNg	0.23189840013194787
GTExV8.brain_cerebellum	Alasoo_2018.macrophage_IFNg	0.23583770778652668
GTExV8.brain_cortex	Alasoo_2018.macrophage_IFNg	0.25134770889487873
GTExV8.brain_frontal_cortex	Alasoo_2018.macrophage_IFNg	0.25310734463276835
GTExV8.brain_hippocampus	Alasoo_2018.macrophage_IFNg	0.2641698712589868
GTExV8.brain_hypothalamus	Alasoo_2018.macrophage_IFNg	0.26428175263449805
