dataset	Alasoo_2018.macrophage_IFNg	Alasoo_2018.macrophage_IFNg+Salmonella	Alasoo_2018.macrophage_naive	Alasoo_2018.macrophage_Salmonella	BLUEPRINT_PE.T-cell	BLUEPRINT_SE.monocyte	BLUEPRINT_SE.neutrophil	BrainSeq.brain	FUSION.adipose_naive	FUSION.muscle_naive	GENCORD.fibroblast	GENCORD.LCL	GENCORD.T-cell	GEUVADIS.LCL	GTEx.adipose_subcutaneous	GTEx.adipose_visceral	GTEx.adrenal_gland	GTEx.artery_aorta	GTEx.artery_coronary	GTEx.artery_tibial	GTEx.blood	GTEx.brain_amygdala	GTEx.brain_anterior_cingulate_cortex	GTEx.brain_caudate	GTEx.brain_cerebellar_hemisphere	GTEx.brain_cerebellum	GTEx.brain_cortex	GTEx.brain_frontal_cortex	GTEx.brain_hippocampus	GTEx.brain_hypothalamus	GTEx.brain_nucleus_accumbens	GTEx.brain_putamen	GTEx.brain_spinal_cord	GTEx.brain_substantia_nigra	GTEx.breast	GTEx.colon_sigmoid	GTEx.colon_transverse	GTEx.esophagus_gej	GTEx.esophagus_mucosa	GTEx.esophagus_muscularis	GTEx.fibroblast	GTEx.heart_atrial_appendage	GTEx.heart_left_ventricle	GTEx.LCL	GTEx.liver	GTEx.lung	GTEx.minor_salivary_gland	GTEx.muscle	GTEx.nerve_tibial	GTEx.ovary	GTEx.pancreas	GTEx.pituitary	GTEx.prostate	GTEx.skin_not_sun_exposed	GTEx.skin_sun_exposed	GTEx.small_intestine	GTEx.spleen	GTEx.stomach	GTEx.testis	GTEx.thyroid	GTEx.uterus	GTEx.vagina	HipSci.iPSC	Lepik_2017.blood	Nedelec_2016.macrophage_Listeria	Nedelec_2016.macrophage_naive	Nedelec_2016.macrophage_Salmonella	Quach_2016.monocyte_IAV	Quach_2016.monocyte_LPS	Quach_2016.monocyte_naive	Quach_2016.monocyte_Pam3CSK4	Quach_2016.monocyte_R848	ROSMAP.brain_naive	Schmiedel_2018.B-cell_naive	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28	Schmiedel_2018.CD4_T-cell_naive	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28	Schmiedel_2018.CD8_T-cell_naive	Schmiedel_2018.monocyte_CD16_naive	Schmiedel_2018.monocyte_naive	Schmiedel_2018.NK-cell_naive	Schmiedel_2018.Tfh_memory	Schmiedel_2018.Th1-17_memory	Schmiedel_2018.Th17_memory	Schmiedel_2018.Th1_memory	Schmiedel_2018.Th2_memory	Schmiedel_2018.Treg_memory	Schmiedel_2018.Treg_naive	Schwartzentruber_2018.sensory_neuron	TwinsUK.blood	TwinsUK.fat	TwinsUK.LCL	TwinsUK.skin	van_de_Bunt_2015.pancreatic_islet
Alasoo_2018.macrophage_IFNg	1	0.5878704564194273	0.6615060990385958	0.5771144509057875	0.24048218751639833	0.38245333758906813	0.22417502225317823	0.21175893208890223	0.2958775716798538	0.2439182296596338	0.30819182234435405	0.29094142331927503	0.3189204144946469	0.3012901729563348	0.27961047531366545	0.2650317041475249	0.2560064441833659	0.27214912553184833	0.24661279760317079	0.25946391510466904	0.30232480267248363	0.17889659413613743	0.17584089820130608	0.1928350641904706	0.16393309479177073	0.17186103431018407	0.18229199992743483	0.1885136246892171	0.181185252472847	0.17970311427366464	0.18474643363529256	0.19575265182296142	0.19110922361058005	0.17318412466987074	0.24065070932894667	0.23991998345829402	0.2511760792237507	0.23633173542052197	0.262830252987083	0.25379718052447164	0.29589673791649057	0.2491248282733522	0.24388391701983428	0.2443137537229265	0.2140714706430396	0.2845581632804122	0.1969107461860748	0.2394921019119872	0.24923758923312597	0.188816783623051	0.22681724986552598	0.19617502112588484	0.2043879928064633	0.23272903393178554	0.24287471285031872	0.230293181149622	0.2638086167667121	0.24413271160075073	0.18347350757327893	0.23828498523479752	0.1952601724666584	0.19999667494402223	0.27013942282424863	0.3518275934098181	0.36828097091935796	0.39133862415092036	0.3463570739031471	0.3043895148686329	0.3285050393166317	0.3516319221595348	0.323005130514782	0.3095623452917598	0.2439059446904781	0.19604206806334756	0.21940082368660674	0.19874172866761977	0.22650743898802536	0.20047367817735393	0.29455263435466134	0.3130357773716329	0.21446441909640568	0.20781816488242558	0.21065127412316928	0.21807974455670942	0.20875262399937192	0.20679367962744644	0.22287638401032406	0.20420527885129452	0.22692717646825739	0.30152875626237735	0.292103563344848	0.2983040219508024	0.2616355747235753	0.21896761633613768
Alasoo_2018.macrophage_IFNg+Salmonella	0.5878704564194273	1	0.48915461715857467	0.6165741023939156	0.19674495125257907	0.3007379250419588	0.19167478567278579	0.1791130389364115	0.24619742282683876	0.2012884454869636	0.26432929018892726	0.24172321492463306	0.2641670740149394	0.25516007864711765	0.24501609707561464	0.2312463206306217	0.21639113385166606	0.23353680294540777	0.2081918313904401	0.22467788510877165	0.25994281528835333	0.14965346276264999	0.15171849824850184	0.166216298594533	0.1371517435736142	0.14523211765340147	0.16111607426429758	0.15639492507393918	0.1536433724797863	0.1554131673295068	0.15805830608253027	0.1637161199191733	0.16257798247812458	0.1455850782509965	0.20557589762021078	0.20526918720614304	0.21458677348759933	0.2077169068725229	0.23297549999560965	0.21822980406070966	0.25088357697293784	0.2110181932934877	0.20594926448580167	0.20542906526506743	0.18691039731182446	0.2462328774309425	0.1687196229833384	0.20251114490662753	0.21486412530453025	0.1614187229568821	0.1905639755825586	0.16553106528182948	0.17916571962288377	0.2023442478554678	0.21363747401180344	0.19480384908191328	0.22109019448327816	0.20842390844211295	0.15519521918414547	0.20332802974421427	0.16602582116857786	0.17202808348188375	0.22070600567536638	0.2904262774182344	0.36291701158504214	0.3321087205631363	0.37783267707659923	0.30662578609103547	0.3406009877402125	0.32674618516563364	0.3271027375878097	0.32906415641097786	0.20111927969574667	0.16349610630156156	0.19157844262926163	0.15907491836522997	0.198302894321218	0.16319683959890643	0.24302787897103095	0.25360130422137633	0.1771933864704198	0.17076769162519298	0.1731700371579522	0.17880443570503268	0.1766410750419745	0.17214526187238632	0.1835229181088939	0.16577012361870558	0.19377717395284896	0.24827095448184014	0.2442004357535269	0.2480808198427872	0.2214903072005351	0.20244066530012605
Alasoo_2018.macrophage_naive	0.6615060990385958	0.48915461715857467	1	0.57246991880284	0.24898226231884688	0.38384402239979015	0.2238174921518299	0.22451227918623248	0.3135373878927877	0.25720864532682364	0.333273237385058	0.2955105620177844	0.31959104472478217	0.3031290243535997	0.29344456436397315	0.2775750352239982	0.27112447166846326	0.28319176849559213	0.25529513690027406	0.2708420709786716	0.30176855494183724	0.18563758021083826	0.19017506545238846	0.20928829808002664	0.17929995652274472	0.18370489541959895	0.20118501993273763	0.20279876838814287	0.19224932254362784	0.19824380085653923	0.19456561934157118	0.2018105728763818	0.20012780877386602	0.17943096886485202	0.2564007540369407	0.2568072104067979	0.26473604291898456	0.24881653017194294	0.2746572298369307	0.27140352476904606	0.32156423540926893	0.26312682031508255	0.25374867239582705	0.24797781137899286	0.22353959033868231	0.29740347913121995	0.20396908325781818	0.2505304537338303	0.26506850510002694	0.20064228779629378	0.24028614159222222	0.21270191768433563	0.2243365019153709	0.24578267712388885	0.255353885686738	0.23949046917133673	0.27641236665643215	0.25708448856391847	0.19616361384797043	0.2471222063273245	0.20683645157741215	0.20735286751295162	0.30190724937375446	0.35705332513253074	0.3583100747113842	0.40571535301965883	0.326171304726206	0.27218923615839075	0.2965200501940864	0.32875098040499234	0.2955911096397344	0.2741355006075011	0.2638414358364528	0.20027355428531823	0.21921298865942204	0.20389346951911227	0.22599396042325573	0.20473559613895415	0.2864760417272767	0.3162329750835907	0.21856136630813827	0.21764190302415612	0.21882200712594918	0.22295402145917645	0.2164268859194073	0.2127317710644935	0.22752701225789687	0.2104547415356387	0.2511050969280955	0.30324161914692305	0.3063792050609079	0.3020033332570225	0.27906114442641894	0.22296731213135065
Alasoo_2018.macrophage_Salmonella	0.5771144509057875	0.6165741023939156	0.57246991880284	1	0.21038468333812527	0.3178486340786255	0.1922178183230802	0.1931131032227501	0.2721970859943513	0.22172110139813608	0.29882480494256974	0.26199387085154957	0.28133331707325887	0.2767263978148503	0.25959496863316966	0.25048560938114584	0.23333957997473673	0.2503807038519826	0.22341751629380477	0.24705562099151154	0.26898054015468376	0.16131368411372143	0.16959656046200444	0.18479880321777672	0.14769905079786264	0.15395535628983953	0.17511724691849007	0.1761180704153479	0.16779945069467758	0.17082038196112473	0.16779063601622307	0.1779609212437566	0.17740242762553377	0.15677971487807799	0.2254744699834883	0.22306359809918658	0.2309643036953927	0.22423022334236445	0.24816387170228332	0.23889162889366405	0.286042840332719	0.2327534476873585	0.22634138856565097	0.2249537322030671	0.19968238162169719	0.25897124914403447	0.1836946496867301	0.2203774049407564	0.23514349433668477	0.17984501502427244	0.21103899436454512	0.17834451850789174	0.19253259040892362	0.2197553312274352	0.22984259900975865	0.2143468924282632	0.2359495999986799	0.22369867736483828	0.16688754601231717	0.22008443062752536	0.18039997478251346	0.18103158772417316	0.25613036542365586	0.3029209460731815	0.38631154134990736	0.3573308997236693	0.37823818362417616	0.30076562887183284	0.3389256258080987	0.32887578379059484	0.33332646471102	0.32836169769496965	0.22459309364840635	0.17212257216268895	0.2096197083986949	0.16931289364861501	0.21752995552396723	0.17177184583869975	0.24869585950960513	0.26698509970705125	0.1895460014658177	0.1827731594039808	0.1853869230367705	0.18746926318365936	0.18631687700432	0.18344621044464846	0.19077712439895075	0.17579637753989258	0.22246687909447493	0.2586836614754346	0.26715484419240754	0.27177437857905684	0.24480582968806408	0.21348594374199428
BLUEPRINT_PE.T-cell	0.24048218751639833	0.19674495125257907	0.24898226231884688	0.21038468333812527	1	0.4460982287095151	0.29467317317870034	0.2601004018527036	0.34053479132361597	0.28409749901340703	0.25590407771346	0.3440010292448665	0.4590785539846435	0.3389619464683794	0.33957589675594246	0.32492696680677874	0.28435743354074244	0.3201390553540068	0.2955750098102935	0.31440323482218024	0.3755451422564477	0.21258386396764406	0.2271157252955589	0.25184388098177773	0.2479647614390488	0.25736866690167853	0.24192858794466368	0.24611359356257367	0.22835881573876685	0.23804413928827908	0.24482869569358048	0.24474479322914616	0.23002475683154466	0.2132000634443068	0.31631935063946237	0.30296125038740856	0.3235303513609143	0.29915829632797913	0.31904151386082474	0.3239336638246685	0.29317446567918487	0.2960268737018733	0.2888791321620714	0.3112191752086646	0.25723085977352156	0.3504623412755275	0.26313632258808767	0.2744079470514363	0.3288878138202482	0.27547776426082554	0.29594899714116646	0.2784299399974105	0.2876634483477824	0.3145033726892705	0.31839791638956194	0.32380081959437707	0.36223969904738956	0.3212206937213302	0.23139481961635838	0.33929421987756964	0.27042208994708916	0.2664980258222141	0.24951908408743417	0.4758002799512481	0.2420627871851827	0.26304742007055754	0.2183778590821378	0.2381481667488	0.24776750034864278	0.2726910939512599	0.24259255906668473	0.2294479443848938	0.3053939406140907	0.3971752893425283	0.4305868493687883	0.5492589959204424	0.43361610246235394	0.5326208578748536	0.3201154128201642	0.3162646346142512	0.3989979905648612	0.5298164510355012	0.5095161491655421	0.5208897199526366	0.5180985792794895	0.5151540115299326	0.48882470829843155	0.5283635634667093	0.2148156899072353	0.4333736657586522	0.3217148751735125	0.3730070251971318	0.33984770104516643	0.2466268595758702
BLUEPRINT_SE.monocyte	0.38245333758906813	0.3007379250419588	0.38384402239979015	0.3178486340786255	0.4460982287095151	1	0.4919422226468419	0.2497130504310435	0.3718145690224277	0.2952421890333501	0.2835767194661822	0.33879728675399085	0.40988088811108847	0.33347612597998333	0.36505859472150065	0.3484823885192217	0.30072793166591344	0.3361214901194754	0.31270065695911076	0.3301120283552303	0.49308199184409535	0.2140707334368829	0.21852101006782962	0.24211997579312644	0.21795943285753422	0.22995284325163182	0.23138043951296372	0.23118885113503482	0.22123687623726207	0.22780921558823763	0.2248757905956887	0.22878564957333294	0.2354697500723626	0.21192277612864016	0.3218104555436181	0.31047500607221606	0.3307900174218177	0.2959049887381883	0.32621491618061055	0.3235343892736123	0.31874376500521645	0.30854618000518136	0.3036901957136122	0.2971520484797454	0.2743164532381541	0.3877753051190144	0.25534346887736786	0.28769089043557244	0.335229078135486	0.25378249912595047	0.2917502822529762	0.265165409018953	0.2705413640673585	0.3054677822209074	0.312603187728095	0.3079213025123845	0.38451181202266277	0.31751510947891365	0.22601655713225044	0.3195157791474312	0.25902085310424233	0.2582585071732052	0.23814185652562903	0.5543333395186377	0.3874826211340137	0.42976800802960147	0.3539489712850582	0.3983742103497592	0.4158785768974324	0.46243731803082744	0.40787958816277675	0.3866146205525006	0.29618798969411425	0.32906954977828096	0.2900216137564625	0.3283766691005619	0.30589117810743927	0.324757929116528	0.5075203931474659	0.5878083129021536	0.33698893723256534	0.3337108107994674	0.3444083730179259	0.34017741812705754	0.3350679666593628	0.3365393604951913	0.3424067967925438	0.3276268853875848	0.20186706814555136	0.49072940188158104	0.3522028317222112	0.36369161733589345	0.33368902576691445	0.24296375467400574
BLUEPRINT_SE.neutrophil	0.22417502225317823	0.19167478567278579	0.2238174921518299	0.1922178183230802	0.29467317317870034	0.4919422226468419	1	0.1607436767407693	0.24281306826580953	0.1946360435714161	0.1745000892124302	0.2003990137395156	0.2543113307231012	0.1967542108341096	0.23049171877154567	0.2264189473819315	0.18829571020476507	0.21496608760704855	0.19955324612645262	0.21877610462502067	0.42380663833112414	0.1379593121184587	0.1463308852050095	0.159756709366471	0.15237905014630163	0.1628109169445411	0.15333259194235582	0.15483825872203424	0.1455029083432349	0.1503137265729912	0.14696647785913003	0.15437474825600128	0.15432441080976744	0.14199838857568917	0.2040874530799521	0.19947263252253725	0.20971811210869834	0.19485577083588762	0.21030253634242305	0.2094793537180842	0.19864643479287974	0.19927100373788215	0.20237815655175098	0.17833470918465077	0.18480887096705914	0.25723026242678543	0.16899492054254311	0.1905671167370224	0.22208277785295352	0.1693341373012258	0.1915224069853848	0.17399066101492391	0.17699169370158271	0.20157588872275461	0.20930872084605315	0.20036626212971886	0.2692935025591052	0.20237992596100987	0.15899210787099735	0.21259170757318857	0.17146203972508653	0.16867101839044357	0.1472259504746197	0.44321392642948276	0.23182575016796056	0.2498744923672442	0.21554331228551982	0.2659185808417966	0.2769572816493621	0.30309947889175104	0.27265547646152666	0.26324024697667836	0.19531366987658422	0.22279723317219197	0.18485970463827317	0.2193074359827437	0.19043057239191777	0.21350672952861038	0.32952838455272154	0.35222817739627116	0.23546249246446876	0.2196749600348358	0.2237587007065323	0.222147179173452	0.21892327934344574	0.21877478281206741	0.2224730934026398	0.22014424715553593	0.12439961042325057	0.42275155841483397	0.22146526269106695	0.22074350512465013	0.2120485921298291	0.16679342231659974
BrainSeq.brain	0.21175893208890223	0.1791130389364115	0.22451227918623248	0.1931131032227501	0.2601004018527036	0.2497130504310435	0.1607436767407693	1	0.35926487352848363	0.3231329428689687	0.28099471926300895	0.2586736229920728	0.29380979237502475	0.2811432934750062	0.3889773093142701	0.37135218902490325	0.35635253754059804	0.3790333093227998	0.3556040978674396	0.38558591643827517	0.25664591977815904	0.4213080437667144	0.46939156866394954	0.47529822892437557	0.40880688447464525	0.43177781289646716	0.5182168948261174	0.5131138409599301	0.43740146320608553	0.4278089216304659	0.45955106941991164	0.4501637293082661	0.3699840809651464	0.3894293082126671	0.36883427017056736	0.37139053895753843	0.3569065524455069	0.369653481381162	0.34474724361873504	0.4024521040295827	0.34134477983604067	0.3766506510715789	0.3735714848626889	0.251691129498956	0.2763776652127823	0.373791529173724	0.28847665185618354	0.3489319554261976	0.40975695449976157	0.32771688546226657	0.3278535745846669	0.3741757060461677	0.34077506532264257	0.34632300022158613	0.3540610379967785	0.3227697081369358	0.3302281619391855	0.35590770153098217	0.313104402538647	0.38872815640900193	0.3322506755215179	0.30901977951129755	0.2673813831970177	0.270110882725173	0.24113639922634245	0.26792673584134447	0.22308107687002898	0.22093292126488553	0.22851315394203459	0.252285834856105	0.23190619900675186	0.21406243337565214	0.5827064091905502	0.24454859115921945	0.23128149040806775	0.2620001996738256	0.2444189610651975	0.25848034966455796	0.24411684028965927	0.24566353766759985	0.24367016411502845	0.25884163543246136	0.2579987058335026	0.2649027851827855	0.2562967351495675	0.2559356540581841	0.2569150613908849	0.2635618679982679	0.2934804788253947	0.26790416537221123	0.38139730857187565	0.2864385173982478	0.3757965509358804	0.2869150836008137
FUSION.adipose_naive	0.2958775716798538	0.24619742282683876	0.3135373878927877	0.2721970859943513	0.34053479132361597	0.3718145690224277	0.24281306826580953	0.35926487352848363	1	0.5283900596128923	0.3356473735148766	0.3040199709457553	0.36273355483802827	0.31804861747669283	0.5818399799089444	0.5287383004986865	0.4147894968801471	0.4725243857632778	0.45388227083472316	0.49215396625354807	0.34830900492501526	0.30972606336728536	0.32494552101582463	0.3562603397529573	0.3055772286578451	0.316993461023642	0.33616502745006566	0.33546242044693225	0.3257053311087259	0.32458534811833334	0.3361371390923043	0.33646036492625914	0.3209097113971016	0.30387375176391707	0.5053155166819614	0.43918929109256283	0.43616543820931913	0.4529512490516629	0.4258749100104132	0.487868418925057	0.40825774765896616	0.44897594816864916	0.44711002139730127	0.2829599966687205	0.34244196168682545	0.48104361265773093	0.3532497299234554	0.42025969263242346	0.5006479714410467	0.36969453802120933	0.3779621936264327	0.36878904293794074	0.3893233581044207	0.4307653401477609	0.4495525793976432	0.38910946841189886	0.4159430606119213	0.43774213080919927	0.32539118863275013	0.46060042717718624	0.3761446500434229	0.3672061118451514	0.2917480172067794	0.4218075857305949	0.30655761887450256	0.3416073212903726	0.28325469610223697	0.26436481859107613	0.27533886414353853	0.30738114880703815	0.27509751303450586	0.25713530641631477	0.42412171373193447	0.27987414138568323	0.2590848204242767	0.29926133468586835	0.2739665028888539	0.3063524092968329	0.3218027694046089	0.3304301184187212	0.29743904147545946	0.30294445420791266	0.3051200856413064	0.30679432659176675	0.30088798430491503	0.29664331739831945	0.30724562797284133	0.30246805203004457	0.27154780406273554	0.3620428707403312	0.6553586918237847	0.3309307368484212	0.4885630025205682	0.31519834004245456
FUSION.muscle_naive	0.2439182296596338	0.2012884454869636	0.25720864532682364	0.22172110139813608	0.28409749901340703	0.2952421890333501	0.1946360435714161	0.3231329428689687	0.5283900596128923	1	0.2824824252199438	0.2574233197330123	0.2891635085826625	0.27626562916953684	0.409899974652849	0.37978510157734635	0.339170194211073	0.3761210825958717	0.3474086448364502	0.39797724295928333	0.26833144933646935	0.2640969971398066	0.28100880811440115	0.3002969220447225	0.2808818729132396	0.2945980754375618	0.2967649995666482	0.29109423959826325	0.2681678024421005	0.2743103909031675	0.2808997542360082	0.2945028723002552	0.2659345893647282	0.25629995777356906	0.3623485985456778	0.3600886225509066	0.3467820108371286	0.3631595196894715	0.34427493975948736	0.4024243975477755	0.32855162819600103	0.40185451991524346	0.415711130574539	0.2402604286966171	0.2896055466065629	0.36681258443102815	0.28550464782460006	0.5590606374815674	0.3889676683807268	0.3022310451594241	0.336957977167526	0.30511660338481844	0.30812950836677605	0.3465683524540567	0.35354938977498207	0.3042003781844845	0.3144637170187101	0.34889196440465003	0.26832884215061975	0.3647502627513468	0.3017388125415896	0.28836843596275263	0.26355942032686785	0.33622056732455036	0.23869552036385783	0.267262197020724	0.22345973505607947	0.20147009728598134	0.2182781186634082	0.23825554896568488	0.21736009059726832	0.20196698319555328	0.3653882553747014	0.23520190094257795	0.22357329922366823	0.2473491144241879	0.23030249915884396	0.25064673170539303	0.2500495512124065	0.25831655234033774	0.24089502971320073	0.24490098970743002	0.24995818302357112	0.25695743198759574	0.24586038513312272	0.24537111929204405	0.24893734286297428	0.25069923633731955	0.2426394738121381	0.28067109000825	0.4411846470550988	0.28032853249931555	0.38886148859651204	0.25793602259692044
