study	qtl_group	condition_label
Fairfax_2014	monocyte_naive	naive
Fairfax_2014	monocyte_IFN24	IFNg_24h
Fairfax_2014	monocyte_LPS2	LPS_2h
Fairfax_2014	monocyte_LPS24	LPS_24h
Alasoo_2018	macrophage_naive	naive
Alasoo_2018	macrophage_IFNg	IFNg_18h
Alasoo_2018	macrophage_Salmonella	Salmonella_5h
Alasoo_2018	macrophage_IFNg+Salmonella	IFNg_18h+Salmonella_5h
Nedelec_2016	macrophage_Listeria	Listeria_5h
Nedelec_2016	macrophage_naive	naive
Nedelec_2016	macrophage_Salmonella	Salmonella_5h
Quach_2016	monocyte_naive	naive
Quach_2016	monocyte_LPS	LPS_6h
Quach_2016	monocyte_Pam3CSK4	Pam3CSK4_6h
Quach_2016	monocyte_R848	R848_6h
Quach_2016	monocyte_IAV	Influenza_6h
Schmiedel_2018	Tfh_memory	naive
Schmiedel_2018	Th17_memory	naive
Schmiedel_2018	Th1_memory	naive
Schmiedel_2018	Th2_memory	naive
Schmiedel_2018	Th1-17_memory	naive
Schmiedel_2018	Treg_memory	naive
Schmiedel_2018	Treg_naive	naive
Schmiedel_2018	B-cell_naive	naive
Schmiedel_2018	CD4_T-cell_naive	naive
Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	anti-CD3-CD28_4h
Schmiedel_2018	CD8_T-cell_naive	naive
Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	anti-CD3-CD28_4h
Schmiedel_2018	monocyte_CD16_naive	naive
Schmiedel_2018	monocyte_naive	naive
Schmiedel_2018	NK-cell_naive	naive
CAP	LCL_naive	naive
CAP	LCL_statin	statin
Randolph_2021	B_NI	naive
Randolph_2021	B_flu	Influenza_6h
Randolph_2021	CD4_T_NI	naive
Randolph_2021	CD4_T_flu	Influenza_6h
Randolph_2021	CD8_T_NI	naive
Randolph_2021	CD8_T_flu	Influenza_6h
Randolph_2021	NK_NI	naive
Randolph_2021	NK_flu	Influenza_6h
Randolph_2021	highly_infected_flu	Influenza_6h
Randolph_2021	infected_monocytes_flu	Influenza_6h
Randolph_2021	monocytes_NI	naive
Randolph_2021	monocytes_flu	Influenza_6h
