qtl_group	eGenes
Alasoo_2018_exon_macrophage_IFNg	1237
Alasoo_2018_exon_macrophage_IFNg+Salmonella	783
Alasoo_2018_exon_macrophage_naive	1194
Alasoo_2018_exon_macrophage_Salmonella	942
BLUEPRINT_PE_exon_T-cell	4362
BLUEPRINT_SE_exon_monocyte	4614
BLUEPRINT_SE_exon_neutrophil	3730
BrainSeq_exon_brain	5658
GENCORD_exon_fibroblast	1407
GENCORD_exon_LCL	1994
GENCORD_exon_T-cell	1848
GEUVADIS_exon_LCL	5133
HipSci_exon_iPSC	5218
Lepik_2017_exon_blood	5975
Nedelec_2016_exon_macrophage_Listeria	1576
Nedelec_2016_exon_macrophage_naive	1462
Nedelec_2016_exon_macrophage_Salmonella	1507
Quach_2016_exon_monocyte_IAV	2801
Quach_2016_exon_monocyte_LPS	3120
Quach_2016_exon_monocyte_naive	3490
Quach_2016_exon_monocyte_Pam3CSK4	3465
Quach_2016_exon_monocyte_R848	2793
ROSMAP_exon_brain_naive	7697
Schmiedel_2018_exon_B-cell_naive	406
Schmiedel_2018_exon_CD4_T-cell_anti-CD3-CD28	315
Schmiedel_2018_exon_CD4_T-cell_naive	509
Schmiedel_2018_exon_CD8_T-cell_anti-CD3-CD28	349
Schmiedel_2018_exon_CD8_T-cell_naive	652
Schmiedel_2018_exon_monocyte_CD16_naive	384
Schmiedel_2018_exon_monocyte_naive	408
Schmiedel_2018_exon_NK-cell_naive	349
Schmiedel_2018_exon_Tfh_memory	495
Schmiedel_2018_exon_Th1_memory	417
Schmiedel_2018_exon_Th1-17_memory	552
Schmiedel_2018_exon_Th17_memory	566
Schmiedel_2018_exon_Th2_memory	442
Schmiedel_2018_exon_Treg_memory	514
Schmiedel_2018_exon_Treg_naive	478
Schwartzentruber_2018_exon_sensory_neuron	921
TwinsUK_exon_blood	2318
TwinsUK_exon_fat	6110
TwinsUK_exon_LCL	5456
TwinsUK_exon_skin	5404
van_de_Bunt_2015_exon_pancreatic_islet	710
