qtl_group	eGenes
Alasoo_2018_ge_macrophage_IFNg	1629
Alasoo_2018_ge_macrophage_IFNg+Salmonella	1089
Alasoo_2018_ge_macrophage_naive	1619
Alasoo_2018_ge_macrophage_Salmonella	1149
BLUEPRINT_PE_ge_T-cell	5656
BLUEPRINT_SE_ge_monocyte	6570
BLUEPRINT_SE_ge_neutrophil	5174
BrainSeq_ge_brain	4504
GENCORD_ge_fibroblast	2060
GENCORD_ge_LCL	2547
GENCORD_ge_T-cell	2542
GEUVADIS_ge_LCL	5242
HipSci_ge_iPSC	4137
Lepik_2017_ge_blood	7686
Nedelec_2016_ge_macrophage_Listeria	2135
Nedelec_2016_ge_macrophage_naive	2264
Nedelec_2016_ge_macrophage_Salmonella	2163
Quach_2016_ge_monocyte_IAV	4289
Quach_2016_ge_monocyte_LPS	4551
Quach_2016_ge_monocyte_naive	5098
Quach_2016_ge_monocyte_Pam3CSK4	4856
Quach_2016_ge_monocyte_R848	4399
ROSMAP_ge_brain_naive	7227
Schmiedel_2018_ge_B-cell_naive	2326
Schmiedel_2018_ge_CD4_T-cell_anti-CD3-CD28	2073
Schmiedel_2018_ge_CD4_T-cell_naive	2628
Schmiedel_2018_ge_CD8_T-cell_anti-CD3-CD28	2016
Schmiedel_2018_ge_CD8_T-cell_naive	2750
Schmiedel_2018_ge_monocyte_CD16_naive	2380
Schmiedel_2018_ge_monocyte_naive	2502
Schmiedel_2018_ge_NK-cell_naive	1886
Schmiedel_2018_ge_Tfh_memory	2468
Schmiedel_2018_ge_Th1_memory	2190
Schmiedel_2018_ge_Th1-17_memory	2645
Schmiedel_2018_ge_Th17_memory	2879
Schmiedel_2018_ge_Th2_memory	2552
Schmiedel_2018_ge_Treg_memory	2324
Schmiedel_2018_ge_Treg_naive	2432
Schwartzentruber_2018_ge_sensory_neuron	497
TwinsUK_ge_blood	3515
TwinsUK_ge_fat	6733
TwinsUK_ge_LCL	7043
TwinsUK_ge_skin	5758
van_de_Bunt_2015_ge_pancreatic_islet	495
