qtl_group	eGenes
Alasoo_2018_tx_macrophage_IFNg	1141
Alasoo_2018_tx_macrophage_IFNg+Salmonella	713
Alasoo_2018_tx_macrophage_naive	1234
Alasoo_2018_tx_macrophage_Salmonella	893
BLUEPRINT_PE_tx_T-cell	2777
BLUEPRINT_SE_tx_monocyte	2510
BLUEPRINT_SE_tx_neutrophil	1813
BrainSeq_tx_brain	3722
GENCORD_tx_fibroblast	901
GENCORD_tx_LCL	1340
GENCORD_tx_T-cell	1188
GEUVADIS_tx_LCL	3957
HipSci_tx_iPSC	4368
Lepik_2017_tx_blood	3549
Nedelec_2016_tx_macrophage_Listeria	981
Nedelec_2016_tx_macrophage_naive	1097
Nedelec_2016_tx_macrophage_Salmonella	809
Quach_2016_tx_monocyte_IAV	1238
Quach_2016_tx_monocyte_LPS	1622
Quach_2016_tx_monocyte_naive	1995
Quach_2016_tx_monocyte_Pam3CSK4	1826
Quach_2016_tx_monocyte_R848	1556
ROSMAP_tx_brain_naive	5081
Schmiedel_2018_tx_B-cell_naive	360
Schmiedel_2018_tx_CD4_T-cell_anti-CD3-CD28	340
Schmiedel_2018_tx_CD4_T-cell_naive	529
Schmiedel_2018_tx_CD8_T-cell_anti-CD3-CD28	372
Schmiedel_2018_tx_CD8_T-cell_naive	579
Schmiedel_2018_tx_monocyte_CD16_naive	365
Schmiedel_2018_tx_monocyte_naive	461
Schmiedel_2018_tx_NK-cell_naive	344
Schmiedel_2018_tx_Tfh_memory	450
Schmiedel_2018_tx_Th1_memory	389
Schmiedel_2018_tx_Th1-17_memory	499
Schmiedel_2018_tx_Th17_memory	600
Schmiedel_2018_tx_Th2_memory	469
Schmiedel_2018_tx_Treg_memory	448
Schmiedel_2018_tx_Treg_naive	477
Schwartzentruber_2018_tx_sensory_neuron	1112
TwinsUK_tx_blood	1020
TwinsUK_tx_fat	2817
TwinsUK_tx_LCL	3263
TwinsUK_tx_skin	2550
van_de_Bunt_2015_tx_pancreatic_islet	636
