qtl_group	eGenes
Alasoo_2018_txrev_macrophage_IFNg	1571
Alasoo_2018_txrev_macrophage_IFNg+Salmonella	944
Alasoo_2018_txrev_macrophage_naive	1697
Alasoo_2018_txrev_macrophage_Salmonella	1204
BLUEPRINT_PE_txrev_T-cell	3932
BLUEPRINT_SE_txrev_monocyte	3929
BLUEPRINT_SE_txrev_neutrophil	2846
BrainSeq_txrev_brain	4861
GENCORD_txrev_fibroblast	1246
GENCORD_txrev_LCL	1938
GENCORD_txrev_T-cell	1668
GEUVADIS_txrev_LCL	5631
HipSci_txrev_iPSC	5979
Lepik_2017_txrev_blood	4918
Nedelec_2016_txrev_macrophage_Listeria	1338
Nedelec_2016_txrev_macrophage_naive	1474
Nedelec_2016_txrev_macrophage_Salmonella	1221
Quach_2016_txrev_monocyte_IAV	1856
Quach_2016_txrev_monocyte_LPS	2405
Quach_2016_txrev_monocyte_naive	2912
Quach_2016_txrev_monocyte_Pam3CSK4	2656
Quach_2016_txrev_monocyte_R848	2209
ROSMAP_txrev_brain_naive	6458
Schmiedel_2018_txrev_B-cell_naive	505
Schmiedel_2018_txrev_CD4_T-cell_anti-CD3-CD28	458
Schmiedel_2018_txrev_CD4_T-cell_naive	681
Schmiedel_2018_txrev_CD8_T-cell_anti-CD3-CD28	482
Schmiedel_2018_txrev_CD8_T-cell_naive	769
Schmiedel_2018_txrev_monocyte_CD16_naive	520
Schmiedel_2018_txrev_monocyte_naive	620
Schmiedel_2018_txrev_NK-cell_naive	422
Schmiedel_2018_txrev_Tfh_memory	658
Schmiedel_2018_txrev_Th1_memory	537
Schmiedel_2018_txrev_Th1-17_memory	683
Schmiedel_2018_txrev_Th17_memory	746
Schmiedel_2018_txrev_Th2_memory	668
Schmiedel_2018_txrev_Treg_memory	622
Schmiedel_2018_txrev_Treg_naive	617
Schwartzentruber_2018_txrev_sensory_neuron	1471
TwinsUK_txrev_blood	1461
TwinsUK_txrev_fat	3931
TwinsUK_txrev_LCL	4586
TwinsUK_txrev_skin	3367
van_de_Bunt_2015_txrev_pancreatic_islet	916
