Study	Sample size	EUR	AFR	SAS	EAS	Unassigned	Proportion
Alasoo_2018	84	84	0	0	0	0	0.017
BLUEPRINT	197	197	0	0	0	0	0.04
BrainSeq	479	232	226	1	0	20	0.097
CEDAR	322	322	0	0	0	0	0.065
Fairfax_2014	423	421	0	0	0	2	0.086
GENCORD	196	194	0	0	0	2	0.04
GEUVADIS	445	358	87	0	0	0	0.091
HipSci	322	320	0	1	0	1	0.065
Kasela_2017	295	295	0	0	0	0	0.06
Lepik_2017	471	471	0	0	0	0	0.096
Nedelec_2016	168	96	64	0	0	8	0.034
Quach_2016	200	100	100	0	0	0	0.041
ROSMAP	576	576	0	0	0	0	0.117
Schmiedel_2018	91	53	4	3	20	11	0.019
Schwartzentruber_2018	98	98	0	0	0	0	0.02
TwinsUK	433	432	0	0	0	1	0.088
van_de_Bunt_2015	117	117	0	0	0	0	0.024
Total	4917	4366	481	5	20	45	1
