study_qtl	study	qtl_group	type	condition	condition_label	condition_ontology_term	cell_type	cell_type_ontology_term	cell_type_ontology_label	cell_type_ontology_tissue	SampleSize	eGenes	eExons	eTranscripts	eTxRev
Alasoo_2018_macrophage_naive	Alasoo_2018	macrophage_naive	RNA-seq	naive	naive	-	macrophage	CL_0000235	macrophage	macrophage	84	1619	1194	1234	1697
Alasoo_2018_macrophage_IFNg	Alasoo_2018	macrophage_IFNg	RNA-seq	IFNg	IFNg_18h	EFO_0003024	macrophage	CL_0000235	macrophage	macrophage	84	1629	1237	1141	1571
Alasoo_2018_macrophage_Salmonella	Alasoo_2018	macrophage_Salmonella	RNA-seq	Salmonella	Salmonella_5h	NCBITaxon_90371	macrophage	CL_0000235	macrophage	macrophage	84	1149	942	893	1204
Alasoo_2018_macrophage_IFNg+Salmonella	Alasoo_2018	macrophage_IFNg+Salmonella	RNA-seq	IFNg+Salmonella	IFNg_18h+Salmonella_5h	EFO_0003024; NCBITaxon_90371	macrophage	CL_0000235	macrophage	macrophage	84	1089	783	713	944
BLUEPRINT_monocyte	BLUEPRINT	monocyte	RNA-seq	naive	naive	-	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	191	6570	4614	2510	3929
BLUEPRINT_neutrophil	BLUEPRINT	neutrophil	RNA-seq	naive	naive	-	neutrophil	CL_0000775	neutrophil	neutrophil	196	5174	3730	1813	2846
BLUEPRINT_T-cell	BLUEPRINT	T-cell	RNA-seq	naive	naive	-	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	167	5656	4362	2777	3932
BrainSeq_brain	BrainSeq	brain	RNA-seq	naive	naive	-	brain	UBERON_0009834	dorsolateral prefrontal cortex	DLPFC	479	4504	5658	3722	4861
CEDAR_T-cell_CD8	CEDAR	T-cell_CD8	microarray	naive	naive	-	T-cell	CL_0000625	CD8-positive, alpha-beta T cell	CD8+ T cell	277	1893	-	-	-
CEDAR_T-cell_CD4	CEDAR	T-cell_CD4	microarray	naive	naive	-	T-cell	CL_0000624	CD4-positive, alpha-beta T cell	CD4+ T cell	290	2437	-	-	-
CEDAR_transverse_colon	CEDAR	transverse_colon	microarray	naive	naive	-	transverse_colon	UBERON_0001157	transverse colon	transverse colon	286	1325	-	-	-
CEDAR_monocyte_CD14	CEDAR	monocyte_CD14	microarray	naive	naive	-	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	286	2222	-	-	-
CEDAR_neutrophil_CD15	CEDAR	neutrophil_CD15	microarray	naive	naive	-	neutrophil	CL_0000775	neutrophil	neutrophil	280	1987	-	-	-
CEDAR_platelet	CEDAR	platelet	microarray	naive	naive	-	platelet	CL_0000233	platelet	platelet	205	426	-	-	-
CEDAR_rectum	CEDAR	rectum	microarray	naive	naive	-	rectum	UBERON_0001052	rectum	rectum	271	1041	-	-	-
CEDAR_B-cell_CD19	CEDAR	B-cell_CD19	microarray	naive	naive	-	B-cell	CL_0000236	B cell	B cell	262	1209	-	-	-
CEDAR_ileum	CEDAR	ileum	microarray	naive	naive	-	ileum	UBERON_0002116	ileum	ileum	180	701	-	-	-
Fairfax_2012_B-cell_CD19	Fairfax_2012	B-cell_CD19	microarray	naive	naive	-	B-cell	CL_0000236	B cell	B cell	281	3095	-	-	-
Fairfax_2014_monocyte_naive	Fairfax_2014	monocyte_naive	microarray	naive	naive	-	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	420	4539	-	-	-
Fairfax_2014_monocyte_IFN24	Fairfax_2014	monocyte_IFN24	microarray	IFN24	IFNg_24h	EFO_0003024	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	370	4039	-	-	-
Fairfax_2014_monocyte_LPS2	Fairfax_2014	monocyte_LPS2	microarray	LPS2	LPS_2h	CHEBI_16412	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	256	2694	-	-	-
Fairfax_2014_monocyte_LPS24	Fairfax_2014	monocyte_LPS24	microarray	LPS24	LPS_24h	CHEBI_16412	monocyte	CL_0002057	CD14-positive, CD16-negative classical monocyte	monocyte	325	3622	-	-	-
GENCORD_LCL	GENCORD	LCL	RNA-seq	naive	naive	-	LCL	EFO_0005292	lymphoblastoid cell line	LCL	190	2547	1994	1340	1938
GENCORD_fibroblast	GENCORD	fibroblast	RNA-seq	naive	naive	-	fibroblast	CL_0000057	fibroblast	fibroblast	186	2060	1407	901	1246
GENCORD_T-cell	GENCORD	T-cell	RNA-seq	naive	naive	-	T-cell	CL_0000084	T cell	T cell	184	2542	1848	1188	1668
