study	qtl_group	tissue_ontology_id	tissue_ontology_term	tissue_label	condition_label	quant_method	ftp_path
GTEx_V8	Adipose_Subcutaneous	UBER_0002190	subcutaneous adipose tissue	Adipose - Subcutaneous	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Adipose_Subcutaneous.tsv.gz
GTEx_V8	Adipose_Visceral_Omentum	UBER_0010414	omental fat pad	Adipose - Visceral (Omentum)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Adipose_Visceral_Omentum.tsv.gz
GTEx_V8	Adrenal_Gland	UBER_0002369	adrenal gland	Adrenal Gland	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Adrenal_Gland.tsv.gz
GTEx_V8	Artery_Aorta	UBER_0001496	ascending aorta	Artery - Aorta	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Artery_Aorta.tsv.gz
GTEx_V8	Artery_Coronary	UBER_0001621	coronary artery	Artery - Coronary	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Artery_Coronary.tsv.gz
GTEx_V8	Artery_Tibial	UBER_0007610	tibial artery	Artery - Tibial	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Artery_Tibial.tsv.gz
GTEx_V8	Brain_Amygdala	UBER_0001876	amygdala	Brain - Amygdala	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Amygdala.tsv.gz
GTEx_V8	Brain_Anterior_cingulate_cortex_BA24	UBER_0009835	anterior cingulate cortex	Brain - Anterior cingulate cortex (BA24)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Anterior_cingulate_cortex_BA24.tsv.gz
GTEx_V8	Brain_Caudate_basal_ganglia	UBER_0001873	caudate nucleus	Brain - Caudate (basal ganglia)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Caudate_basal_ganglia.tsv.gz
GTEx_V8	Brain_Cerebellar_Hemisphere	UBER_0002037	cerebellum	Brain - Cerebellar Hemisphere	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Cerebellar_Hemisphere.tsv.gz
GTEx_V8	Brain_Cerebellum	UBER_0002037	cerebellum	Brain - Cerebellum	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Cerebellum.tsv.gz
GTEx_V8	Brain_Cortex	UBER_0001870	frontal cortex	Brain - Cortex	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Cortex.tsv.gz
GTEx_V8	Brain_Frontal_Cortex_BA9	UBER_0009834	dorsolateral prefrontal cortex	Brain - Frontal Cortex (BA9)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Frontal_Cortex_BA9.tsv.gz
GTEx_V8	Brain_Hippocampus	UBER_0001954	Ammon's horn	Brain - Hippocampus	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Hippocampus.tsv.gz
GTEx_V8	Brain_Hypothalamus	UBER_0001898	hypothalamus	Brain - Hypothalamus	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Hypothalamus.tsv.gz
GTEx_V8	Brain_Nucleus_accumbens_basal_ganglia	UBER_0001882	nucleus accumbens	Brain - Nucleus accumbens (basal ganglia)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Nucleus_accumbens_basal_ganglia.tsv.gz
GTEx_V8	Brain_Putamen_basal_ganglia	UBER_0001874	putamen	Brain - Putamen (basal ganglia)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Putamen_basal_ganglia.tsv.gz
GTEx_V8	Brain_Spinal_cord_cervical_c-1	UBER_0006469	C1 segment of cervical spinal cord	Brain - Spinal cord (cervical c-1)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Spinal_cord_cervical_c-1.tsv.gz
GTEx_V8	Brain_Substantia_nigra	UBER_0002038	substantia nigra	Brain - Substantia nigra	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Brain_Substantia_nigra.tsv.gz
GTEx_V8	Breast_Mammary_Tissue	UBER_0008367	breast epithelium	Breast - Mammary Tissue	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Breast_Mammary_Tissue.tsv.gz
GTEx_V8	Cells_Cultured_fibroblasts	EFO_0002009	fibroblast derived cell line	Cells - Cultured fibroblasts	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Cells_Cultured_fibroblasts.tsv.gz
GTEx_V8	Cells_EBV-transformed_lymphocytes	EFO_0000572	lymphoblast	Cells - EBV-transformed lymphocytes	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Cells_EBV-transformed_lymphocytes.tsv.gz
GTEx_V8	Colon_Sigmoid	UBER_0001159	sigmoid colon	Colon - Sigmoid	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Colon_Sigmoid.tsv.gz
GTEx_V8	Colon_Transverse	UBER_0001157	transverse colon	Colon - Transverse	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Colon_Transverse.tsv.gz
GTEx_V8	Esophagus_Gastroesophageal_Junction	UBER_0004550	gastroesophageal sphincter	Esophagus - Gastroesophageal Junction	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Esophagus_Gastroesophageal_Junction.tsv.gz
GTEx_V8	Esophagus_Mucosa	UBER_0006920	esophagus squamous epithelium	Esophagus - Mucosa	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Esophagus_Mucosa.tsv.gz
GTEx_V8	Esophagus_Muscularis	UBER_0004648	esophagus muscularis mucosa	Esophagus - Muscularis	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Esophagus_Muscularis.tsv.gz
GTEx_V8	Heart_Atrial_Appendage	UBER_0006631	right atrium auricular region	Heart - Atrial Appendage	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Heart_Atrial_Appendage.tsv.gz
GTEx_V8	Heart_Left_Ventricle	UBER_0006566	left ventricle myocardium	Heart - Left Ventricle	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Heart_Left_Ventricle.tsv.gz
GTEx_V8	Kidney_Cortex	UBER_0001225	cortex of kidney	Kidney - Cortex	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Kidney_Cortex.tsv.gz
GTEx_V8	Liver	UBER_0001114	right lobe of liver	Liver	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Liver.tsv.gz
GTEx_V8	Lung	UBER_0008952	upper lobe of left lung	Lung	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/GTEx_V8/ge/Lung.tsv.gz
