sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188021	NA20508	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124355	TSI	Tuscan	EUR	European
ERR188022	NA12812	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123023	CEU	CEPH	EUR	European
ERR188023	HG00315	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124335	FIN	Finnish	EUR	European
ERR188024	NA12749	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124828	CEU	CEPH	EUR	European
ERR188025	HG00377	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME124752	FIN	Finnish	EUR	European
ERR188026	NA20510	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124562	TSI	Tuscan	EUR	European
ERR188027	NA07056	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124375	CEU	CEPH	EUR	European
ERR188028	HG00155	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124588	GBR	British	EUR	European
ERR188029	HG00355	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125125	FIN	Finnish	EUR	European
ERR188030	NA19119	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122944	YRI	Yoruba	AFR	African
ERR188031	HG00350	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125121	FIN	Finnish	EUR	European
ERR188032	NA12275	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125263	CEU	CEPH	EUR	European
ERR188033	HG00336	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123983	FIN	Finnish	EUR	European
ERR188034	HG00273	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123419	FIN	Finnish	EUR	European
ERR188035	HG00123	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122875	GBR	British	EUR	European
ERR188036	HG00236	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123273	GBR	British	EUR	European
ERR188037	NA19236	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125001	YRI	Yoruba	AFR	African
ERR188038	HG00345	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124919	FIN	Finnish	EUR	European
ERR188039	NA12144	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124156	CEU	CEPH	EUR	European
ERR188040	HG00096	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123268	GBR	British	EUR	European
ERR188041	HG00157	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124590	GBR	British	EUR	European
