file_name	molecular_trait_id	chromosome	position	ref	alt	variant	ma_samples	maf	pvalue	beta	se	type	ac	an	r2	molecular_trait_object_id	gene_id	median_tpm	rsid
Alasoo_2018.macrophage_IFNg_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.47619	0.883446	0.00709489	0.0482191	SNP	80	168	0.99998	ENSG00000113161	ENSG00000113161	10.521	rs3846662
Alasoo_2018.macrophage_IFNg+Salmonella_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.47619	0.0559009	0.0700576	0.0360357	SNP	80	168	0.99998	ENSG00000113161	ENSG00000113161	10.521	rs3846662
Alasoo_2018.macrophage_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.47619	0.334408	0.0402044	0.0413635	SNP	80	168	0.99998	ENSG00000113161	ENSG00000113161	10.521	rs3846662
Alasoo_2018.macrophage_Salmonella_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.47619	0.0241264	0.117602	0.0510167	SNP	80	168	0.99998	ENSG00000113161	ENSG00000113161	10.521	rs3846662
BLUEPRINT_PE.T-cell_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	108	0.437126	0.0166762	0.031973	0.01321	SNP	146	334	NA	ENSG00000113161	ENSG00000113161	24.269	rs3846662
BLUEPRINT_SE.monocyte_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	121	0.431937	0.00583	0.0535601	0.0191898	SNP	165	382	NA	ENSG00000113161	ENSG00000113161	110.023	rs3846662
BLUEPRINT_SE.neutrophil_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	125	0.433673	0.664751	0.00680397	0.0156748	SNP	170	392	NA	ENSG00000113161	ENSG00000113161	110.023	rs3846662
BrainSeq.brain_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	226	0.30167	0.956556	-0.00116931	0.0214534	SNP	669	958	0.99995	ENSG00000113161	ENSG00000113161	92.196	rs3846662
FUSION.adipose_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	187	0.450184	0.00848246	0.0456416	0.0172058	SNP	244	542	1	ENSG00000113161	ENSG00000113161	10.053	rs3846662
FUSION.muscle_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	200	0.446181	9.16783e-09	0.0825859	0.0139301	SNP	257	576	1	ENSG00000113161	ENSG00000113161	10.053	rs3846662
GENCORD.fibroblast_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	135	0.467742	0.445054	-0.0293058	0.0382859	SNP	174	372	1	ENSG00000113161	ENSG00000113161	60.833	rs3846662
GENCORD.LCL_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	136	0.457895	0.159756	0.0461055	0.0326558	SNP	174	380	1	ENSG00000113161	ENSG00000113161	60.833	rs3846662
GENCORD.T-cell_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	131	0.461957	0.743587	0.0111716	0.0340972	SNP	170	368	1	ENSG00000113161	ENSG00000113161	60.833	rs3846662
GEUVADIS.LCL_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	296	0.458427	0.467165	0.0115015	0.0158043	SNP	482	890	NA	ENSG00000113161	ENSG00000113161	112.304	rs3846662
GTExV8.adipose_subcutaneous_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	411	0.48537	0.150994	0.0370912	0.0257941	SNP	564	1162	NA	ENSG00000113161	ENSG00000113161	16.034	rs3846662
GTExV8.adipose_visceral_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	333	0.476546	0.717514	0.0123624	0.0341495	SNP	447	938	NA	ENSG00000113161	ENSG00000113161	16.034	rs3846662
GTExV8.adrenal_gland_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	164	0.467811	0.294517	0.054769	0.0521222	SNP	218	466	NA	ENSG00000113161	ENSG00000113161	33.2	rs3846662
GTExV8.artery_aorta_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	267	0.46124	0.191635	0.0421888	0.0322513	SNP	357	774	NA	ENSG00000113161	ENSG00000113161	12.891	rs3846662
GTExV8.artery_coronary_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	150	0.457746	0.787263	0.0113403	0.041965	SNP	195	426	NA	ENSG00000113161	ENSG00000113161	12.891	rs3846662
GTExV8.artery_tibial_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	422	0.494007	0.239404	0.0254026	0.0215695	SNP	591	1168	NA	ENSG00000113161	ENSG00000113161	12.891	rs3846662
GTExV8.blood_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	478	0.48209	0.483346	0.0135831	0.0193676	SNP	646	1340	NA	ENSG00000113161	ENSG00000113161	7.863	rs3846662
GTExV8.brain_amygdala_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	95	0.48062	0.768481	0.0150001	0.0508377	SNP	124	258	NA	ENSG00000113161	ENSG00000113161	54.513	rs3846662
