dataset	gwas_id	qtl_subset	variant	molecular_trait_id	chromosome	position	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
LC-ebi-a-GCST004627_Alasoo_2018.macrophage_IFNg_ge.txt.gz	LC-ebi-a-GCST004627	Alasoo_2018.macrophage_IFNg_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1102	1.15333973857253e-16	1.18879729907576e-17	0.821047747861843	0.0845345352643561	0.0944177168738014
LC-ebi-a-GCST004627_Alasoo_2018.macrophage_IFNg+Salmonella_ge.txt.gz	LC-ebi-a-GCST004627	Alasoo_2018.macrophage_IFNg+Salmonella_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1102	1.15182376726216e-16	1.33014471920052e-17	0.819968547355202	0.0946058687073355	0.0854255839374632
LC-ebi-a-GCST004627_Alasoo_2018.macrophage_naive_ge.txt.gz	LC-ebi-a-GCST004627	Alasoo_2018.macrophage_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1102	1.17098471029396e-16	1.22990783779859e-17	0.83360897662077	0.0874766450574418	0.0789143783217863
LC-ebi-a-GCST004627_Alasoo_2018.macrophage_Salmonella_ge.txt.gz	LC-ebi-a-GCST004627	Alasoo_2018.macrophage_Salmonella_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1102	1.16860905309236e-16	1.2539689069287e-17	0.831917776768868	0.0891895433662958	0.078892679864839
LC-ebi-a-GCST004627_BLUEPRINT_PE.T-cell_ge.txt.gz	LC-ebi-a-GCST004627	BLUEPRINT.T-cell_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1105	2.3370283980939e-43	2.76656476884456e-18	1.64398179753082e-27	0.0184798699214076	0.981520130078591
LC-ebi-a-GCST004627_BLUEPRINT_SE.monocyte_ge.txt.gz	LC-ebi-a-GCST004627	BLUEPRINT.monocyte_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1105	9.59839758270003e-17	3.51541789398239e-17	0.674186767851014	0.246842268458744	0.0789709636902411
LC-ebi-a-GCST004627_BLUEPRINT_SE.neutrophil_ge.txt.gz	LC-ebi-a-GCST004627	BLUEPRINT.neutrophil_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1105	1.20755751749978e-16	1.14091741569695e-17	0.847815279826201	0.0800306322414874	0.0721540879323145
LC-ebi-a-GCST004627_BrainSeq.brain_ge.txt.gz	LC-ebi-a-GCST004627	BrainSeq.brain_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1330	1.19654513106104e-16	1.23419751779798e-17	0.863364038104026	0.089005571626368	0.0476303902696044
LC-ebi-a-GCST004627_FUSION.adipose_naive_ge.txt.gz	LC-ebi-a-GCST004627	FUSION.adipose_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1171	1.19281413510448e-16	1.29625246469758e-17	0.848087612641436	0.0921033894260748	0.0598089979324923
LC-ebi-a-GCST004627_FUSION.muscle_naive_ge.txt.gz	LC-ebi-a-GCST004627	FUSION.muscle_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1171	7.25894659649354e-17	6.38502984375152e-17	0.516078648043048	0.453917069949056	0.0300042820078949
LC-ebi-a-GCST004627_GENCORD.fibroblast_ge.txt.gz	LC-ebi-a-GCST004627	GENCORD.fibroblast_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1136	1.06494739932963e-16	1.12496896854003e-17	0.751547629874609	0.0792213344063815	0.16923103571901
LC-ebi-a-GCST004627_GENCORD.LCL_ge.txt.gz	LC-ebi-a-GCST004627	GENCORD.LCL_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1136	9.53183051709575e-17	1.61007405630138e-17	0.673535739737343	0.113557729507921	0.212906530754736
LC-ebi-a-GCST004627_GENCORD.T-cell_ge.txt.gz	LC-ebi-a-GCST004627	GENCORD.T-cell_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1136	1.19310131548047e-16	1.12665339129497e-17	0.842967794833371	0.0795244936003678	0.0775077115662608
LC-ebi-a-GCST004627_GEUVADIS.LCL_ge.txt.gz	LC-ebi-a-GCST004627	GEUVADIS.LCL_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1347	1.20977704344932e-16	1.39916587954933e-17	0.85489880919162	0.0988269231338753	0.0462742676745046
