ID_hg38	n_unique_genes_in_ld_block
1_100360849_101575460	1
1_10583_1961168	19
1_111199115_112730684	3
1_154797927_156366342	10
1_159943258_162376931	5
1_162376931_165222465	1
1_169117086_170588635	1
1_182786221_184626379	2
1_18336405_20142656	2
1_1961168_3666172	8
1_200168521_201620847	4
1_204711940_206268085	5
1_208237019_210614406	3
1_226623159_229020501	1
1_31973084_34334157	1
1_44503511_46433829	4
1_5853833_7187275	1
1_69221933_70906787	2
1_7187275_9305140	6
10_101189482_102620653	1
10_122141030_124109830	2
10_124109830_126312529	1
10_30169909_31618591	1
10_61581937_64034354	1
10_70461094_71748755	2
10_7129522_8732702	1
10_71748755_73662792	2
10_91575290_93636611	1
10_98908643_101189482	4
11_111243672_112588765	1
11_112588765_114387006	1
11_114387006_114959946	2
11_1192365_3644251	9
11_15721006_17556855	3
11_55315181_58690022	1
11_59013076_62456299	1
11_70855_1192365	1
11_74701306_77086163	1
11_8311727_9065770	1
12_129893376_131302206	1
12_30359473_32012658	1
12_47321010_48608083	1
12_69432762_70564207	1
12_8878799_10328935	1
13_110579726_111595245	1
13_26710225_28683414	1
13_42526891_44327273	2
14_104535386_105874495	1
14_87168997_89031299	1
14_95796078_97874825	1
15_40091931_40885316	1
15_40885316_42484201	6
15_49715846_51385363	1
15_66802429_68725660	2
15_89932319_91621162	1
16_10332175_11426305	2
16_11426305_12519241	1
16_1157206_2714828	1
16_14370145_16060203	6
16_16060203_17550892	1
16_22437583_24125554	2
16_27434434_29025292	21
16_29025292_31371622	11
16_48974015_52001911	7
16_65904663_68807460	3
16_68807460_71020125	2
16_74937605_75944056	1
16_85115079_86122993	2
17_38653091_40721152	11
17_41743558_43694719	3
17_4792966_5838014	1
17_66804312_69862629	2
17_76379479_78267332	1
18_11905441_14440800	2
18_62610482_64153018	1
19_43358303_44239955	3
19_45599439_46646825	4
19_46646825_48778970	1
19_54099074_55216712	5
19_9127717_11173352	2
2_101205867_102072305	1
2_102072305_102971757	5
2_109814855_113164279	2
2_150874948_151630268	1
2_180448012_181401304	1
2_181401304_183492880	1
2_184415446_189017339	2
2_198446401_200711561	2
2_217530757_219589829	4
2_227255126_228506071	1
2_239030947_240620667	2
2_240620667_241210506	2
2_24464049_26672117	4
2_28375910_28994693	1
2_60064865_62201909	4
2_8282017_10158342	5
2_98378738_101205867	1
20_34225635_36332043	4
20_40982216_41957049	2
20_44051536_46210417	2
20_48583442_50623121	1
20_5497204_7103426	1
20_57872903_59831517	3
20_60986668_62670503	1
20_62670503_63558827	1
20_63558827_64333810	9
21_14578661_16680846	2
21_37339402_39110976	3
21_39110976_40017600	1
21_43086158_44757190	1
22_19924835_22002927	3
22_22002927_23370460	2
22_29255810_31043932	5
22_35134992_37174229	1
22_38911889_40149793	2
22_42294812_43318194	1
22_46074615_47200568	1
22_49430885_50804870	2
3_110794923_113096852	1
3_159760101_161806716	1
3_190508818_192626025	2
3_42498510_45123661	1
3_45123661_46616010	7
3_46616010_47685722	3
3_47685722_49279539	7
3_49279539_51797999	12
3_51797999_54047363	3
3_63683610_65287863	2
4_104384137_106580148	1
4_107894192_110335411	2
4_121736832_123365326	1
4_154134974_156563945	3
4_173342981_175649565	2
4_175649565_178070756	1
4_25607700_27342100	1
4_73726673_76209554	1
4_95261037_96619552	1
5_118010518_119273125	1
5_11940_982137	8
5_126449957_128008912	1
5_130183332_132803957	8
5_149283061_151181737	5
5_176023592_177824506	4
5_177824506_178986463	1
5_179974244_181132933	1
5_38802308_40287627	1
5_40287627_41888608	1
5_76503041_78327508	1
5_96627815_97979897	3
5_9718720_11173159	1
6_105608858_107129102	1
6_109983044_112023811	3
6_115810232_117351809	2
6_137293081_138501492	1
6_148599216_149932268	1
6_166611245_167642155	2
6_28050041_28949831	2
6_28949831_29770194	2
6_29770194_30830391	7
6_31603441_32714887	8
6_32714887_33268720	4
6_45438826_47344162	1
6_81219505_82417432	1
6_82417432_84500271	1
7_100599028_101555972	5
7_101555972_103557063	1
7_106042459_108139733	3
7_127229167_129138332	5
7_148118226_150143569	1
7_15104032_16862445	2
7_16161_933116	1
7_16862445_19441924	1
7_20085285_22468010	2
7_2022763_2732593	3
7_25869935_28320690	4
7_2732593_4533797	3
7_36173929_37515581	1
7_46947122_49172682	1
7_5814895_6534226	4
7_64180747_66224822	1
7_72409900_73920272	3
7_73920272_76829247	4
7_76829247_78464542	2
7_7769121_9083793	1
7_933116_1313431	1
7_97470258_99117851	1
7_99117851_100599028	2
8_11421489_13634266	1
8_120189461_123849219	1
8_125398675_127646866	1
8_19635329_20203345	1
8_39081287_40845818	1
8_45929693_49169911	2
8_81044160_81781504	1
9_110015744_112068802	1
9_114257521_115159681	2
9_136047132_136605890	7
9_20463536_22206560	1
9_4495328_4884926	2
9_4884926_6557589	4
9_96159758_98830577	2
